  --------------------------------------------- |   --------------------------------------------- |   --------------------------------------------- | 
AnalysisType = LamK0                            | AnalysisType = LamK0                            | AnalysisType = LamK0                            | 
CentralityType = 0-10%                          | CentralityType = 10-30%                         | CentralityType = 30-50%                         | 
	ParamType = Lambda                      | 	ParamType = Lambda                       | 	ParamType = Lambda                        | 
		Average = 0.600001              | 		Average = 0.600001               | 		Average = 0.600001                | 
		Error   = 0.000001              | 		Error   = 0.000001               | 		Error   = 0.000001                | 
			%Error = 0.000245%      | 			%Error = 0.000245%       | 			%Error = 0.000245%        | 
                                                |                                                 |                                                 | 
	ParamType = Radius                      | 	ParamType = Radius                       | 	ParamType = Radius                        | 
		Average = 2.881261              | 		Average = 2.251875               | 		Average = 1.630916                | 
		Error   = 0.088868              | 		Error   = 0.072480               | 		Error   = 0.058445                | 
			%Error = 3.084347%      | 			%Error = 3.218669%       | 			%Error = 3.583554%        | 
                                                |                                                 |                                                 | 
	ParamType = Ref0                        | 	ParamType = Ref0                         | 	ParamType = Ref0                          | 
		Average = -0.250275             | 		Average = -0.250275              | 		Average = -0.250275               | 
		Error   = 0.013746              | 		Error   = 0.013746               | 		Error   = 0.013746                | 
			%Error = 5.492509%      | 			%Error = 5.492509%       | 			%Error = 5.492509%        | 
                                                |                                                 |                                                 | 
	ParamType = Imf0                        | 	ParamType = Imf0                         | 	ParamType = Imf0                          | 
		Average = 0.159096              | 		Average = 0.159096               | 		Average = 0.159096                | 
		Error   = 0.013388              | 		Error   = 0.013388               | 		Error   = 0.013388                | 
			%Error = 8.414825%      | 			%Error = 8.414825%       | 			%Error = 8.414825%        | 
                                                |                                                 |                                                 | 
	ParamType = d0                          | 	ParamType = d0                           | 	ParamType = d0                            | 
		Average = 2.555887              | 		Average = 2.555887               | 		Average = 2.555887                | 
		Error   = 0.156422              | 		Error   = 0.156422               | 		Error   = 0.156422                | 
			%Error = 6.120063%      | 			%Error = 6.120063%       | 			%Error = 6.120063%        | 
                                                |                                                 |                                                 | 
  --------------------------------------------- |   --------------------------------------------- |   --------------------------------------------- | 
AnalysisType = ALamK0                           | AnalysisType = ALamK0                           | AnalysisType = ALamK0                           | 
