                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.106687 +- 0.427740 (-8.706365%)  |          Lambda: 1.212228 +- 0.523176 (0.000000%)  |          Lambda: 1.321782 +- 0.542529 (9.037409%)  | 
        Radius: 5.237416 +- 1.023334 (-3.800612%)  |          Radius: 5.444334 +- 1.136612 (0.000000%)  |          Radius: 5.709328 +- 1.211930 (4.867335%)  | 
         Ref0: -1.576552 +- 0.325315 (-2.012576%)  |          Ref0: -1.608933 +- 0.381064 (-0.000000%)  |          Ref0: -1.603527 +- 0.375465 (-0.335999%)  | 
          Imf0: 0.702888 +- 0.374219 (-1.306666%)  |            Imf0: 0.712194 +- 0.408122 (0.000000%)  |            Imf0: 0.738460 +- 0.447684 (3.688040%)  | 
            d0: 1.404651 +- 0.787553 (18.196024%)  |              d0: 1.188408 +- 0.834216 (0.000000%)  |             d0: 1.076339 +- 0.826609 (-9.430179%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.097964 +- 0.426780 (-8.727227%)  |          Lambda: 1.202948 +- 0.523146 (0.000000%)  |          Lambda: 1.294862 +- 0.537445 (7.640729%)  | 
        Radius: 5.237416 +- 1.023334 (-3.800612%)  |          Radius: 5.444334 +- 1.136612 (0.000000%)  |          Radius: 5.709328 +- 1.211930 (4.867335%)  | 
         Ref0: -1.576552 +- 0.325315 (-2.012576%)  |          Ref0: -1.608933 +- 0.381064 (-0.000000%)  |          Ref0: -1.603527 +- 0.375465 (-0.335999%)  | 
          Imf0: 0.702888 +- 0.374219 (-1.306666%)  |            Imf0: 0.712194 +- 0.408122 (0.000000%)  |            Imf0: 0.738460 +- 0.447684 (3.688040%)  | 
            d0: 1.404651 +- 0.787553 (18.196024%)  |              d0: 1.188408 +- 0.834216 (0.000000%)  |             d0: 1.076339 +- 0.826609 (-9.430179%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.409381 +- 0.616390 (8.287477%)  |          Lambda: 1.301518 +- 0.581476 (0.000000%)  |         Lambda: 1.189939 +- 0.555034 (-8.572989%)  | 
         Radius: 5.115236 +- 1.091266 (3.748126%)  |          Radius: 4.930437 +- 1.049090 (0.000000%)  |         Radius: 4.792690 +- 1.102986 (-2.793809%)  | 
         Ref0: -1.576552 +- 0.325315 (-2.012576%)  |          Ref0: -1.608933 +- 0.381064 (-0.000000%)  |          Ref0: -1.603527 +- 0.375465 (-0.335999%)  | 
          Imf0: 0.702888 +- 0.374219 (-1.306666%)  |            Imf0: 0.712194 +- 0.408122 (0.000000%)  |            Imf0: 0.738460 +- 0.447684 (3.688040%)  | 
            d0: 1.404651 +- 0.787553 (18.196024%)  |              d0: 1.188408 +- 0.834216 (0.000000%)  |             d0: 1.076339 +- 0.826609 (-9.430179%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.204282 +- 0.520915 (7.281305%)  |          Lambda: 1.122546 +- 0.496614 (0.000000%)  |         Lambda: 1.059071 +- 0.490243 (-5.654557%)  | 
         Radius: 5.115236 +- 1.091266 (3.748126%)  |          Radius: 4.930437 +- 1.049090 (0.000000%)  |         Radius: 4.792690 +- 1.102986 (-2.793809%)  | 
         Ref0: -1.576552 +- 0.325315 (-2.012576%)  |          Ref0: -1.608933 +- 0.381064 (-0.000000%)  |          Ref0: -1.603527 +- 0.375465 (-0.335999%)  | 
          Imf0: 0.702888 +- 0.374219 (-1.306666%)  |            Imf0: 0.712194 +- 0.408122 (0.000000%)  |            Imf0: 0.738460 +- 0.447684 (3.688040%)  | 
            d0: 1.404651 +- 0.787553 (18.196024%)  |              d0: 1.188408 +- 0.834216 (0.000000%)  |             d0: 1.076339 +- 0.826609 (-9.430179%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
