                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600003 +- 0.863426 (0.000500%)  |          Lambda: 0.600000 +- 0.774426 (0.000000%)  |          Lambda: 0.600001 +- 0.784772 (0.000167%)  | 
         Radius: 2.722949 +- 0.391085 (2.512333%)  |          Radius: 2.656216 +- 0.417866 (0.000000%)  |          Radius: 2.689734 +- 0.395050 (1.261870%)  | 
          Ref0: -0.300722 +- 0.068244 (0.599135%)  |          Ref0: -0.298931 +- 0.067951 (-0.000000%)  |           Ref0: -0.306921 +- 0.068497 (2.672858%)  | 
           Imf0: 0.176721 +- 0.069520 (0.575952%)  |            Imf0: 0.175709 +- 0.077939 (0.000000%)  |            Imf0: 0.176723 +- 0.073822 (0.577091%)  | 
             d0: 2.687812 +- 0.496100 (7.901833%)  |              d0: 2.490979 +- 0.542732 (0.000000%)  |             d0: 2.466323 +- 0.512990 (-0.989812%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600003 +- 0.863426 (0.000500%)  |          Lambda: 0.600000 +- 0.774426 (0.000000%)  |          Lambda: 0.600001 +- 0.784772 (0.000167%)  | 
         Radius: 2.722949 +- 0.391085 (2.512333%)  |          Radius: 2.656216 +- 0.417866 (0.000000%)  |          Radius: 2.689734 +- 0.395050 (1.261870%)  | 
          Ref0: -0.300722 +- 0.068244 (0.599135%)  |          Ref0: -0.298931 +- 0.067951 (-0.000000%)  |           Ref0: -0.306921 +- 0.068497 (2.672858%)  | 
           Imf0: 0.176721 +- 0.069520 (0.575952%)  |            Imf0: 0.175709 +- 0.077939 (0.000000%)  |            Imf0: 0.176723 +- 0.073822 (0.577091%)  | 
             d0: 2.687812 +- 0.496100 (7.901833%)  |              d0: 2.490979 +- 0.542732 (0.000000%)  |             d0: 2.466323 +- 0.512990 (-0.989812%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600003 +- 0.863426 (0.000500%)  |          Lambda: 0.600000 +- 0.774426 (0.000000%)  |          Lambda: 0.600001 +- 0.784772 (0.000167%)  | 
         Radius: 2.074233 +- 0.313954 (0.231512%)  |          Radius: 2.069442 +- 0.339443 (0.000000%)  |          Radius: 2.097062 +- 0.323069 (1.334659%)  | 
          Ref0: -0.300722 +- 0.068244 (0.599135%)  |          Ref0: -0.298931 +- 0.067951 (-0.000000%)  |           Ref0: -0.306921 +- 0.068497 (2.672858%)  | 
           Imf0: 0.176721 +- 0.069520 (0.575952%)  |            Imf0: 0.175709 +- 0.077939 (0.000000%)  |            Imf0: 0.176723 +- 0.073822 (0.577091%)  | 
             d0: 2.687812 +- 0.496100 (7.901833%)  |              d0: 2.490979 +- 0.542732 (0.000000%)  |             d0: 2.466323 +- 0.512990 (-0.989812%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600003 +- 0.863426 (0.000500%)  |          Lambda: 0.600000 +- 0.774426 (0.000000%)  |          Lambda: 0.600001 +- 0.784772 (0.000167%)  | 
         Radius: 2.074233 +- 0.313954 (0.231512%)  |          Radius: 2.069442 +- 0.339443 (0.000000%)  |          Radius: 2.097062 +- 0.323069 (1.334659%)  | 
          Ref0: -0.300722 +- 0.068244 (0.599135%)  |          Ref0: -0.298931 +- 0.067951 (-0.000000%)  |           Ref0: -0.306921 +- 0.068497 (2.672858%)  | 
           Imf0: 0.176721 +- 0.069520 (0.575952%)  |            Imf0: 0.175709 +- 0.077939 (0.000000%)  |            Imf0: 0.176723 +- 0.073822 (0.577091%)  | 
             d0: 2.687812 +- 0.496100 (7.901833%)  |              d0: 2.490979 +- 0.542732 (0.000000%)  |             d0: 2.466323 +- 0.512990 (-0.989812%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600003 +- 0.863426 (0.000500%)  |          Lambda: 0.600000 +- 0.774426 (0.000000%)  |          Lambda: 0.600001 +- 0.784772 (0.000167%)  | 
         Radius: 1.509018 +- 0.234869 (0.369614%)  |          Radius: 1.503461 +- 0.254865 (0.000000%)  |          Radius: 1.518355 +- 0.241153 (0.990648%)  | 
          Ref0: -0.300722 +- 0.068244 (0.599135%)  |          Ref0: -0.298931 +- 0.067951 (-0.000000%)  |           Ref0: -0.306921 +- 0.068497 (2.672858%)  | 
           Imf0: 0.176721 +- 0.069520 (0.575952%)  |            Imf0: 0.175709 +- 0.077939 (0.000000%)  |            Imf0: 0.176723 +- 0.073822 (0.577091%)  | 
             d0: 2.687812 +- 0.496100 (7.901833%)  |              d0: 2.490979 +- 0.542732 (0.000000%)  |             d0: 2.466323 +- 0.512990 (-0.989812%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600003 +- 0.863426 (0.000500%)  |          Lambda: 0.600000 +- 0.774426 (0.000000%)  |          Lambda: 0.600001 +- 0.784772 (0.000167%)  | 
         Radius: 1.509018 +- 0.234869 (0.369614%)  |          Radius: 1.503461 +- 0.254865 (0.000000%)  |          Radius: 1.518355 +- 0.241153 (0.990648%)  | 
          Ref0: -0.300722 +- 0.068244 (0.599135%)  |          Ref0: -0.298931 +- 0.067951 (-0.000000%)  |           Ref0: -0.306921 +- 0.068497 (2.672858%)  | 
           Imf0: 0.176721 +- 0.069520 (0.575952%)  |            Imf0: 0.175709 +- 0.077939 (0.000000%)  |            Imf0: 0.176723 +- 0.073822 (0.577091%)  | 
             d0: 2.687812 +- 0.496100 (7.901833%)  |              d0: 2.490979 +- 0.542732 (0.000000%)  |             d0: 2.466323 +- 0.512990 (-0.989812%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 347.362  NDF = 341  Chi2/NDF = 1.019 |        Chi2 = 345.021  NDF = 341  Chi2/NDF = 1.012 |        Chi2 = 344.285  NDF = 341  Chi2/NDF = 1.010 | 
                                                   |                                                    |                                                    | 
