                        minAvgSepPosPos = 5.500000 |                         minAvgSepPosPos = 6.000000 |                         minAvgSepPosPos = 6.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.141885 (0.000000%)  |          Lambda: 0.400000 +- 0.134854 (0.000000%)  |          Lambda: 0.400000 +- 0.135516 (0.000000%)  | 
         Radius: 2.977733 +- 0.554987 (0.360427%)  |          Radius: 2.967039 +- 0.551164 (0.000000%)  |         Radius: 2.940075 +- 0.522999 (-0.908785%)  | 
          Ref0: -0.153073 +- 0.029478 (0.539238%)  |          Ref0: -0.152252 +- 0.029274 (-0.000000%)  |           Ref0: -0.152518 +- 0.028664 (0.174710%)  | 
           Imf0: 0.173976 +- 0.081810 (0.257016%)  |            Imf0: 0.173530 +- 0.081554 (0.000000%)  |           Imf0: 0.169194 +- 0.075839 (-2.498703%)  | 
             d0: 3.345445 +- 1.098375 (0.061105%)  |              d0: 3.343402 +- 1.105027 (0.000000%)  |              d0: 3.380366 +- 1.090078 (1.105580%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.141885 (0.000000%)  |          Lambda: 0.400000 +- 0.134854 (0.000000%)  |          Lambda: 0.400000 +- 0.135516 (0.000000%)  | 
         Radius: 2.977733 +- 0.554987 (0.360427%)  |          Radius: 2.967039 +- 0.551164 (0.000000%)  |         Radius: 2.940075 +- 0.522999 (-0.908785%)  | 
          Ref0: -0.153073 +- 0.029478 (0.539238%)  |          Ref0: -0.152252 +- 0.029274 (-0.000000%)  |           Ref0: -0.152518 +- 0.028664 (0.174710%)  | 
           Imf0: 0.173976 +- 0.081810 (0.257016%)  |            Imf0: 0.173530 +- 0.081554 (0.000000%)  |           Imf0: 0.169194 +- 0.075839 (-2.498703%)  | 
             d0: 3.345445 +- 1.098375 (0.061105%)  |              d0: 3.343402 +- 1.105027 (0.000000%)  |              d0: 3.380366 +- 1.090078 (1.105580%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.141885 (0.000000%)  |          Lambda: 0.400000 +- 0.134854 (0.000000%)  |          Lambda: 0.400000 +- 0.135516 (0.000000%)  | 
         Radius: 2.234582 +- 0.417968 (0.351183%)  |          Radius: 2.226762 +- 0.414406 (0.000000%)  |         Radius: 2.202972 +- 0.394591 (-1.068367%)  | 
          Ref0: -0.153073 +- 0.029478 (0.539238%)  |          Ref0: -0.152252 +- 0.029274 (-0.000000%)  |           Ref0: -0.152518 +- 0.028664 (0.174710%)  | 
           Imf0: 0.173976 +- 0.081810 (0.257016%)  |            Imf0: 0.173530 +- 0.081554 (0.000000%)  |           Imf0: 0.169194 +- 0.075839 (-2.498703%)  | 
             d0: 3.345445 +- 1.098375 (0.061105%)  |              d0: 3.343402 +- 1.105027 (0.000000%)  |              d0: 3.380366 +- 1.090078 (1.105580%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.141885 (0.000000%)  |          Lambda: 0.400000 +- 0.134854 (0.000000%)  |          Lambda: 0.400000 +- 0.135516 (0.000000%)  | 
         Radius: 2.234582 +- 0.417968 (0.351183%)  |          Radius: 2.226762 +- 0.414406 (0.000000%)  |         Radius: 2.202972 +- 0.394591 (-1.068367%)  | 
          Ref0: -0.153073 +- 0.029478 (0.539238%)  |          Ref0: -0.152252 +- 0.029274 (-0.000000%)  |           Ref0: -0.152518 +- 0.028664 (0.174710%)  | 
           Imf0: 0.173976 +- 0.081810 (0.257016%)  |            Imf0: 0.173530 +- 0.081554 (0.000000%)  |           Imf0: 0.169194 +- 0.075839 (-2.498703%)  | 
             d0: 3.345445 +- 1.098375 (0.061105%)  |              d0: 3.343402 +- 1.105027 (0.000000%)  |              d0: 3.380366 +- 1.090078 (1.105580%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.141885 (0.000000%)  |          Lambda: 0.400000 +- 0.134854 (0.000000%)  |          Lambda: 0.400000 +- 0.135516 (0.000000%)  | 
         Radius: 1.617534 +- 0.305653 (0.137869%)  |          Radius: 1.615307 +- 0.303613 (0.000000%)  |         Radius: 1.600439 +- 0.290522 (-0.920444%)  | 
          Ref0: -0.153073 +- 0.029478 (0.539238%)  |          Ref0: -0.152252 +- 0.029274 (-0.000000%)  |           Ref0: -0.152518 +- 0.028664 (0.174710%)  | 
           Imf0: 0.173976 +- 0.081810 (0.257016%)  |            Imf0: 0.173530 +- 0.081554 (0.000000%)  |           Imf0: 0.169194 +- 0.075839 (-2.498703%)  | 
             d0: 3.345445 +- 1.098375 (0.061105%)  |              d0: 3.343402 +- 1.105027 (0.000000%)  |              d0: 3.380366 +- 1.090078 (1.105580%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.141885 (0.000000%)  |          Lambda: 0.400000 +- 0.134854 (0.000000%)  |          Lambda: 0.400000 +- 0.135516 (0.000000%)  | 
         Radius: 1.617534 +- 0.305653 (0.137869%)  |          Radius: 1.615307 +- 0.303613 (0.000000%)  |         Radius: 1.600439 +- 0.290522 (-0.920444%)  | 
          Ref0: -0.153073 +- 0.029478 (0.539238%)  |          Ref0: -0.152252 +- 0.029274 (-0.000000%)  |           Ref0: -0.152518 +- 0.028664 (0.174710%)  | 
           Imf0: 0.173976 +- 0.081810 (0.257016%)  |            Imf0: 0.173530 +- 0.081554 (0.000000%)  |           Imf0: 0.169194 +- 0.075839 (-2.498703%)  | 
             d0: 3.345445 +- 1.098375 (0.061105%)  |              d0: 3.343402 +- 1.105027 (0.000000%)  |              d0: 3.380366 +- 1.090078 (1.105580%)  | 
                                                   |                                                    |                                                    | 
