                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.657440 +- 0.291730 (-6.576571%)  |          Lambda: 1.774116 +- 0.228218 (0.000000%)  |          Lambda: 1.776499 +- 0.290112 (0.134320%)  |          Lambda: 1.827163 +- 0.323749 (2.990053%)  | 
        Radius: 5.642328 +- 0.547809 (24.618937%)  |          Radius: 4.527665 +- 0.313924 (0.000000%)  |         Radius: 5.454794 +- 0.492551 (20.476979%)  |         Radius: 5.811754 +- 0.586960 (28.360954%)  | 
         Ref0: -1.133213 +- 0.145551 (63.806210%)  |          Ref0: -0.691801 +- 0.075860 (-0.000000%)  |          Ref0: -1.026425 +- 0.124261 (48.369979%)  |          Ref0: -1.120056 +- 0.137865 (61.904363%)  | 
          Imf0: 0.521979 +- 0.144661 (91.641242%)  |            Imf0: 0.272373 +- 0.049970 (0.000000%)  |           Imf0: 0.395339 +- 0.113536 (45.146178%)  |           Imf0: 0.474825 +- 0.137296 (74.328953%)  | 
           d0: 1.103837 +- 0.312000 (-38.292795%)  |              d0: 1.788830 +- 0.125331 (0.000000%)  |            d0: 1.193652 +- 0.238725 (-33.271915%)  |            d0: 1.009715 +- 0.305990 (-43.554446%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.657440 +- 0.291730 (-6.576571%)  |          Lambda: 1.774116 +- 0.228218 (0.000000%)  |          Lambda: 1.776499 +- 0.290112 (0.134320%)  |          Lambda: 1.827163 +- 0.323749 (2.990053%)  | 
        Radius: 5.642328 +- 0.547809 (24.618937%)  |          Radius: 4.527665 +- 0.313924 (0.000000%)  |         Radius: 5.454794 +- 0.492551 (20.476979%)  |         Radius: 5.811754 +- 0.586960 (28.360954%)  | 
         Ref0: -1.133213 +- 0.145551 (63.806210%)  |          Ref0: -0.691801 +- 0.075860 (-0.000000%)  |          Ref0: -1.026425 +- 0.124261 (48.369979%)  |          Ref0: -1.120056 +- 0.137865 (61.904363%)  | 
          Imf0: 0.521979 +- 0.144661 (91.641242%)  |            Imf0: 0.272373 +- 0.049970 (0.000000%)  |           Imf0: 0.395339 +- 0.113536 (45.146178%)  |           Imf0: 0.474825 +- 0.137296 (74.328953%)  | 
           d0: 1.103837 +- 0.312000 (-38.292795%)  |              d0: 1.788830 +- 0.125331 (0.000000%)  |            d0: 1.193652 +- 0.238725 (-33.271915%)  |            d0: 1.009715 +- 0.305990 (-43.554446%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
