                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.657440 +- 0.291730 (-6.576571%)  |          Lambda: 1.774116 +- 0.228218 (0.000000%)  |          Lambda: 1.776499 +- 0.290112 (0.134320%)  |          Lambda: 1.827163 +- 0.323749 (2.990053%)  | 
        Radius: 5.642328 +- 0.547809 (24.618937%)  |          Radius: 4.527665 +- 0.313924 (0.000000%)  |         Radius: 5.454794 +- 0.492551 (20.476979%)  |         Radius: 5.811754 +- 0.586960 (28.360954%)  | 
          Ref0: 0.391064 +- 0.119230 (70.929292%)  |            Ref0: 0.228787 +- 0.049449 (0.000000%)  |           Ref0: 0.335496 +- 0.103827 (46.641199%)  |           Ref0: 0.394244 +- 0.118609 (72.319231%)  | 
          Imf0: 0.489002 +- 0.102591 (33.251766%)  |            Imf0: 0.366976 +- 0.051708 (0.000000%)  |           Imf0: 0.417741 +- 0.089777 (13.833330%)  |           Imf0: 0.448545 +- 0.094692 (22.227339%)  | 
          d0: -4.331886 +- 1.383641 (-13.481727%)  |            d0: -5.006903 +- 1.023132 (-0.000000%)  |            d0: -4.627820 +- 1.472628 (-7.571207%)  |           d0: -4.355045 +- 1.396240 (-13.019186%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.657440 +- 0.291730 (-6.576571%)  |          Lambda: 1.774116 +- 0.228218 (0.000000%)  |          Lambda: 1.776499 +- 0.290112 (0.134320%)  |          Lambda: 1.827163 +- 0.323749 (2.990053%)  | 
        Radius: 5.642328 +- 0.547809 (24.618937%)  |          Radius: 4.527665 +- 0.313924 (0.000000%)  |         Radius: 5.454794 +- 0.492551 (20.476979%)  |         Radius: 5.811754 +- 0.586960 (28.360954%)  | 
          Ref0: 0.391064 +- 0.119230 (70.929292%)  |            Ref0: 0.228787 +- 0.049449 (0.000000%)  |           Ref0: 0.335496 +- 0.103827 (46.641199%)  |           Ref0: 0.394244 +- 0.118609 (72.319231%)  | 
          Imf0: 0.489002 +- 0.102591 (33.251766%)  |            Imf0: 0.366976 +- 0.051708 (0.000000%)  |           Imf0: 0.417741 +- 0.089777 (13.833330%)  |           Imf0: 0.448545 +- 0.094692 (22.227339%)  | 
          d0: -4.331886 +- 1.383641 (-13.481727%)  |            d0: -5.006903 +- 1.023132 (-0.000000%)  |            d0: -4.627820 +- 1.472628 (-7.571207%)  |           d0: -4.355045 +- 1.396240 (-13.019186%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.375888 +- 0.242128 (-17.781743%)  |          Lambda: 1.673458 +- 0.229451 (0.000000%)  |        Lambda: 1.359244 +- 0.228369 (-18.776330%)  |        Lambda: 1.313971 +- 0.232948 (-21.481686%)  | 
        Radius: 4.486502 +- 0.422633 (21.573691%)  |          Radius: 3.690356 +- 0.266852 (0.000000%)  |         Radius: 4.274425 +- 0.381128 (15.826901%)  |         Radius: 4.496876 +- 0.430884 (21.854802%)  | 
          Ref0: 0.391064 +- 0.119230 (70.929292%)  |            Ref0: 0.228787 +- 0.049449 (0.000000%)  |           Ref0: 0.335496 +- 0.103827 (46.641199%)  |           Ref0: 0.394244 +- 0.118609 (72.319231%)  | 
          Imf0: 0.489002 +- 0.102591 (33.251766%)  |            Imf0: 0.366976 +- 0.051708 (0.000000%)  |           Imf0: 0.417741 +- 0.089777 (13.833330%)  |           Imf0: 0.448545 +- 0.094692 (22.227339%)  | 
