                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.085129 +- 0.485627 (0.384933%)  |          Lambda: 1.080968 +- 0.510623 (0.000000%)  |         Lambda: 1.074490 +- 0.528644 (-0.599278%)  | 
        Radius: 4.572618 +- 0.703010 (-0.306018%)  |          Radius: 4.586654 +- 0.747368 (0.000000%)  |          Radius: 4.606038 +- 0.724192 (0.422617%)  | 
           Ref0: 0.305398 +- 0.155821 (0.351594%)  |            Ref0: 0.304328 +- 0.168946 (0.000000%)  |           Ref0: 0.302860 +- 0.161068 (-0.482374%)  | 
          Imf0: 0.518342 +- 0.213748 (-0.353722%)  |            Imf0: 0.520182 +- 0.232775 (0.000000%)  |            Imf0: 0.526294 +- 0.246508 (1.174973%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100513 +- 0.479240 (1.085891%)  |          Lambda: 1.088691 +- 0.499201 (0.000000%)  |         Lambda: 1.083815 +- 0.518599 (-0.447877%)  | 
        Radius: 4.572618 +- 0.703010 (-0.306018%)  |          Radius: 4.586654 +- 0.747368 (0.000000%)  |          Radius: 4.606038 +- 0.724192 (0.422617%)  | 
           Ref0: 0.305398 +- 0.155821 (0.351594%)  |            Ref0: 0.304328 +- 0.168946 (0.000000%)  |           Ref0: 0.302860 +- 0.161068 (-0.482374%)  | 
          Imf0: 0.518342 +- 0.213748 (-0.353722%)  |            Imf0: 0.520182 +- 0.232775 (0.000000%)  |            Imf0: 0.526294 +- 0.246508 (1.174973%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.912555 +- 0.418185 (1.363352%)  |          Lambda: 0.900281 +- 0.432203 (0.000000%)  |         Lambda: 0.871781 +- 0.435811 (-3.165678%)  | 
         Radius: 3.786298 +- 0.668795 (0.548699%)  |          Radius: 3.765636 +- 0.687577 (0.000000%)  |         Radius: 3.696480 +- 0.660198 (-1.836503%)  | 
           Ref0: 0.305398 +- 0.155821 (0.351594%)  |            Ref0: 0.304328 +- 0.168946 (0.000000%)  |           Ref0: 0.302860 +- 0.161068 (-0.482374%)  | 
          Imf0: 0.518342 +- 0.213748 (-0.353722%)  |            Imf0: 0.520182 +- 0.232775 (0.000000%)  |            Imf0: 0.526294 +- 0.246508 (1.174973%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.131987 +- 0.506515 (2.383242%)  |          Lambda: 1.105637 +- 0.520371 (0.000000%)  |         Lambda: 1.066318 +- 0.523769 (-3.556230%)  | 
         Radius: 3.786298 +- 0.668795 (0.548699%)  |          Radius: 3.765636 +- 0.687577 (0.000000%)  |         Radius: 3.696480 +- 0.660198 (-1.836503%)  | 
           Ref0: 0.305398 +- 0.155821 (0.351594%)  |            Ref0: 0.304328 +- 0.168946 (0.000000%)  |           Ref0: 0.302860 +- 0.161068 (-0.482374%)  | 
          Imf0: 0.518342 +- 0.213748 (-0.353722%)  |            Imf0: 0.520182 +- 0.232775 (0.000000%)  |            Imf0: 0.526294 +- 0.246508 (1.174973%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
