                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.251412 +- 0.307503 (0.427096%)  |          Lambda: 1.246090 +- 0.324802 (0.000000%)  |          Lambda: 1.264716 +- 0.281470 (1.494756%)  | 
        Radius: 6.010157 +- 0.810695 (-0.016769%)  |          Radius: 6.011165 +- 0.835293 (0.000000%)  |          Radius: 6.068609 +- 0.716392 (0.955622%)  | 
          Ref0: 0.390329 +- 0.138541 (-0.206067%)  |            Ref0: 0.391135 +- 0.135867 (0.000000%)  |            Ref0: 0.393410 +- 0.134232 (0.581641%)  | 
           Imf0: 0.492004 +- 0.111236 (0.039039%)  |            Imf0: 0.491812 +- 0.113579 (0.000000%)  |           Imf0: 0.491417 +- 0.111173 (-0.080315%)  | 
            d0: -4.294492 +- 1.555140 (1.813418%)  |            d0: -4.218002 +- 1.568704 (-0.000000%)  |            d0: -4.205937 +- 1.541924 (-0.286036%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.251412 +- 0.307503 (0.427096%)  |          Lambda: 1.246090 +- 0.324802 (0.000000%)  |          Lambda: 1.264716 +- 0.281470 (1.494756%)  | 
        Radius: 6.010157 +- 0.810695 (-0.016769%)  |          Radius: 6.011165 +- 0.835293 (0.000000%)  |          Radius: 6.068609 +- 0.716392 (0.955622%)  | 
          Ref0: 0.390329 +- 0.138541 (-0.206067%)  |            Ref0: 0.391135 +- 0.135867 (0.000000%)  |            Ref0: 0.393410 +- 0.134232 (0.581641%)  | 
           Imf0: 0.492004 +- 0.111236 (0.039039%)  |            Imf0: 0.491812 +- 0.113579 (0.000000%)  |           Imf0: 0.491417 +- 0.111173 (-0.080315%)  | 
            d0: -4.294492 +- 1.555140 (1.813418%)  |            d0: -4.218002 +- 1.568704 (-0.000000%)  |            d0: -4.205937 +- 1.541924 (-0.286036%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.921883 +- 0.205888 (1.732654%)  |          Lambda: 0.906182 +- 0.210176 (0.000000%)  |          Lambda: 0.907329 +- 0.195148 (0.126575%)  | 
         Radius: 4.663068 +- 0.553389 (0.459808%)  |          Radius: 4.641725 +- 0.557822 (0.000000%)  |          Radius: 4.668454 +- 0.520042 (0.575842%)  | 
          Ref0: 0.390329 +- 0.138541 (-0.206067%)  |            Ref0: 0.391135 +- 0.135867 (0.000000%)  |            Ref0: 0.393410 +- 0.134232 (0.581641%)  | 
           Imf0: 0.492004 +- 0.111236 (0.039039%)  |            Imf0: 0.491812 +- 0.113579 (0.000000%)  |           Imf0: 0.491417 +- 0.111173 (-0.080315%)  | 
            d0: -4.294492 +- 1.555140 (1.813418%)  |            d0: -4.218002 +- 1.568704 (-0.000000%)  |            d0: -4.205937 +- 1.541924 (-0.286036%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.921883 +- 0.205888 (1.732654%)  |          Lambda: 0.906182 +- 0.210176 (0.000000%)  |          Lambda: 0.907329 +- 0.195148 (0.126575%)  | 
         Radius: 4.663068 +- 0.553389 (0.459808%)  |          Radius: 4.641725 +- 0.557822 (0.000000%)  |          Radius: 4.668454 +- 0.520042 (0.575842%)  | 
          Ref0: 0.390329 +- 0.138541 (-0.206067%)  |            Ref0: 0.391135 +- 0.135867 (0.000000%)  |            Ref0: 0.393410 +- 0.134232 (0.581641%)  | 
           Imf0: 0.492004 +- 0.111236 (0.039039%)  |            Imf0: 0.491812 +- 0.113579 (0.000000%)  |           Imf0: 0.491417 +- 0.111173 (-0.080315%)  | 
            d0: -4.294492 +- 1.555140 (1.813418%)  |            d0: -4.218002 +- 1.568704 (-0.000000%)  |            d0: -4.205937 +- 1.541924 (-0.286036%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
