                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.729371 (0.000000%)  |          Lambda: 0.600000 +- 0.769409 (0.000000%)  |          Lambda: 0.600001 +- 0.730918 (0.000167%)  | 
         Radius: 2.812569 +- 0.406004 (2.572847%)  |          Radius: 2.742021 +- 0.419069 (0.000000%)  |          Radius: 2.778017 +- 0.405289 (1.312754%)  | 
          Ref0: -0.273084 +- 0.072247 (0.295653%)  |          Ref0: -0.272279 +- 0.073129 (-0.000000%)  |           Ref0: -0.280413 +- 0.074138 (2.987377%)  | 
           Imf0: 0.144845 +- 0.052931 (1.943934%)  |            Imf0: 0.142083 +- 0.055784 (0.000000%)  |            Imf0: 0.142965 +- 0.054155 (0.620764%)  | 
             d0: 2.719451 +- 0.617667 (7.241230%)  |              d0: 2.535826 +- 0.682281 (0.000000%)  |             d0: 2.498264 +- 0.643171 (-1.481253%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.729371 (0.000000%)  |          Lambda: 0.600000 +- 0.769409 (0.000000%)  |          Lambda: 0.600001 +- 0.730918 (0.000167%)  | 
         Radius: 2.812569 +- 0.406004 (2.572847%)  |          Radius: 2.742021 +- 0.419069 (0.000000%)  |          Radius: 2.778017 +- 0.405289 (1.312754%)  | 
          Ref0: -0.273084 +- 0.072247 (0.295653%)  |          Ref0: -0.272279 +- 0.073129 (-0.000000%)  |           Ref0: -0.280413 +- 0.074138 (2.987377%)  | 
           Imf0: 0.144845 +- 0.052931 (1.943934%)  |            Imf0: 0.142083 +- 0.055784 (0.000000%)  |            Imf0: 0.142965 +- 0.054155 (0.620764%)  | 
             d0: 2.719451 +- 0.617667 (7.241230%)  |              d0: 2.535826 +- 0.682281 (0.000000%)  |             d0: 2.498264 +- 0.643171 (-1.481253%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.729371 (0.000000%)  |          Lambda: 0.600000 +- 0.769409 (0.000000%)  |          Lambda: 0.600001 +- 0.730918 (0.000167%)  | 
         Radius: 2.172830 +- 0.333191 (0.315652%)  |          Radius: 2.165993 +- 0.349885 (0.000000%)  |          Radius: 2.196345 +- 0.339429 (1.401297%)  | 
          Ref0: -0.273084 +- 0.072247 (0.295653%)  |          Ref0: -0.272279 +- 0.073129 (-0.000000%)  |           Ref0: -0.280413 +- 0.074138 (2.987377%)  | 
           Imf0: 0.144845 +- 0.052931 (1.943934%)  |            Imf0: 0.142083 +- 0.055784 (0.000000%)  |            Imf0: 0.142965 +- 0.054155 (0.620764%)  | 
             d0: 2.719451 +- 0.617667 (7.241230%)  |              d0: 2.535826 +- 0.682281 (0.000000%)  |             d0: 2.498264 +- 0.643171 (-1.481253%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.729371 (0.000000%)  |          Lambda: 0.600000 +- 0.769409 (0.000000%)  |          Lambda: 0.600001 +- 0.730918 (0.000167%)  | 
         Radius: 2.172830 +- 0.333191 (0.315652%)  |          Radius: 2.165993 +- 0.349885 (0.000000%)  |          Radius: 2.196345 +- 0.339429 (1.401297%)  | 
          Ref0: -0.273084 +- 0.072247 (0.295653%)  |          Ref0: -0.272279 +- 0.073129 (-0.000000%)  |           Ref0: -0.280413 +- 0.074138 (2.987377%)  | 
           Imf0: 0.144845 +- 0.052931 (1.943934%)  |            Imf0: 0.142083 +- 0.055784 (0.000000%)  |            Imf0: 0.142965 +- 0.054155 (0.620764%)  | 
             d0: 2.719451 +- 0.617667 (7.241230%)  |              d0: 2.535826 +- 0.682281 (0.000000%)  |             d0: 2.498264 +- 0.643171 (-1.481253%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.729371 (0.000000%)  |          Lambda: 0.600000 +- 0.769409 (0.000000%)  |          Lambda: 0.600001 +- 0.730918 (0.000167%)  | 
         Radius: 1.583865 +- 0.252758 (0.181468%)  |          Radius: 1.580996 +- 0.267850 (0.000000%)  |          Radius: 1.597958 +- 0.258540 (1.072868%)  | 
          Ref0: -0.273084 +- 0.072247 (0.295653%)  |          Ref0: -0.272279 +- 0.073129 (-0.000000%)  |           Ref0: -0.280413 +- 0.074138 (2.987377%)  | 
           Imf0: 0.144845 +- 0.052931 (1.943934%)  |            Imf0: 0.142083 +- 0.055784 (0.000000%)  |            Imf0: 0.142965 +- 0.054155 (0.620764%)  | 
             d0: 2.719451 +- 0.617667 (7.241230%)  |              d0: 2.535826 +- 0.682281 (0.000000%)  |             d0: 2.498264 +- 0.643171 (-1.481253%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.729371 (0.000000%)  |          Lambda: 0.600000 +- 0.769409 (0.000000%)  |          Lambda: 0.600001 +- 0.730918 (0.000167%)  | 
         Radius: 1.583865 +- 0.252758 (0.181468%)  |          Radius: 1.580996 +- 0.267850 (0.000000%)  |          Radius: 1.597958 +- 0.258540 (1.072868%)  | 
          Ref0: -0.273084 +- 0.072247 (0.295653%)  |          Ref0: -0.272279 +- 0.073129 (-0.000000%)  |           Ref0: -0.280413 +- 0.074138 (2.987377%)  | 
           Imf0: 0.144845 +- 0.052931 (1.943934%)  |            Imf0: 0.142083 +- 0.055784 (0.000000%)  |            Imf0: 0.142965 +- 0.054155 (0.620764%)  | 
             d0: 2.719451 +- 0.617667 (7.241230%)  |              d0: 2.535826 +- 0.682281 (0.000000%)  |             d0: 2.498264 +- 0.643171 (-1.481253%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 348.409  NDF = 341  Chi2/NDF = 1.022 |        Chi2 = 346.012  NDF = 341  Chi2/NDF = 1.015 |        Chi2 = 345.354  NDF = 341  Chi2/NDF = 1.013 | 
                                                   |                                                    |                                                    | 
