                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.579082 +- 0.795288 (-12.130532%)  |          Lambda: 1.797077 +- 0.561062 (0.000000%)  |         Lambda: 1.645595 +- 0.871769 (-8.429355%)  | 
        Radius: 6.289037 +- 1.581814 (20.619966%)  |          Radius: 5.213927 +- 0.915435 (0.000000%)  |         Radius: 6.423948 +- 1.704493 (23.207479%)  | 
          Ref0: 0.437578 +- 0.213408 (90.254613%)  |            Ref0: 0.229996 +- 0.125654 (0.000000%)  |          Ref0: 0.492972 +- 0.205370 (114.339380%)  | 
          Imf0: 0.497665 +- 0.206742 (46.683978%)  |            Imf0: 0.339277 +- 0.120475 (0.000000%)  |           Imf0: 0.503130 +- 0.200928 (48.294756%)  | 
          d0: -4.917693 +- 2.701814 (-21.704568%)  |            d0: -6.280945 +- 2.893700 (-0.000000%)  |           d0: -4.441016 +- 2.374726 (-29.293824%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.548776 +- 0.746152 (-12.849202%)  |          Lambda: 1.777122 +- 0.533182 (0.000000%)  |         Lambda: 1.620557 +- 0.821995 (-8.810031%)  | 
        Radius: 6.289037 +- 1.581814 (20.619966%)  |          Radius: 5.213927 +- 0.915435 (0.000000%)  |         Radius: 6.423948 +- 1.704493 (23.207479%)  | 
          Ref0: 0.437578 +- 0.213408 (90.254613%)  |            Ref0: 0.229996 +- 0.125654 (0.000000%)  |          Ref0: 0.492972 +- 0.205370 (114.339380%)  | 
          Imf0: 0.497665 +- 0.206742 (46.683978%)  |            Imf0: 0.339277 +- 0.120475 (0.000000%)  |           Imf0: 0.503130 +- 0.200928 (48.294756%)  | 
          d0: -4.917693 +- 2.701814 (-21.704568%)  |            d0: -6.280945 +- 2.893700 (-0.000000%)  |           d0: -4.441016 +- 2.374726 (-29.293824%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.245592 +- 0.559257 (-28.621497%)  |          Lambda: 1.745052 +- 0.514333 (0.000000%)  |        Lambda: 1.259993 +- 0.608206 (-27.796249%)  | 
        Radius: 4.840920 +- 1.132708 (15.876380%)  |          Radius: 4.177659 +- 0.741995 (0.000000%)  |         Radius: 5.133360 +- 1.296106 (22.876472%)  | 
          Ref0: 0.437578 +- 0.213408 (90.254613%)  |            Ref0: 0.229996 +- 0.125654 (0.000000%)  |          Ref0: 0.492972 +- 0.205370 (114.339380%)  | 
          Imf0: 0.497665 +- 0.206742 (46.683978%)  |            Imf0: 0.339277 +- 0.120475 (0.000000%)  |           Imf0: 0.503130 +- 0.200928 (48.294756%)  | 
          d0: -4.917693 +- 2.701814 (-21.704568%)  |            d0: -6.280945 +- 2.893700 (-0.000000%)  |           d0: -4.441016 +- 2.374726 (-29.293824%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.485733 +- 0.658362 (-12.725407%)  |          Lambda: 1.702366 +- 0.498896 (0.000000%)  |        Lambda: 1.397946 +- 0.669515 (-17.882171%)  | 
        Radius: 4.840920 +- 1.132708 (15.876380%)  |          Radius: 4.177659 +- 0.741995 (0.000000%)  |         Radius: 5.133360 +- 1.296106 (22.876472%)  | 
          Ref0: 0.437578 +- 0.213408 (90.254613%)  |            Ref0: 0.229996 +- 0.125654 (0.000000%)  |          Ref0: 0.492972 +- 0.205370 (114.339380%)  | 
          Imf0: 0.497665 +- 0.206742 (46.683978%)  |            Imf0: 0.339277 +- 0.120475 (0.000000%)  |           Imf0: 0.503130 +- 0.200928 (48.294756%)  | 
          d0: -4.917693 +- 2.701814 (-21.704568%)  |            d0: -6.280945 +- 2.893700 (-0.000000%)  |           d0: -4.441016 +- 2.374726 (-29.293824%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
