                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.172062 (0.000000%)  |          Lambda: 0.400000 +- 0.190716 (0.000000%)  |          Lambda: 0.400000 +- 0.198758 (0.000000%)  | 
         Radius: 3.015665 +- 0.539887 (0.159922%)  |          Radius: 3.010850 +- 0.620631 (0.000000%)  |          Radius: 3.019973 +- 0.572572 (0.303004%)  | 
          Ref0: -0.186082 +- 0.034519 (1.495028%)  |          Ref0: -0.183341 +- 0.033977 (-0.000000%)  |           Ref0: -0.185592 +- 0.033860 (1.227767%)  | 
          Imf0: 0.190853 +- 0.090157 (-4.401901%)  |            Imf0: 0.199641 +- 0.110490 (0.000000%)  |           Imf0: 0.196220 +- 0.098334 (-1.713576%)  | 
            d0: 2.881056 +- 0.976340 (11.916789%)  |              d0: 2.574284 +- 1.094543 (0.000000%)  |              d0: 2.655529 +- 1.005849 (3.156023%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.172062 (0.000000%)  |          Lambda: 0.400000 +- 0.190716 (0.000000%)  |          Lambda: 0.400000 +- 0.198758 (0.000000%)  | 
         Radius: 3.015665 +- 0.539887 (0.159922%)  |          Radius: 3.010850 +- 0.620631 (0.000000%)  |          Radius: 3.019973 +- 0.572572 (0.303004%)  | 
          Ref0: -0.186082 +- 0.034519 (1.495028%)  |          Ref0: -0.183341 +- 0.033977 (-0.000000%)  |           Ref0: -0.185592 +- 0.033860 (1.227767%)  | 
          Imf0: 0.190853 +- 0.090157 (-4.401901%)  |            Imf0: 0.199641 +- 0.110490 (0.000000%)  |           Imf0: 0.196220 +- 0.098334 (-1.713576%)  | 
            d0: 2.881056 +- 0.976340 (11.916789%)  |              d0: 2.574284 +- 1.094543 (0.000000%)  |              d0: 2.655529 +- 1.005849 (3.156023%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.172062 (0.000000%)  |          Lambda: 0.400000 +- 0.190716 (0.000000%)  |          Lambda: 0.400000 +- 0.198758 (0.000000%)  | 
        Radius: 2.303620 +- 0.422027 (-1.212957%)  |          Radius: 2.331905 +- 0.485539 (0.000000%)  |         Radius: 2.323912 +- 0.448967 (-0.342767%)  | 
          Ref0: -0.186082 +- 0.034519 (1.495028%)  |          Ref0: -0.183341 +- 0.033977 (-0.000000%)  |           Ref0: -0.185592 +- 0.033860 (1.227767%)  | 
          Imf0: 0.190853 +- 0.090157 (-4.401901%)  |            Imf0: 0.199641 +- 0.110490 (0.000000%)  |           Imf0: 0.196220 +- 0.098334 (-1.713576%)  | 
            d0: 2.881056 +- 0.976340 (11.916789%)  |              d0: 2.574284 +- 1.094543 (0.000000%)  |              d0: 2.655529 +- 1.005849 (3.156023%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.172062 (0.000000%)  |          Lambda: 0.400000 +- 0.190716 (0.000000%)  |          Lambda: 0.400000 +- 0.198758 (0.000000%)  | 
        Radius: 2.303620 +- 0.422027 (-1.212957%)  |          Radius: 2.331905 +- 0.485539 (0.000000%)  |         Radius: 2.323912 +- 0.448967 (-0.342767%)  | 
          Ref0: -0.186082 +- 0.034519 (1.495028%)  |          Ref0: -0.183341 +- 0.033977 (-0.000000%)  |           Ref0: -0.185592 +- 0.033860 (1.227767%)  | 
          Imf0: 0.190853 +- 0.090157 (-4.401901%)  |            Imf0: 0.199641 +- 0.110490 (0.000000%)  |           Imf0: 0.196220 +- 0.098334 (-1.713576%)  | 
            d0: 2.881056 +- 0.976340 (11.916789%)  |              d0: 2.574284 +- 1.094543 (0.000000%)  |              d0: 2.655529 +- 1.005849 (3.156023%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.172062 (0.000000%)  |          Lambda: 0.400000 +- 0.190716 (0.000000%)  |          Lambda: 0.400000 +- 0.198758 (0.000000%)  | 
        Radius: 1.712400 +- 0.307396 (-0.346900%)  |          Radius: 1.718361 +- 0.349487 (0.000000%)  |         Radius: 1.708893 +- 0.322147 (-0.550990%)  | 
          Ref0: -0.186082 +- 0.034519 (1.495028%)  |          Ref0: -0.183341 +- 0.033977 (-0.000000%)  |           Ref0: -0.185592 +- 0.033860 (1.227767%)  | 
          Imf0: 0.190853 +- 0.090157 (-4.401901%)  |            Imf0: 0.199641 +- 0.110490 (0.000000%)  |           Imf0: 0.196220 +- 0.098334 (-1.713576%)  | 
            d0: 2.881056 +- 0.976340 (11.916789%)  |              d0: 2.574284 +- 1.094543 (0.000000%)  |              d0: 2.655529 +- 1.005849 (3.156023%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.400000 +- 0.172062 (0.000000%)  |          Lambda: 0.400000 +- 0.190716 (0.000000%)  |          Lambda: 0.400000 +- 0.198758 (0.000000%)  | 
        Radius: 1.712400 +- 0.307396 (-0.346900%)  |          Radius: 1.718361 +- 0.349487 (0.000000%)  |         Radius: 1.708893 +- 0.322147 (-0.550990%)  | 
          Ref0: -0.186082 +- 0.034519 (1.495028%)  |          Ref0: -0.183341 +- 0.033977 (-0.000000%)  |           Ref0: -0.185592 +- 0.033860 (1.227767%)  | 
          Imf0: 0.190853 +- 0.090157 (-4.401901%)  |            Imf0: 0.199641 +- 0.110490 (0.000000%)  |           Imf0: 0.196220 +- 0.098334 (-1.713576%)  | 
            d0: 2.881056 +- 0.976340 (11.916789%)  |              d0: 2.574284 +- 1.094543 (0.000000%)  |              d0: 2.655529 +- 1.005849 (3.156023%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 358.088  NDF = 341  Chi2/NDF = 1.050 |        Chi2 = 360.585  NDF = 341  Chi2/NDF = 1.057 |        Chi2 = 368.990  NDF = 341  Chi2/NDF = 1.082 | 
                                                   |                                                    |                                                    | 
