                      minAvgSepTrackPos = 7.500000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 8.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.766839 +- 0.762487 (-0.166517%)  |          Lambda: 1.769786 +- 0.766946 (0.000000%)  |          Lambda: 1.795151 +- 0.858785 (1.433224%)  | 
        Radius: 6.410016 +- 1.613425 (-0.157520%)  |          Radius: 6.420129 +- 1.635369 (0.000000%)  |          Radius: 6.481768 +- 1.684619 (0.960090%)  | 
           Ref0: 0.358714 +- 0.227386 (1.337936%)  |            Ref0: 0.353978 +- 0.218765 (0.000000%)  |            Ref0: 0.355459 +- 0.226253 (0.418388%)  | 
           Imf0: 0.412362 +- 0.168485 (0.595971%)  |            Imf0: 0.409919 +- 0.160965 (0.000000%)  |           Imf0: 0.408645 +- 0.187786 (-0.310793%)  | 
           d0: -5.503934 +- 3.082280 (-0.885076%)  |            d0: -5.553083 +- 2.975904 (-0.000000%)  |             d0: -5.609352 +- 3.431520 (1.013293%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.746962 +- 0.722174 (0.318016%)  |          Lambda: 1.741424 +- 0.722142 (0.000000%)  |          Lambda: 1.762974 +- 0.807339 (1.237493%)  | 
        Radius: 6.410016 +- 1.613425 (-0.157520%)  |          Radius: 6.420129 +- 1.635369 (0.000000%)  |          Radius: 6.481768 +- 1.684619 (0.960090%)  | 
           Ref0: 0.358714 +- 0.227386 (1.337936%)  |            Ref0: 0.353978 +- 0.218765 (0.000000%)  |            Ref0: 0.355459 +- 0.226253 (0.418388%)  | 
           Imf0: 0.412362 +- 0.168485 (0.595971%)  |            Imf0: 0.409919 +- 0.160965 (0.000000%)  |           Imf0: 0.408645 +- 0.187786 (-0.310793%)  | 
           d0: -5.503934 +- 3.082280 (-0.885076%)  |            d0: -5.553083 +- 2.975904 (-0.000000%)  |             d0: -5.609352 +- 3.431520 (1.013293%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.210032 +- 0.488102 (0.732330%)  |          Lambda: 1.201235 +- 0.488112 (0.000000%)  |         Lambda: 1.171401 +- 0.508379 (-2.483611%)  | 
         Radius: 4.989775 +- 1.206177 (0.392757%)  |          Radius: 4.970254 +- 1.214634 (0.000000%)  |         Radius: 4.920201 +- 1.202227 (-1.007051%)  | 
           Ref0: 0.358714 +- 0.227386 (1.337936%)  |            Ref0: 0.353978 +- 0.218765 (0.000000%)  |            Ref0: 0.355459 +- 0.226253 (0.418388%)  | 
           Imf0: 0.412362 +- 0.168485 (0.595971%)  |            Imf0: 0.409919 +- 0.160965 (0.000000%)  |           Imf0: 0.408645 +- 0.187786 (-0.310793%)  | 
           d0: -5.503934 +- 3.082280 (-0.885076%)  |            d0: -5.553083 +- 2.975904 (-0.000000%)  |             d0: -5.609352 +- 3.431520 (1.013293%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.584841 +- 0.621162 (0.739380%)  |          Lambda: 1.573209 +- 0.621155 (0.000000%)  |         Lambda: 1.558980 +- 0.661550 (-0.904457%)  | 
         Radius: 4.989775 +- 1.206177 (0.392757%)  |          Radius: 4.970254 +- 1.214634 (0.000000%)  |         Radius: 4.920201 +- 1.202227 (-1.007051%)  | 
           Ref0: 0.358714 +- 0.227386 (1.337936%)  |            Ref0: 0.353978 +- 0.218765 (0.000000%)  |            Ref0: 0.355459 +- 0.226253 (0.418388%)  | 
           Imf0: 0.412362 +- 0.168485 (0.595971%)  |            Imf0: 0.409919 +- 0.160965 (0.000000%)  |           Imf0: 0.408645 +- 0.187786 (-0.310793%)  | 
           d0: -5.503934 +- 3.082280 (-0.885076%)  |            d0: -5.553083 +- 2.975904 (-0.000000%)  |             d0: -5.609352 +- 3.431520 (1.013293%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
