                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.500000 +- 0.147788 (0.000000%)  |          Lambda: 1.500000 +- 0.139926 (0.000000%)  |          Lambda: 1.500000 +- 0.135978 (0.000000%)  | 
        Radius: 5.975877 +- 0.240721 (-0.233561%)  |          Radius: 5.989867 +- 0.234312 (0.000000%)  |          Radius: 5.995146 +- 0.240537 (0.088132%)  | 
          Ref0: 0.522890 +- 0.133512 (-1.250585%)  |            Ref0: 0.529512 +- 0.131009 (0.000000%)  |            Ref0: 0.529709 +- 0.133328 (0.037204%)  | 
          Imf0: 0.618370 +- 0.094728 (-0.701578%)  |            Imf0: 0.622739 +- 0.092961 (0.000000%)  |            Imf0: 0.623819 +- 0.094887 (0.173427%)  | 
            d0: -3.207675 +- 1.003192 (0.585165%)  |            d0: -3.189014 +- 0.980083 (-0.000000%)  |            d0: -3.188429 +- 0.981007 (-0.018344%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.500000 +- 0.147788 (0.000000%)  |          Lambda: 1.500000 +- 0.139926 (0.000000%)  |          Lambda: 1.500000 +- 0.135978 (0.000000%)  | 
        Radius: 5.975877 +- 0.240721 (-0.233561%)  |          Radius: 5.989867 +- 0.234312 (0.000000%)  |          Radius: 5.995146 +- 0.240537 (0.088132%)  | 
          Ref0: 0.522890 +- 0.133512 (-1.250585%)  |            Ref0: 0.529512 +- 0.131009 (0.000000%)  |            Ref0: 0.529709 +- 0.133328 (0.037204%)  | 
          Imf0: 0.618370 +- 0.094728 (-0.701578%)  |            Imf0: 0.622739 +- 0.092961 (0.000000%)  |            Imf0: 0.623819 +- 0.094887 (0.173427%)  | 
            d0: -3.207675 +- 1.003192 (0.585165%)  |            d0: -3.189014 +- 0.980083 (-0.000000%)  |            d0: -3.188429 +- 0.981007 (-0.018344%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.040765 +- 0.152227 (-0.030545%)  |          Lambda: 1.041083 +- 0.151465 (0.000000%)  |         Lambda: 1.037557 +- 0.151553 (-0.338686%)  | 
        Radius: 4.422107 +- 0.357363 (-0.252161%)  |          Radius: 4.433286 +- 0.355038 (0.000000%)  |         Radius: 4.426245 +- 0.357273 (-0.158821%)  | 
          Ref0: 0.522890 +- 0.133512 (-1.250585%)  |            Ref0: 0.529512 +- 0.131009 (0.000000%)  |            Ref0: 0.529709 +- 0.133328 (0.037204%)  | 
          Imf0: 0.618370 +- 0.094728 (-0.701578%)  |            Imf0: 0.622739 +- 0.092961 (0.000000%)  |            Imf0: 0.623819 +- 0.094887 (0.173427%)  | 
            d0: -3.207675 +- 1.003192 (0.585165%)  |            d0: -3.189014 +- 0.980083 (-0.000000%)  |            d0: -3.188429 +- 0.981007 (-0.018344%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.040765 +- 0.152227 (-0.030545%)  |          Lambda: 1.041083 +- 0.151465 (0.000000%)  |         Lambda: 1.037557 +- 0.151553 (-0.338686%)  | 
        Radius: 4.422107 +- 0.357363 (-0.252161%)  |          Radius: 4.433286 +- 0.355038 (0.000000%)  |         Radius: 4.426245 +- 0.357273 (-0.158821%)  | 
          Ref0: 0.522890 +- 0.133512 (-1.250585%)  |            Ref0: 0.529512 +- 0.131009 (0.000000%)  |            Ref0: 0.529709 +- 0.133328 (0.037204%)  | 
          Imf0: 0.618370 +- 0.094728 (-0.701578%)  |            Imf0: 0.622739 +- 0.092961 (0.000000%)  |            Imf0: 0.623819 +- 0.094887 (0.173427%)  | 
            d0: -3.207675 +- 1.003192 (0.585165%)  |            d0: -3.189014 +- 0.980083 (-0.000000%)  |            d0: -3.188429 +- 0.981007 (-0.018344%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
