                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.619551 +- 0.179712 (-13.490587%)  |          Lambda: 0.716166 +- 0.184267 (0.000000%)  |         Lambda: 0.800000 +- 0.630238 (11.705945%)  | 
        Radius: 4.650747 +- 0.766256 (-7.283810%)  |          Radius: 5.016111 +- 0.819143 (0.000000%)  |          Radius: 5.394400 +- 0.681226 (7.541480%)  | 
         Ref0: -0.378856 +- 0.080547 (-0.309972%)  |          Ref0: -0.380034 +- 0.077928 (-0.000000%)  |          Ref0: -0.362274 +- 0.052247 (-4.673266%)  | 
          Imf0: 0.481490 +- 0.185471 (-0.751133%)  |            Imf0: 0.485134 +- 0.197350 (0.000000%)  |            Imf0: 0.509285 +- 0.202767 (4.978212%)  | 
           d0: -3.826652 +- 0.974553 (-6.005256%)  |            d0: -4.071134 +- 1.030539 (-0.000000%)  |             d0: -4.330392 +- 0.880983 (6.368201%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.583331 +- 0.170659 (-13.298137%)  |          Lambda: 0.672801 +- 0.182713 (0.000000%)  |         Lambda: 0.740386 +- 0.036345 (10.045318%)  | 
        Radius: 4.650747 +- 0.766256 (-7.283810%)  |          Radius: 5.016111 +- 0.819143 (0.000000%)  |          Radius: 5.394400 +- 0.681226 (7.541480%)  | 
         Ref0: -0.378856 +- 0.080547 (-0.309972%)  |          Ref0: -0.380034 +- 0.077928 (-0.000000%)  |          Ref0: -0.362274 +- 0.052247 (-4.673266%)  | 
          Imf0: 0.481490 +- 0.185471 (-0.751133%)  |            Imf0: 0.485134 +- 0.197350 (0.000000%)  |            Imf0: 0.509285 +- 0.202767 (4.978212%)  | 
           d0: -3.826652 +- 0.974553 (-6.005256%)  |            d0: -4.071134 +- 1.030539 (-0.000000%)  |             d0: -4.330392 +- 0.880983 (6.368201%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.800000 +- 0.436423 (0.000000%)  |          Lambda: 0.800000 +- 0.455478 (0.000000%)  |          Lambda: 0.800000 +- 0.484981 (0.000000%)  | 
        Radius: 4.975475 +- 0.623433 (-0.487316%)  |          Radius: 4.999840 +- 0.661419 (0.000000%)  |          Radius: 5.126799 +- 0.660848 (2.539261%)  | 
         Ref0: -0.378856 +- 0.080547 (-0.309972%)  |          Ref0: -0.380034 +- 0.077928 (-0.000000%)  |          Ref0: -0.362274 +- 0.052247 (-4.673266%)  | 
          Imf0: 0.481490 +- 0.185471 (-0.751133%)  |            Imf0: 0.485134 +- 0.197350 (0.000000%)  |            Imf0: 0.509285 +- 0.202767 (4.978212%)  | 
           d0: -3.826652 +- 0.974553 (-6.005256%)  |            d0: -4.071134 +- 1.030539 (-0.000000%)  |             d0: -4.330392 +- 0.880983 (6.368201%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.616188 +- 0.059502 (-0.542652%)  |          Lambda: 0.619550 +- 0.061351 (0.000000%)  |          Lambda: 0.634784 +- 0.065030 (2.458881%)  | 
        Radius: 4.975475 +- 0.623433 (-0.487316%)  |          Radius: 4.999840 +- 0.661419 (0.000000%)  |          Radius: 5.126799 +- 0.660848 (2.539261%)  | 
         Ref0: -0.378856 +- 0.080547 (-0.309972%)  |          Ref0: -0.380034 +- 0.077928 (-0.000000%)  |          Ref0: -0.362274 +- 0.052247 (-4.673266%)  | 
          Imf0: 0.481490 +- 0.185471 (-0.751133%)  |            Imf0: 0.485134 +- 0.197350 (0.000000%)  |            Imf0: 0.509285 +- 0.202767 (4.978212%)  | 
           d0: -3.826652 +- 0.974553 (-6.005256%)  |            d0: -4.071134 +- 1.030539 (-0.000000%)  |             d0: -4.330392 +- 0.880983 (6.368201%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
