                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.672802 +- 0.388137 (-12.264218%)  |          Lambda: 1.906636 +- 0.316556 (0.000000%)  |         Lambda: 1.796791 +- 0.350420 (-5.761194%)  |         Lambda: 1.871465 +- 0.440614 (-1.844663%)  | 
        Radius: 6.336794 +- 0.748503 (21.867071%)  |          Radius: 5.199759 +- 0.442408 (0.000000%)  |         Radius: 6.215634 +- 0.654617 (19.536963%)  |         Radius: 6.592177 +- 0.821371 (26.778510%)  | 
          Ref0: 0.513279 +- 0.148117 (95.823557%)  |            Ref0: 0.262113 +- 0.069491 (0.000000%)  |           Ref0: 0.453438 +- 0.134622 (72.993327%)  |           Ref0: 0.522056 +- 0.142052 (99.172113%)  | 
          Imf0: 0.588913 +- 0.126208 (50.028533%)  |            Imf0: 0.392534 +- 0.068530 (0.000000%)  |           Imf0: 0.515826 +- 0.100596 (31.409254%)  |           Imf0: 0.545754 +- 0.107966 (39.033561%)  | 
          d0: -3.725228 +- 1.306904 (-23.745116%)  |            d0: -4.885232 +- 1.235676 (-0.000000%)  |           d0: -3.799105 +- 1.268400 (-22.232864%)  |           d0: -3.607305 +- 1.212670 (-26.158983%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.672802 +- 0.388137 (-12.264218%)  |          Lambda: 1.906636 +- 0.316556 (0.000000%)  |         Lambda: 1.796791 +- 0.350420 (-5.761194%)  |         Lambda: 1.871465 +- 0.440614 (-1.844663%)  | 
        Radius: 6.336794 +- 0.748503 (21.867071%)  |          Radius: 5.199759 +- 0.442408 (0.000000%)  |         Radius: 6.215634 +- 0.654617 (19.536963%)  |         Radius: 6.592177 +- 0.821371 (26.778510%)  | 
          Ref0: 0.513279 +- 0.148117 (95.823557%)  |            Ref0: 0.262113 +- 0.069491 (0.000000%)  |           Ref0: 0.453438 +- 0.134622 (72.993327%)  |           Ref0: 0.522056 +- 0.142052 (99.172113%)  | 
          Imf0: 0.588913 +- 0.126208 (50.028533%)  |            Imf0: 0.392534 +- 0.068530 (0.000000%)  |           Imf0: 0.515826 +- 0.100596 (31.409254%)  |           Imf0: 0.545754 +- 0.107966 (39.033561%)  | 
          d0: -3.725228 +- 1.306904 (-23.745116%)  |            d0: -4.885232 +- 1.235676 (-0.000000%)  |           d0: -3.799105 +- 1.268400 (-22.232864%)  |           d0: -3.607305 +- 1.212670 (-26.158983%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.323747 +- 0.283781 (-22.673903%)  |          Lambda: 1.711902 +- 0.280721 (0.000000%)  |        Lambda: 1.299615 +- 0.248451 (-24.083563%)  |        Lambda: 1.269810 +- 0.271319 (-25.824609%)  | 
        Radius: 4.876520 +- 0.526439 (18.593307%)  |          Radius: 4.111969 +- 0.342795 (0.000000%)  |         Radius: 4.692855 +- 0.471512 (14.126712%)  |         Radius: 4.906268 +- 0.539168 (19.316756%)  | 
          Ref0: 0.513279 +- 0.148117 (95.823557%)  |            Ref0: 0.262113 +- 0.069491 (0.000000%)  |           Ref0: 0.453438 +- 0.134622 (72.993327%)  |           Ref0: 0.522056 +- 0.142052 (99.172113%)  | 
          Imf0: 0.588913 +- 0.126208 (50.028533%)  |            Imf0: 0.392534 +- 0.068530 (0.000000%)  |           Imf0: 0.515826 +- 0.100596 (31.409254%)  |           Imf0: 0.545754 +- 0.107966 (39.033561%)  | 
