                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.672802 +- 0.388137 (-12.264218%)  |          Lambda: 1.906636 +- 0.316556 (0.000000%)  |         Lambda: 1.796791 +- 0.350420 (-5.761194%)  |         Lambda: 1.871465 +- 0.440614 (-1.844663%)  | 
        Radius: 6.336794 +- 0.748503 (21.867071%)  |          Radius: 5.199759 +- 0.442408 (0.000000%)  |         Radius: 6.215634 +- 0.654617 (19.536963%)  |         Radius: 6.592177 +- 0.821371 (26.778510%)  | 
         Ref0: -1.144922 +- 0.195541 (65.407175%)  |          Ref0: -0.692184 +- 0.092022 (-0.000000%)  |          Ref0: -1.076506 +- 0.145207 (55.523098%)  |          Ref0: -1.138256 +- 0.179123 (64.444136%)  | 
         Imf0: 0.717023 +- 0.172550 (105.370098%)  |            Imf0: 0.349137 +- 0.068823 (0.000000%)  |           Imf0: 0.566792 +- 0.140298 (62.340858%)  |           Imf0: 0.662982 +- 0.163969 (89.891647%)  | 
           d0: 0.828632 +- 0.460222 (-44.930418%)  |              d0: 1.504700 +- 0.169708 (0.000000%)  |            d0: 0.925640 +- 0.346930 (-38.483419%)  |            d0: 0.680584 +- 0.474924 (-54.769456%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 1.672802 +- 0.388137 (-12.264218%)  |          Lambda: 1.906636 +- 0.316556 (0.000000%)  |         Lambda: 1.796791 +- 0.350420 (-5.761194%)  |         Lambda: 1.871465 +- 0.440614 (-1.844663%)  | 
        Radius: 6.336794 +- 0.748503 (21.867071%)  |          Radius: 5.199759 +- 0.442408 (0.000000%)  |         Radius: 6.215634 +- 0.654617 (19.536963%)  |         Radius: 6.592177 +- 0.821371 (26.778510%)  | 
         Ref0: -1.144922 +- 0.195541 (65.407175%)  |          Ref0: -0.692184 +- 0.092022 (-0.000000%)  |          Ref0: -1.076506 +- 0.145207 (55.523098%)  |          Ref0: -1.138256 +- 0.179123 (64.444136%)  | 
         Imf0: 0.717023 +- 0.172550 (105.370098%)  |            Imf0: 0.349137 +- 0.068823 (0.000000%)  |           Imf0: 0.566792 +- 0.140298 (62.340858%)  |           Imf0: 0.662982 +- 0.163969 (89.891647%)  | 
           d0: 0.828632 +- 0.460222 (-44.930418%)  |              d0: 1.504700 +- 0.169708 (0.000000%)  |            d0: 0.925640 +- 0.346930 (-38.483419%)  |            d0: 0.680584 +- 0.474924 (-54.769456%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
