                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.806434 (0.000000%)  |          Lambda: 0.600000 +- 0.808122 (0.000000%)  |          Lambda: 0.600000 +- 0.806432 (0.000000%)  | 
        Radius: 3.064169 +- 0.567278 (-0.008648%)  |          Radius: 3.064434 +- 0.645423 (0.000000%)  |          Radius: 3.080158 +- 0.609225 (0.513113%)  | 
          Ref0: -0.178668 +- 0.035741 (1.532062%)  |          Ref0: -0.175972 +- 0.035385 (-0.000000%)  |           Ref0: -0.178267 +- 0.035606 (1.304185%)  | 
          Imf0: 0.176865 +- 0.085216 (-4.734075%)  |            Imf0: 0.185654 +- 0.103885 (0.000000%)  |           Imf0: 0.183644 +- 0.095182 (-1.082659%)  | 
            d0: 2.907390 +- 1.067500 (12.714874%)  |              d0: 2.579420 +- 1.209060 (0.000000%)  |              d0: 2.654115 +- 1.117021 (2.895806%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.806434 (0.000000%)  |          Lambda: 0.600000 +- 0.808122 (0.000000%)  |          Lambda: 0.600000 +- 0.806432 (0.000000%)  | 
        Radius: 3.064169 +- 0.567278 (-0.008648%)  |          Radius: 3.064434 +- 0.645423 (0.000000%)  |          Radius: 3.080158 +- 0.609225 (0.513113%)  | 
          Ref0: -0.178668 +- 0.035741 (1.532062%)  |          Ref0: -0.175972 +- 0.035385 (-0.000000%)  |           Ref0: -0.178267 +- 0.035606 (1.304185%)  | 
          Imf0: 0.176865 +- 0.085216 (-4.734075%)  |            Imf0: 0.185654 +- 0.103885 (0.000000%)  |           Imf0: 0.183644 +- 0.095182 (-1.082659%)  | 
            d0: 2.907390 +- 1.067500 (12.714874%)  |              d0: 2.579420 +- 1.209060 (0.000000%)  |              d0: 2.654115 +- 1.117021 (2.895806%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.806434 (0.000000%)  |          Lambda: 0.600000 +- 0.808122 (0.000000%)  |          Lambda: 0.600000 +- 0.806432 (0.000000%)  | 
        Radius: 2.358800 +- 0.447615 (-1.351132%)  |          Radius: 2.391107 +- 0.509832 (0.000000%)  |         Radius: 2.388943 +- 0.481676 (-0.090502%)  | 
          Ref0: -0.178668 +- 0.035741 (1.532062%)  |          Ref0: -0.175972 +- 0.035385 (-0.000000%)  |           Ref0: -0.178267 +- 0.035606 (1.304185%)  | 
          Imf0: 0.176865 +- 0.085216 (-4.734075%)  |            Imf0: 0.185654 +- 0.103885 (0.000000%)  |           Imf0: 0.183644 +- 0.095182 (-1.082659%)  | 
            d0: 2.907390 +- 1.067500 (12.714874%)  |              d0: 2.579420 +- 1.209060 (0.000000%)  |              d0: 2.654115 +- 1.117021 (2.895806%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.806434 (0.000000%)  |          Lambda: 0.600000 +- 0.808122 (0.000000%)  |          Lambda: 0.600000 +- 0.806432 (0.000000%)  | 
        Radius: 2.358800 +- 0.447615 (-1.351132%)  |          Radius: 2.391107 +- 0.509832 (0.000000%)  |         Radius: 2.388943 +- 0.481676 (-0.090502%)  | 
          Ref0: -0.178668 +- 0.035741 (1.532062%)  |          Ref0: -0.175972 +- 0.035385 (-0.000000%)  |           Ref0: -0.178267 +- 0.035606 (1.304185%)  | 
          Imf0: 0.176865 +- 0.085216 (-4.734075%)  |            Imf0: 0.185654 +- 0.103885 (0.000000%)  |           Imf0: 0.183644 +- 0.095182 (-1.082659%)  | 
            d0: 2.907390 +- 1.067500 (12.714874%)  |              d0: 2.579420 +- 1.209060 (0.000000%)  |              d0: 2.654115 +- 1.117021 (2.895806%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.806434 (0.000000%)  |          Lambda: 0.600000 +- 0.808122 (0.000000%)  |          Lambda: 0.600000 +- 0.806432 (0.000000%)  | 
        Radius: 1.748839 +- 0.324313 (-0.551198%)  |          Radius: 1.758532 +- 0.365231 (0.000000%)  |         Radius: 1.752308 +- 0.343385 (-0.353932%)  | 
          Ref0: -0.178668 +- 0.035741 (1.532062%)  |          Ref0: -0.175972 +- 0.035385 (-0.000000%)  |           Ref0: -0.178267 +- 0.035606 (1.304185%)  | 
          Imf0: 0.176865 +- 0.085216 (-4.734075%)  |            Imf0: 0.185654 +- 0.103885 (0.000000%)  |           Imf0: 0.183644 +- 0.095182 (-1.082659%)  | 
            d0: 2.907390 +- 1.067500 (12.714874%)  |              d0: 2.579420 +- 1.209060 (0.000000%)  |              d0: 2.654115 +- 1.117021 (2.895806%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.806434 (0.000000%)  |          Lambda: 0.600000 +- 0.808122 (0.000000%)  |          Lambda: 0.600000 +- 0.806432 (0.000000%)  | 
        Radius: 1.748839 +- 0.324313 (-0.551198%)  |          Radius: 1.758532 +- 0.365231 (0.000000%)  |         Radius: 1.752308 +- 0.343385 (-0.353932%)  | 
          Ref0: -0.178668 +- 0.035741 (1.532062%)  |          Ref0: -0.175972 +- 0.035385 (-0.000000%)  |           Ref0: -0.178267 +- 0.035606 (1.304185%)  | 
          Imf0: 0.176865 +- 0.085216 (-4.734075%)  |            Imf0: 0.185654 +- 0.103885 (0.000000%)  |           Imf0: 0.183644 +- 0.095182 (-1.082659%)  | 
            d0: 2.907390 +- 1.067500 (12.714874%)  |              d0: 2.579420 +- 1.209060 (0.000000%)  |              d0: 2.654115 +- 1.117021 (2.895806%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 358.069  NDF = 341  Chi2/NDF = 1.050 |        Chi2 = 360.444  NDF = 341  Chi2/NDF = 1.057 |        Chi2 = 368.870  NDF = 341  Chi2/NDF = 1.082 | 
                                                   |                                                    |                                                    | 
