                      minAvgSepTrackPos = 7.500000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 8.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.055373 +- 0.400740 (-4.809696%)  |          Lambda: 1.108698 +- 0.487345 (0.000000%)  |          Lambda: 1.155346 +- 0.468893 (4.207458%)  | 
        Radius: 5.057350 +- 0.952211 (-1.793137%)  |          Radius: 5.149691 +- 1.099319 (0.000000%)  |          Radius: 5.288002 +- 1.068309 (2.685812%)  | 
         Ref0: -1.569891 +- 0.373653 (-0.151818%)  |          Ref0: -1.572278 +- 0.406322 (-0.000000%)  |          Ref0: -1.564652 +- 0.406524 (-0.485029%)  | 
           Imf0: 0.671942 +- 0.410771 (1.524510%)  |            Imf0: 0.661852 +- 0.437590 (0.000000%)  |            Imf0: 0.688725 +- 0.454081 (4.060273%)  | 
             d0: 1.187378 +- 0.817931 (9.006065%)  |              d0: 1.089277 +- 0.834743 (0.000000%)  |             d0: 1.030509 +- 0.853934 (-5.395138%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.049826 +- 0.401557 (-4.089568%)  |          Lambda: 1.094590 +- 0.485155 (0.000000%)  |          Lambda: 1.138525 +- 0.466378 (4.013832%)  | 
        Radius: 5.057350 +- 0.952211 (-1.793137%)  |          Radius: 5.149691 +- 1.099319 (0.000000%)  |          Radius: 5.288002 +- 1.068309 (2.685812%)  | 
         Ref0: -1.569891 +- 0.373653 (-0.151818%)  |          Ref0: -1.572278 +- 0.406322 (-0.000000%)  |          Ref0: -1.564652 +- 0.406524 (-0.485029%)  | 
           Imf0: 0.671942 +- 0.410771 (1.524510%)  |            Imf0: 0.661852 +- 0.437590 (0.000000%)  |            Imf0: 0.688725 +- 0.454081 (4.060273%)  | 
             d0: 1.187378 +- 0.817931 (9.006065%)  |              d0: 1.089277 +- 0.834743 (0.000000%)  |             d0: 1.030509 +- 0.853934 (-5.395138%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.655774 +- 0.789183 (13.684357%)  |          Lambda: 1.456466 +- 0.704968 (0.000000%)  |         Lambda: 1.399059 +- 0.673022 (-3.941527%)  | 
         Radius: 5.418517 +- 1.253983 (6.082418%)  |          Radius: 5.107837 +- 1.183374 (0.000000%)  |         Radius: 5.069045 +- 1.160872 (-0.759460%)  | 
         Ref0: -1.569891 +- 0.373653 (-0.151818%)  |          Ref0: -1.572278 +- 0.406322 (-0.000000%)  |          Ref0: -1.564652 +- 0.406524 (-0.485029%)  | 
           Imf0: 0.671942 +- 0.410771 (1.524510%)  |            Imf0: 0.661852 +- 0.437590 (0.000000%)  |            Imf0: 0.688725 +- 0.454081 (4.060273%)  | 
             d0: 1.187378 +- 0.817931 (9.006065%)  |              d0: 1.089277 +- 0.834743 (0.000000%)  |             d0: 1.030509 +- 0.853934 (-5.395138%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.415864 +- 0.667294 (13.233338%)  |          Lambda: 1.250395 +- 0.599451 (0.000000%)  |         Lambda: 1.214193 +- 0.578474 (-2.895245%)  | 
         Radius: 5.418517 +- 1.253983 (6.082418%)  |          Radius: 5.107837 +- 1.183374 (0.000000%)  |         Radius: 5.069045 +- 1.160872 (-0.759460%)  | 
         Ref0: -1.569891 +- 0.373653 (-0.151818%)  |          Ref0: -1.572278 +- 0.406322 (-0.000000%)  |          Ref0: -1.564652 +- 0.406524 (-0.485029%)  | 
           Imf0: 0.671942 +- 0.410771 (1.524510%)  |            Imf0: 0.661852 +- 0.437590 (0.000000%)  |            Imf0: 0.688725 +- 0.454081 (4.060273%)  | 
             d0: 1.187378 +- 0.817931 (9.006065%)  |              d0: 1.089277 +- 0.834743 (0.000000%)  |             d0: 1.030509 +- 0.853934 (-5.395138%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
