                      minAvgSepTrackPos = 7.500000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 8.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.475928 +- 0.194531 (0.005884%)  |          Lambda: 0.475900 +- 0.197193 (0.000000%)  |         Lambda: 0.469037 +- 0.210107 (-1.442110%)  | 
         Radius: 4.719336 +- 0.880579 (0.243124%)  |          Radius: 4.707890 +- 0.896696 (0.000000%)  |         Radius: 4.667405 +- 0.876609 (-0.859939%)  | 
           Ref0: 0.157940 +- 0.142231 (3.457989%)  |            Ref0: 0.152661 +- 0.148144 (0.000000%)  |           Ref0: 0.147233 +- 0.142913 (-3.555590%)  | 
           Imf0: 0.426608 +- 0.193484 (1.111830%)  |            Imf0: 0.421917 +- 0.203920 (0.000000%)  |           Imf0: 0.421106 +- 0.211918 (-0.192218%)  | 
           d0: -5.222320 +- 3.106876 (-0.970306%)  |            d0: -5.273489 +- 3.291661 (-0.000000%)  |             d0: -5.310317 +- 3.481537 (0.698361%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.500736 +- 0.203740 (0.447135%)  |          Lambda: 0.498507 +- 0.205440 (0.000000%)  |         Lambda: 0.490691 +- 0.219009 (-1.567882%)  | 
         Radius: 4.719336 +- 0.880579 (0.243124%)  |          Radius: 4.707890 +- 0.896696 (0.000000%)  |         Radius: 4.667405 +- 0.876609 (-0.859939%)  | 
           Ref0: 0.157940 +- 0.142231 (3.457989%)  |            Ref0: 0.152661 +- 0.148144 (0.000000%)  |           Ref0: 0.147233 +- 0.142913 (-3.555590%)  | 
           Imf0: 0.426608 +- 0.193484 (1.111830%)  |            Imf0: 0.421917 +- 0.203920 (0.000000%)  |           Imf0: 0.421106 +- 0.211918 (-0.192218%)  | 
           d0: -5.222320 +- 3.106876 (-0.970306%)  |            d0: -5.273489 +- 3.291661 (-0.000000%)  |             d0: -5.310317 +- 3.481537 (0.698361%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.386015 +- 0.160510 (0.903126%)  |          Lambda: 0.382560 +- 0.161824 (0.000000%)  |         Lambda: 0.362583 +- 0.160108 (-5.221926%)  | 
         Radius: 3.985691 +- 0.771030 (0.678941%)  |          Radius: 3.958813 +- 0.780235 (0.000000%)  |         Radius: 3.864249 +- 0.745194 (-2.388696%)  | 
           Ref0: 0.157940 +- 0.142231 (3.457989%)  |            Ref0: 0.152661 +- 0.148144 (0.000000%)  |           Ref0: 0.147233 +- 0.142913 (-3.555590%)  | 
           Imf0: 0.426608 +- 0.193484 (1.111830%)  |            Imf0: 0.421917 +- 0.203920 (0.000000%)  |           Imf0: 0.421106 +- 0.211918 (-0.192218%)  | 
           d0: -5.222320 +- 3.106876 (-0.970306%)  |            d0: -5.273489 +- 3.291661 (-0.000000%)  |             d0: -5.310317 +- 3.481537 (0.698361%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.495307 +- 0.201303 (0.905550%)  |          Lambda: 0.490862 +- 0.202959 (0.000000%)  |         Lambda: 0.472798 +- 0.204552 (-3.680057%)  | 
         Radius: 3.985691 +- 0.771030 (0.678941%)  |          Radius: 3.958813 +- 0.780235 (0.000000%)  |         Radius: 3.864249 +- 0.745194 (-2.388696%)  | 
           Ref0: 0.157940 +- 0.142231 (3.457989%)  |            Ref0: 0.152661 +- 0.148144 (0.000000%)  |           Ref0: 0.147233 +- 0.142913 (-3.555590%)  | 
           Imf0: 0.426608 +- 0.193484 (1.111830%)  |            Imf0: 0.421917 +- 0.203920 (0.000000%)  |           Imf0: 0.421106 +- 0.211918 (-0.192218%)  | 
           d0: -5.222320 +- 3.106876 (-0.970306%)  |            d0: -5.273489 +- 3.291661 (-0.000000%)  |             d0: -5.310317 +- 3.481537 (0.698361%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
