                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.832182 (0.000000%)  |          Lambda: 0.600001 +- 0.827425 (0.000000%)  |          Lambda: 0.600003 +- 0.671787 (0.000333%)  | 
         Radius: 2.836879 +- 0.414459 (2.505734%)  |          Radius: 2.767532 +- 0.419511 (0.000000%)  |          Radius: 2.803728 +- 0.430263 (1.307880%)  | 
         Ref0: -0.236289 +- 0.059411 (-0.024117%)  |          Ref0: -0.236346 +- 0.059424 (-0.000000%)  |           Ref0: -0.242996 +- 0.062622 (2.813671%)  | 
           Imf0: 0.142520 +- 0.050534 (1.744767%)  |            Imf0: 0.140076 +- 0.052514 (0.000000%)  |            Imf0: 0.141365 +- 0.053407 (0.920215%)  | 
             d0: 2.990519 +- 0.699132 (7.333673%)  |              d0: 2.786189 +- 0.763913 (0.000000%)  |             d0: 2.745775 +- 0.751047 (-1.450512%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.832182 (0.000000%)  |          Lambda: 0.600001 +- 0.827425 (0.000000%)  |          Lambda: 0.600003 +- 0.671787 (0.000333%)  | 
         Radius: 2.836879 +- 0.414459 (2.505734%)  |          Radius: 2.767532 +- 0.419511 (0.000000%)  |          Radius: 2.803728 +- 0.430263 (1.307880%)  | 
         Ref0: -0.236289 +- 0.059411 (-0.024117%)  |          Ref0: -0.236346 +- 0.059424 (-0.000000%)  |           Ref0: -0.242996 +- 0.062622 (2.813671%)  | 
           Imf0: 0.142520 +- 0.050534 (1.744767%)  |            Imf0: 0.140076 +- 0.052514 (0.000000%)  |            Imf0: 0.141365 +- 0.053407 (0.920215%)  | 
             d0: 2.990519 +- 0.699132 (7.333673%)  |              d0: 2.786189 +- 0.763913 (0.000000%)  |             d0: 2.745775 +- 0.751047 (-1.450512%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.832182 (0.000000%)  |          Lambda: 0.600001 +- 0.827425 (0.000000%)  |          Lambda: 0.600003 +- 0.671787 (0.000333%)  | 
         Radius: 2.180311 +- 0.337562 (0.200925%)  |          Radius: 2.175939 +- 0.348147 (0.000000%)  |          Radius: 2.206093 +- 0.357311 (1.385793%)  | 
         Ref0: -0.236289 +- 0.059411 (-0.024117%)  |          Ref0: -0.236346 +- 0.059424 (-0.000000%)  |           Ref0: -0.242996 +- 0.062622 (2.813671%)  | 
           Imf0: 0.142520 +- 0.050534 (1.744767%)  |            Imf0: 0.140076 +- 0.052514 (0.000000%)  |            Imf0: 0.141365 +- 0.053407 (0.920215%)  | 
             d0: 2.990519 +- 0.699132 (7.333673%)  |              d0: 2.786189 +- 0.763913 (0.000000%)  |             d0: 2.745775 +- 0.751047 (-1.450512%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.832182 (0.000000%)  |          Lambda: 0.600001 +- 0.827425 (0.000000%)  |          Lambda: 0.600003 +- 0.671787 (0.000333%)  | 
         Radius: 2.180311 +- 0.337562 (0.200925%)  |          Radius: 2.175939 +- 0.348147 (0.000000%)  |          Radius: 2.206093 +- 0.357311 (1.385793%)  | 
         Ref0: -0.236289 +- 0.059411 (-0.024117%)  |          Ref0: -0.236346 +- 0.059424 (-0.000000%)  |           Ref0: -0.242996 +- 0.062622 (2.813671%)  | 
           Imf0: 0.142520 +- 0.050534 (1.744767%)  |            Imf0: 0.140076 +- 0.052514 (0.000000%)  |            Imf0: 0.141365 +- 0.053407 (0.920215%)  | 
             d0: 2.990519 +- 0.699132 (7.333673%)  |              d0: 2.786189 +- 0.763913 (0.000000%)  |             d0: 2.745775 +- 0.751047 (-1.450512%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.832182 (0.000000%)  |          Lambda: 0.600001 +- 0.827425 (0.000000%)  |          Lambda: 0.600003 +- 0.671787 (0.000333%)  | 
         Radius: 1.583339 +- 0.254193 (0.088436%)  |          Radius: 1.581940 +- 0.265131 (0.000000%)  |          Radius: 1.598048 +- 0.269524 (1.018243%)  | 
         Ref0: -0.236289 +- 0.059411 (-0.024117%)  |          Ref0: -0.236346 +- 0.059424 (-0.000000%)  |           Ref0: -0.242996 +- 0.062622 (2.813671%)  | 
           Imf0: 0.142520 +- 0.050534 (1.744767%)  |            Imf0: 0.140076 +- 0.052514 (0.000000%)  |            Imf0: 0.141365 +- 0.053407 (0.920215%)  | 
             d0: 2.990519 +- 0.699132 (7.333673%)  |              d0: 2.786189 +- 0.763913 (0.000000%)  |             d0: 2.745775 +- 0.751047 (-1.450512%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.832182 (0.000000%)  |          Lambda: 0.600001 +- 0.827425 (0.000000%)  |          Lambda: 0.600003 +- 0.671787 (0.000333%)  | 
         Radius: 1.583339 +- 0.254193 (0.088436%)  |          Radius: 1.581940 +- 0.265131 (0.000000%)  |          Radius: 1.598048 +- 0.269524 (1.018243%)  | 
         Ref0: -0.236289 +- 0.059411 (-0.024117%)  |          Ref0: -0.236346 +- 0.059424 (-0.000000%)  |           Ref0: -0.242996 +- 0.062622 (2.813671%)  | 
           Imf0: 0.142520 +- 0.050534 (1.744767%)  |            Imf0: 0.140076 +- 0.052514 (0.000000%)  |            Imf0: 0.141365 +- 0.053407 (0.920215%)  | 
             d0: 2.990519 +- 0.699132 (7.333673%)  |              d0: 2.786189 +- 0.763913 (0.000000%)  |             d0: 2.745775 +- 0.751047 (-1.450512%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 348.286  NDF = 341  Chi2/NDF = 1.021 |        Chi2 = 345.878  NDF = 341  Chi2/NDF = 1.014 |        Chi2 = 345.208  NDF = 341  Chi2/NDF = 1.012 | 
                                                   |                                                    |                                                    | 
