                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.728352 (0.000000%)  |          Lambda: 0.600000 +- 0.770227 (0.000000%)  |          Lambda: 0.600000 +- 0.714730 (0.000000%)  | 
         Radius: 2.921448 +- 0.483787 (0.757827%)  |          Radius: 2.899475 +- 0.526473 (0.000000%)  |          Radius: 2.931851 +- 0.512171 (1.116616%)  | 
          Ref0: -0.351393 +- 0.096842 (1.899120%)  |          Ref0: -0.344844 +- 0.094612 (-0.000000%)  |           Ref0: -0.351263 +- 0.096777 (1.861421%)  | 
          Imf0: 0.173158 +- 0.089202 (-4.470876%)  |            Imf0: 0.181262 +- 0.105425 (0.000000%)  |            Imf0: 0.181540 +- 0.100306 (0.153369%)  | 
            d0: 1.929346 +- 0.606553 (10.482376%)  |              d0: 1.746293 +- 0.711331 (0.000000%)  |              d0: 1.770038 +- 0.650468 (1.359737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.728352 (0.000000%)  |          Lambda: 0.600000 +- 0.770227 (0.000000%)  |          Lambda: 0.600000 +- 0.714730 (0.000000%)  | 
         Radius: 2.921448 +- 0.483787 (0.757827%)  |          Radius: 2.899475 +- 0.526473 (0.000000%)  |          Radius: 2.931851 +- 0.512171 (1.116616%)  | 
          Ref0: -0.351393 +- 0.096842 (1.899120%)  |          Ref0: -0.344844 +- 0.094612 (-0.000000%)  |           Ref0: -0.351263 +- 0.096777 (1.861421%)  | 
          Imf0: 0.173158 +- 0.089202 (-4.470876%)  |            Imf0: 0.181262 +- 0.105425 (0.000000%)  |            Imf0: 0.181540 +- 0.100306 (0.153369%)  | 
            d0: 1.929346 +- 0.606553 (10.482376%)  |              d0: 1.746293 +- 0.711331 (0.000000%)  |              d0: 1.770038 +- 0.650468 (1.359737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.728352 (0.000000%)  |          Lambda: 0.600000 +- 0.770227 (0.000000%)  |          Lambda: 0.600000 +- 0.714730 (0.000000%)  | 
        Radius: 2.320128 +- 0.396956 (-0.409158%)  |          Radius: 2.329660 +- 0.431419 (0.000000%)  |          Radius: 2.344555 +- 0.420004 (0.639364%)  | 
          Ref0: -0.351393 +- 0.096842 (1.899120%)  |          Ref0: -0.344844 +- 0.094612 (-0.000000%)  |           Ref0: -0.351263 +- 0.096777 (1.861421%)  | 
          Imf0: 0.173158 +- 0.089202 (-4.470876%)  |            Imf0: 0.181262 +- 0.105425 (0.000000%)  |            Imf0: 0.181540 +- 0.100306 (0.153369%)  | 
            d0: 1.929346 +- 0.606553 (10.482376%)  |              d0: 1.746293 +- 0.711331 (0.000000%)  |              d0: 1.770038 +- 0.650468 (1.359737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.728352 (0.000000%)  |          Lambda: 0.600000 +- 0.770227 (0.000000%)  |          Lambda: 0.600000 +- 0.714730 (0.000000%)  | 
        Radius: 2.320128 +- 0.396956 (-0.409158%)  |          Radius: 2.329660 +- 0.431419 (0.000000%)  |          Radius: 2.344555 +- 0.420004 (0.639364%)  | 
          Ref0: -0.351393 +- 0.096842 (1.899120%)  |          Ref0: -0.344844 +- 0.094612 (-0.000000%)  |           Ref0: -0.351263 +- 0.096777 (1.861421%)  | 
          Imf0: 0.173158 +- 0.089202 (-4.470876%)  |            Imf0: 0.181262 +- 0.105425 (0.000000%)  |            Imf0: 0.181540 +- 0.100306 (0.153369%)  | 
            d0: 1.929346 +- 0.606553 (10.482376%)  |              d0: 1.746293 +- 0.711331 (0.000000%)  |              d0: 1.770038 +- 0.650468 (1.359737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.728352 (0.000000%)  |          Lambda: 0.600000 +- 0.770227 (0.000000%)  |          Lambda: 0.600000 +- 0.714730 (0.000000%)  | 
         Radius: 1.740089 +- 0.293532 (0.284066%)  |          Radius: 1.735160 +- 0.313603 (0.000000%)  |          Radius: 1.740920 +- 0.304404 (0.331958%)  | 
          Ref0: -0.351393 +- 0.096842 (1.899120%)  |          Ref0: -0.344844 +- 0.094612 (-0.000000%)  |           Ref0: -0.351263 +- 0.096777 (1.861421%)  | 
          Imf0: 0.173158 +- 0.089202 (-4.470876%)  |            Imf0: 0.181262 +- 0.105425 (0.000000%)  |            Imf0: 0.181540 +- 0.100306 (0.153369%)  | 
            d0: 1.929346 +- 0.606553 (10.482376%)  |              d0: 1.746293 +- 0.711331 (0.000000%)  |              d0: 1.770038 +- 0.650468 (1.359737%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.728352 (0.000000%)  |          Lambda: 0.600000 +- 0.770227 (0.000000%)  |          Lambda: 0.600000 +- 0.714730 (0.000000%)  | 
         Radius: 1.740089 +- 0.293532 (0.284066%)  |          Radius: 1.735160 +- 0.313603 (0.000000%)  |          Radius: 1.740920 +- 0.304404 (0.331958%)  | 
          Ref0: -0.351393 +- 0.096842 (1.899120%)  |          Ref0: -0.344844 +- 0.094612 (-0.000000%)  |           Ref0: -0.351263 +- 0.096777 (1.861421%)  | 
          Imf0: 0.173158 +- 0.089202 (-4.470876%)  |            Imf0: 0.181262 +- 0.105425 (0.000000%)  |            Imf0: 0.181540 +- 0.100306 (0.153369%)  | 
            d0: 1.929346 +- 0.606553 (10.482376%)  |              d0: 1.746293 +- 0.711331 (0.000000%)  |              d0: 1.770038 +- 0.650468 (1.359737%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 358.420  NDF = 341  Chi2/NDF = 1.051 |        Chi2 = 360.541  NDF = 341  Chi2/NDF = 1.057 |        Chi2 = 369.004  NDF = 341  Chi2/NDF = 1.082 | 
                                                   |                                                    |                                                    | 
