                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.592596 +- 0.878370 (-3.092693%)  |          Lambda: 1.643422 +- 0.764369 (0.000000%)  |          Lambda: 1.682798 +- 0.954062 (2.395976%)  | 
        Radius: 6.538452 +- 1.806334 (-0.571726%)  |          Radius: 6.576049 +- 1.565249 (0.000000%)  |          Radius: 6.684547 +- 1.843532 (1.649896%)  | 
           Ref0: 0.520424 +- 0.215935 (4.920174%)  |            Ref0: 0.496019 +- 0.219301 (0.000000%)  |            Ref0: 0.504432 +- 0.210165 (1.696104%)  | 
           Imf0: 0.543356 +- 0.221315 (5.791966%)  |            Imf0: 0.513608 +- 0.195255 (0.000000%)  |           Imf0: 0.509577 +- 0.233023 (-0.784840%)  | 
           d0: -4.659329 +- 2.376349 (-5.166484%)  |            d0: -4.913167 +- 2.445847 (-0.000000%)  |            d0: -4.908381 +- 2.729748 (-0.097412%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.579773 +- 0.834623 (-3.572893%)  |          Lambda: 1.638308 +- 0.727948 (0.000000%)  |          Lambda: 1.673973 +- 0.905453 (2.176941%)  | 
        Radius: 6.538452 +- 1.806334 (-0.571726%)  |          Radius: 6.576049 +- 1.565249 (0.000000%)  |          Radius: 6.684547 +- 1.843532 (1.649896%)  | 
           Ref0: 0.520424 +- 0.215935 (4.920174%)  |            Ref0: 0.496019 +- 0.219301 (0.000000%)  |            Ref0: 0.504432 +- 0.210165 (1.696104%)  | 
           Imf0: 0.543356 +- 0.221315 (5.791966%)  |            Imf0: 0.513608 +- 0.195255 (0.000000%)  |           Imf0: 0.509577 +- 0.233023 (-0.784840%)  | 
           d0: -4.659329 +- 2.376349 (-5.166484%)  |            d0: -4.913167 +- 2.445847 (-0.000000%)  |            d0: -4.908381 +- 2.729748 (-0.097412%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.268941 +- 0.621528 (0.793998%)  |          Lambda: 1.258945 +- 0.541612 (0.000000%)  |          Lambda: 1.266105 +- 0.627450 (0.568730%)  | 
         Radius: 5.073647 +- 1.278347 (0.189235%)  |          Radius: 5.064064 +- 1.158358 (0.000000%)  |          Radius: 5.086299 +- 1.256103 (0.439074%)  | 
           Ref0: 0.520424 +- 0.215935 (4.920174%)  |            Ref0: 0.496019 +- 0.219301 (0.000000%)  |            Ref0: 0.504432 +- 0.210165 (1.696104%)  | 
           Imf0: 0.543356 +- 0.221315 (5.791966%)  |            Imf0: 0.513608 +- 0.195255 (0.000000%)  |           Imf0: 0.509577 +- 0.233023 (-0.784840%)  | 
           d0: -4.659329 +- 2.376349 (-5.166484%)  |            d0: -4.913167 +- 2.445847 (-0.000000%)  |            d0: -4.908381 +- 2.729748 (-0.097412%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.490884 +- 0.723563 (-1.628956%)  |          Lambda: 1.515572 +- 0.641494 (0.000000%)  |          Lambda: 1.535156 +- 0.754533 (1.292185%)  | 
         Radius: 5.073647 +- 1.278347 (0.189235%)  |          Radius: 5.064064 +- 1.158358 (0.000000%)  |          Radius: 5.086299 +- 1.256103 (0.439074%)  | 
           Ref0: 0.520424 +- 0.215935 (4.920174%)  |            Ref0: 0.496019 +- 0.219301 (0.000000%)  |            Ref0: 0.504432 +- 0.210165 (1.696104%)  | 
           Imf0: 0.543356 +- 0.221315 (5.791966%)  |            Imf0: 0.513608 +- 0.195255 (0.000000%)  |           Imf0: 0.509577 +- 0.233023 (-0.784840%)  | 
           d0: -4.659329 +- 2.376349 (-5.166484%)  |            d0: -4.913167 +- 2.445847 (-0.000000%)  |            d0: -4.908381 +- 2.729748 (-0.097412%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
