                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.195623 +- 0.297623 (-5.045983%)  |          Lambda: 1.259160 +- 0.286142 (0.000000%)  |          Lambda: 1.278222 +- 0.286720 (1.513866%)  | 
        Radius: 6.003659 +- 0.778220 (-2.424889%)  |          Radius: 6.152859 +- 0.734654 (0.000000%)  |          Radius: 6.202247 +- 0.735584 (0.802684%)  | 
          Ref0: -0.939905 +- 0.170553 (0.198819%)  |          Ref0: -0.938040 +- 0.159370 (-0.000000%)  |          Ref0: -0.936018 +- 0.158825 (-0.215556%)  | 
           Imf0: 0.655154 +- 0.159562 (2.295726%)  |            Imf0: 0.640451 +- 0.151719 (0.000000%)  |            Imf0: 0.642644 +- 0.151574 (0.342415%)  | 
            d0: 0.677799 +- 0.481801 (-0.797224%)  |              d0: 0.683246 +- 0.461899 (0.000000%)  |             d0: 0.681611 +- 0.463757 (-0.239299%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.195623 +- 0.297623 (-5.045983%)  |          Lambda: 1.259160 +- 0.286142 (0.000000%)  |          Lambda: 1.278222 +- 0.286720 (1.513866%)  | 
        Radius: 6.003659 +- 0.778220 (-2.424889%)  |          Radius: 6.152859 +- 0.734654 (0.000000%)  |          Radius: 6.202247 +- 0.735584 (0.802684%)  | 
          Ref0: -0.939905 +- 0.170553 (0.198819%)  |          Ref0: -0.938040 +- 0.159370 (-0.000000%)  |          Ref0: -0.936018 +- 0.158825 (-0.215556%)  | 
           Imf0: 0.655154 +- 0.159562 (2.295726%)  |            Imf0: 0.640451 +- 0.151719 (0.000000%)  |            Imf0: 0.642644 +- 0.151574 (0.342415%)  | 
            d0: 0.677799 +- 0.481801 (-0.797224%)  |              d0: 0.683246 +- 0.461899 (0.000000%)  |             d0: 0.681611 +- 0.463757 (-0.239299%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.884026 +- 0.193878 (-2.776507%)  |          Lambda: 0.909272 +- 0.189873 (0.000000%)  |          Lambda: 0.915933 +- 0.190467 (0.732564%)  | 
        Radius: 4.669459 +- 0.521539 (-1.173777%)  |          Radius: 4.724919 +- 0.507450 (0.000000%)  |          Radius: 4.745251 +- 0.508805 (0.430314%)  | 
          Ref0: -0.939905 +- 0.170553 (0.198819%)  |          Ref0: -0.938040 +- 0.159370 (-0.000000%)  |          Ref0: -0.936018 +- 0.158825 (-0.215556%)  | 
           Imf0: 0.655154 +- 0.159562 (2.295726%)  |            Imf0: 0.640451 +- 0.151719 (0.000000%)  |            Imf0: 0.642644 +- 0.151574 (0.342415%)  | 
            d0: 0.677799 +- 0.481801 (-0.797224%)  |              d0: 0.683246 +- 0.461899 (0.000000%)  |             d0: 0.681611 +- 0.463757 (-0.239299%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.884026 +- 0.193878 (-2.776507%)  |          Lambda: 0.909272 +- 0.189873 (0.000000%)  |          Lambda: 0.915933 +- 0.190467 (0.732564%)  | 
        Radius: 4.669459 +- 0.521539 (-1.173777%)  |          Radius: 4.724919 +- 0.507450 (0.000000%)  |          Radius: 4.745251 +- 0.508805 (0.430314%)  | 
          Ref0: -0.939905 +- 0.170553 (0.198819%)  |          Ref0: -0.938040 +- 0.159370 (-0.000000%)  |          Ref0: -0.936018 +- 0.158825 (-0.215556%)  | 
           Imf0: 0.655154 +- 0.159562 (2.295726%)  |            Imf0: 0.640451 +- 0.151719 (0.000000%)  |            Imf0: 0.642644 +- 0.151574 (0.342415%)  | 
            d0: 0.677799 +- 0.481801 (-0.797224%)  |              d0: 0.683246 +- 0.461899 (0.000000%)  |             d0: 0.681611 +- 0.463757 (-0.239299%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
