                 CLAM_maxDcaV0Daughters = 0.300000 |                  CLAM_maxDcaV0Daughters = 0.400000 |                  CLAM_maxDcaV0Daughters = 0.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.526412 (0.000000%)  |          Lambda: 0.600001 +- 0.899210 (0.000000%)  |         Lambda: 0.600000 +- 0.850013 (-0.000167%)  | 
        Radius: 2.669588 +- 0.426058 (-2.767582%)  |          Radius: 2.745574 +- 0.457896 (0.000000%)  |          Radius: 2.927313 +- 0.525887 (6.619344%)  | 
          Ref0: -0.253462 +- 0.056856 (3.861268%)  |          Ref0: -0.244039 +- 0.053120 (-0.000000%)  |           Ref0: -0.245297 +- 0.057142 (0.515491%)  | 
          Imf0: 0.162535 +- 0.071992 (-8.436660%)  |            Imf0: 0.177511 +- 0.080124 (0.000000%)  |           Imf0: 0.209249 +- 0.099700 (17.879455%)  | 
            d0: 2.557474 +- 0.784352 (-5.475387%)  |              d0: 2.705617 +- 0.701823 (0.000000%)  |              d0: 2.846344 +- 0.626544 (5.201291%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.526412 (0.000000%)  |          Lambda: 0.600001 +- 0.899210 (0.000000%)  |         Lambda: 0.600000 +- 0.850013 (-0.000167%)  | 
        Radius: 2.669588 +- 0.426058 (-2.767582%)  |          Radius: 2.745574 +- 0.457896 (0.000000%)  |          Radius: 2.927313 +- 0.525887 (6.619344%)  | 
          Ref0: -0.253462 +- 0.056856 (3.861268%)  |          Ref0: -0.244039 +- 0.053120 (-0.000000%)  |           Ref0: -0.245297 +- 0.057142 (0.515491%)  | 
          Imf0: 0.162535 +- 0.071992 (-8.436660%)  |            Imf0: 0.177511 +- 0.080124 (0.000000%)  |           Imf0: 0.209249 +- 0.099700 (17.879455%)  | 
            d0: 2.557474 +- 0.784352 (-5.475387%)  |              d0: 2.705617 +- 0.701823 (0.000000%)  |              d0: 2.846344 +- 0.626544 (5.201291%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.526412 (0.000000%)  |          Lambda: 0.600001 +- 0.899210 (0.000000%)  |         Lambda: 0.600000 +- 0.850013 (-0.000167%)  | 
        Radius: 2.124444 +- 0.347790 (-0.528764%)  |          Radius: 2.135737 +- 0.367406 (0.000000%)  |          Radius: 2.244255 +- 0.412435 (5.081056%)  | 
          Ref0: -0.253462 +- 0.056856 (3.861268%)  |          Ref0: -0.244039 +- 0.053120 (-0.000000%)  |           Ref0: -0.245297 +- 0.057142 (0.515491%)  | 
          Imf0: 0.162535 +- 0.071992 (-8.436660%)  |            Imf0: 0.177511 +- 0.080124 (0.000000%)  |           Imf0: 0.209249 +- 0.099700 (17.879455%)  | 
            d0: 2.557474 +- 0.784352 (-5.475387%)  |              d0: 2.705617 +- 0.701823 (0.000000%)  |              d0: 2.846344 +- 0.626544 (5.201291%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.526412 (0.000000%)  |          Lambda: 0.600001 +- 0.899210 (0.000000%)  |         Lambda: 0.600000 +- 0.850013 (-0.000167%)  | 
        Radius: 2.124444 +- 0.347790 (-0.528764%)  |          Radius: 2.135737 +- 0.367406 (0.000000%)  |          Radius: 2.244255 +- 0.412435 (5.081056%)  | 
          Ref0: -0.253462 +- 0.056856 (3.861268%)  |          Ref0: -0.244039 +- 0.053120 (-0.000000%)  |           Ref0: -0.245297 +- 0.057142 (0.515491%)  | 
          Imf0: 0.162535 +- 0.071992 (-8.436660%)  |            Imf0: 0.177511 +- 0.080124 (0.000000%)  |           Imf0: 0.209249 +- 0.099700 (17.879455%)  | 
            d0: 2.557474 +- 0.784352 (-5.475387%)  |              d0: 2.705617 +- 0.701823 (0.000000%)  |              d0: 2.846344 +- 0.626544 (5.201291%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.526412 (0.000000%)  |          Lambda: 0.600001 +- 0.899210 (0.000000%)  |         Lambda: 0.600000 +- 0.850013 (-0.000167%)  | 
        Radius: 1.519870 +- 0.257580 (-1.963542%)  |          Radius: 1.550311 +- 0.274154 (0.000000%)  |          Radius: 1.677165 +- 0.311369 (8.182487%)  | 
          Ref0: -0.253462 +- 0.056856 (3.861268%)  |          Ref0: -0.244039 +- 0.053120 (-0.000000%)  |           Ref0: -0.245297 +- 0.057142 (0.515491%)  | 
          Imf0: 0.162535 +- 0.071992 (-8.436660%)  |            Imf0: 0.177511 +- 0.080124 (0.000000%)  |           Imf0: 0.209249 +- 0.099700 (17.879455%)  | 
            d0: 2.557474 +- 0.784352 (-5.475387%)  |              d0: 2.705617 +- 0.701823 (0.000000%)  |              d0: 2.846344 +- 0.626544 (5.201291%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.526412 (0.000000%)  |          Lambda: 0.600001 +- 0.899210 (0.000000%)  |         Lambda: 0.600000 +- 0.850013 (-0.000167%)  | 
        Radius: 1.519870 +- 0.257580 (-1.963542%)  |          Radius: 1.550311 +- 0.274154 (0.000000%)  |          Radius: 1.677165 +- 0.311369 (8.182487%)  | 
          Ref0: -0.253462 +- 0.056856 (3.861268%)  |          Ref0: -0.244039 +- 0.053120 (-0.000000%)  |           Ref0: -0.245297 +- 0.057142 (0.515491%)  | 
          Imf0: 0.162535 +- 0.071992 (-8.436660%)  |            Imf0: 0.177511 +- 0.080124 (0.000000%)  |           Imf0: 0.209249 +- 0.099700 (17.879455%)  | 
            d0: 2.557474 +- 0.784352 (-5.475387%)  |              d0: 2.705617 +- 0.701823 (0.000000%)  |              d0: 2.846344 +- 0.626544 (5.201291%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 335.172  NDF = 341  Chi2/NDF = 0.983 |        Chi2 = 338.263  NDF = 341  Chi2/NDF = 0.992 |        Chi2 = 336.392  NDF = 341  Chi2/NDF = 0.986 | 
                                                   |                                                    |                                                    | 
