                  K0s_maxDcaV0Daughters = 0.200000 |                   K0s_maxDcaV0Daughters = 0.300000 |                   K0s_maxDcaV0Daughters = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.744844 (0.000167%)  |          Lambda: 0.600000 +- 0.716923 (0.000000%)  |          Lambda: 0.600002 +- 0.672967 (0.000333%)  | 
        Radius: 2.667542 +- 0.475708 (-4.055606%)  |          Radius: 2.780300 +- 0.507454 (0.000000%)  |          Radius: 2.896368 +- 0.602156 (4.174657%)  | 
         Ref0: -0.374343 +- 0.090083 (-1.756011%)  |          Ref0: -0.381034 +- 0.091410 (-0.000000%)  |           Ref0: -0.394458 +- 0.099927 (3.523045%)  | 
         Imf0: 0.195460 +- 0.115799 (-11.160199%)  |            Imf0: 0.220014 +- 0.132353 (0.000000%)  |           Imf0: 0.256643 +- 0.173665 (16.648486%)  | 
            d0: 1.906441 +- 0.528374 (-0.745124%)  |              d0: 1.920753 +- 0.482376 (0.000000%)  |             d0: 1.903021 +- 0.464714 (-0.923180%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.744844 (0.000167%)  |          Lambda: 0.600000 +- 0.716923 (0.000000%)  |          Lambda: 0.600002 +- 0.672967 (0.000333%)  | 
        Radius: 2.667542 +- 0.475708 (-4.055606%)  |          Radius: 2.780300 +- 0.507454 (0.000000%)  |          Radius: 2.896368 +- 0.602156 (4.174657%)  | 
         Ref0: -0.374343 +- 0.090083 (-1.756011%)  |          Ref0: -0.381034 +- 0.091410 (-0.000000%)  |           Ref0: -0.394458 +- 0.099927 (3.523045%)  | 
         Imf0: 0.195460 +- 0.115799 (-11.160199%)  |            Imf0: 0.220014 +- 0.132353 (0.000000%)  |           Imf0: 0.256643 +- 0.173665 (16.648486%)  | 
            d0: 1.906441 +- 0.528374 (-0.745124%)  |              d0: 1.920753 +- 0.482376 (0.000000%)  |             d0: 1.903021 +- 0.464714 (-0.923180%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.744844 (0.000167%)  |          Lambda: 0.600000 +- 0.716923 (0.000000%)  |          Lambda: 0.600002 +- 0.672967 (0.000333%)  | 
        Radius: 2.128619 +- 0.390000 (-4.055410%)  |          Radius: 2.218592 +- 0.411779 (0.000000%)  |          Radius: 2.331465 +- 0.486397 (5.087596%)  | 
         Ref0: -0.374343 +- 0.090083 (-1.756011%)  |          Ref0: -0.381034 +- 0.091410 (-0.000000%)  |           Ref0: -0.394458 +- 0.099927 (3.523045%)  | 
         Imf0: 0.195460 +- 0.115799 (-11.160199%)  |            Imf0: 0.220014 +- 0.132353 (0.000000%)  |           Imf0: 0.256643 +- 0.173665 (16.648486%)  | 
            d0: 1.906441 +- 0.528374 (-0.745124%)  |              d0: 1.920753 +- 0.482376 (0.000000%)  |             d0: 1.903021 +- 0.464714 (-0.923180%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.744844 (0.000167%)  |          Lambda: 0.600000 +- 0.716923 (0.000000%)  |          Lambda: 0.600002 +- 0.672967 (0.000333%)  | 
        Radius: 2.128619 +- 0.390000 (-4.055410%)  |          Radius: 2.218592 +- 0.411779 (0.000000%)  |          Radius: 2.331465 +- 0.486397 (5.087596%)  | 
         Ref0: -0.374343 +- 0.090083 (-1.756011%)  |          Ref0: -0.381034 +- 0.091410 (-0.000000%)  |           Ref0: -0.394458 +- 0.099927 (3.523045%)  | 
         Imf0: 0.195460 +- 0.115799 (-11.160199%)  |            Imf0: 0.220014 +- 0.132353 (0.000000%)  |           Imf0: 0.256643 +- 0.173665 (16.648486%)  | 
            d0: 1.906441 +- 0.528374 (-0.745124%)  |              d0: 1.920753 +- 0.482376 (0.000000%)  |             d0: 1.903021 +- 0.464714 (-0.923180%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.744844 (0.000167%)  |          Lambda: 0.600000 +- 0.716923 (0.000000%)  |          Lambda: 0.600002 +- 0.672967 (0.000333%)  | 
        Radius: 1.585029 +- 0.282099 (-2.914948%)  |          Radius: 1.632619 +- 0.294711 (0.000000%)  |          Radius: 1.738476 +- 0.349595 (6.483877%)  | 
         Ref0: -0.374343 +- 0.090083 (-1.756011%)  |          Ref0: -0.381034 +- 0.091410 (-0.000000%)  |           Ref0: -0.394458 +- 0.099927 (3.523045%)  | 
         Imf0: 0.195460 +- 0.115799 (-11.160199%)  |            Imf0: 0.220014 +- 0.132353 (0.000000%)  |           Imf0: 0.256643 +- 0.173665 (16.648486%)  | 
            d0: 1.906441 +- 0.528374 (-0.745124%)  |              d0: 1.920753 +- 0.482376 (0.000000%)  |             d0: 1.903021 +- 0.464714 (-0.923180%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.744844 (0.000167%)  |          Lambda: 0.600000 +- 0.716923 (0.000000%)  |          Lambda: 0.600002 +- 0.672967 (0.000333%)  | 
        Radius: 1.585029 +- 0.282099 (-2.914948%)  |          Radius: 1.632619 +- 0.294711 (0.000000%)  |          Radius: 1.738476 +- 0.349595 (6.483877%)  | 
         Ref0: -0.374343 +- 0.090083 (-1.756011%)  |          Ref0: -0.381034 +- 0.091410 (-0.000000%)  |           Ref0: -0.394458 +- 0.099927 (3.523045%)  | 
         Imf0: 0.195460 +- 0.115799 (-11.160199%)  |            Imf0: 0.220014 +- 0.132353 (0.000000%)  |           Imf0: 0.256643 +- 0.173665 (16.648486%)  | 
            d0: 1.906441 +- 0.528374 (-0.745124%)  |              d0: 1.920753 +- 0.482376 (0.000000%)  |             d0: 1.903021 +- 0.464714 (-0.923180%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 359.399  NDF = 341  Chi2/NDF = 1.054 |        Chi2 = 361.973  NDF = 341  Chi2/NDF = 1.062 |        Chi2 = 358.664  NDF = 341  Chi2/NDF = 1.052 | 
                                                   |                                                    |                                                    | 
