                 CLAM_maxDcaV0Daughters = 0.300000 |                  CLAM_maxDcaV0Daughters = 0.400000 |                  CLAM_maxDcaV0Daughters = 0.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.169779 +- 0.293968 (-16.399870%)  |          Lambda: 1.399255 +- 0.717205 (0.000000%)  |          Lambda: 1.481847 +- 0.722184 (5.902570%)  | 
        Radius: 6.138997 +- 0.799785 (-1.919904%)  |          Radius: 6.259167 +- 0.790226 (0.000000%)  |          Radius: 6.305548 +- 0.777382 (0.741009%)  | 
         Ref0: -0.586616 +- 0.140264 (18.149776%)  |          Ref0: -0.496502 +- 0.124570 (-0.000000%)  |          Ref0: -0.473350 +- 0.080669 (-4.663023%)  | 
          Imf0: 0.497212 +- 0.151563 (17.205338%)  |            Imf0: 0.424223 +- 0.190228 (0.000000%)  |           Imf0: 0.402903 +- 0.161372 (-5.025659%)  | 
          d0: 0.350461 +- 1.050113 (-166.694261%)  |            d0: -0.525474 +- 1.600517 (-0.000000%)  |            d0: -0.742946 +- 1.301738 (41.385873%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.169779 +- 0.293968 (-16.399870%)  |          Lambda: 1.399255 +- 0.717205 (0.000000%)  |          Lambda: 1.481847 +- 0.722184 (5.902570%)  | 
        Radius: 6.138997 +- 0.799785 (-1.919904%)  |          Radius: 6.259167 +- 0.790226 (0.000000%)  |          Radius: 6.305548 +- 0.777382 (0.741009%)  | 
         Ref0: -0.586616 +- 0.140264 (18.149776%)  |          Ref0: -0.496502 +- 0.124570 (-0.000000%)  |          Ref0: -0.473350 +- 0.080669 (-4.663023%)  | 
          Imf0: 0.497212 +- 0.151563 (17.205338%)  |            Imf0: 0.424223 +- 0.190228 (0.000000%)  |           Imf0: 0.402903 +- 0.161372 (-5.025659%)  | 
          d0: 0.350461 +- 1.050113 (-166.694261%)  |            d0: -0.525474 +- 1.600517 (-0.000000%)  |            d0: -0.742946 +- 1.301738 (41.385873%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.798708 +- 0.181624 (-11.280100%)  |          Lambda: 0.900258 +- 0.223027 (0.000000%)  |          Lambda: 0.955710 +- 0.177247 (6.159568%)  | 
         Radius: 4.480278 +- 0.485985 (1.418917%)  |          Radius: 4.417596 +- 0.482594 (0.000000%)  |          Radius: 4.450791 +- 0.485008 (0.751427%)  | 
         Ref0: -0.586616 +- 0.140264 (18.149776%)  |          Ref0: -0.496502 +- 0.124570 (-0.000000%)  |          Ref0: -0.473350 +- 0.080669 (-4.663023%)  | 
          Imf0: 0.497212 +- 0.151563 (17.205338%)  |            Imf0: 0.424223 +- 0.190228 (0.000000%)  |           Imf0: 0.402903 +- 0.161372 (-5.025659%)  | 
          d0: 0.350461 +- 1.050113 (-166.694261%)  |            d0: -0.525474 +- 1.600517 (-0.000000%)  |            d0: -0.742946 +- 1.301738 (41.385873%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.798708 +- 0.181624 (-11.280100%)  |          Lambda: 0.900258 +- 0.223027 (0.000000%)  |          Lambda: 0.955710 +- 0.177247 (6.159568%)  | 
         Radius: 4.480278 +- 0.485985 (1.418917%)  |          Radius: 4.417596 +- 0.482594 (0.000000%)  |          Radius: 4.450791 +- 0.485008 (0.751427%)  | 
         Ref0: -0.586616 +- 0.140264 (18.149776%)  |          Ref0: -0.496502 +- 0.124570 (-0.000000%)  |          Ref0: -0.473350 +- 0.080669 (-4.663023%)  | 
          Imf0: 0.497212 +- 0.151563 (17.205338%)  |            Imf0: 0.424223 +- 0.190228 (0.000000%)  |           Imf0: 0.402903 +- 0.161372 (-5.025659%)  | 
          d0: 0.350461 +- 1.050113 (-166.694261%)  |            d0: -0.525474 +- 1.600517 (-0.000000%)  |            d0: -0.742946 +- 1.301738 (41.385873%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
