                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.441164 +- 0.491965 (-3.089552%)  |          Lambda: 1.487109 +- 0.491954 (0.000000%)  |         Lambda: 1.486042 +- 0.490615 (-0.071750%)  | 
        Radius: 5.392013 +- 0.968595 (-2.432505%)  |          Radius: 5.526444 +- 1.035916 (0.000000%)  |          Radius: 5.559592 +- 1.017407 (0.599807%)  | 
         Ref0: -1.060333 +- 0.151357 (-0.614404%)  |          Ref0: -1.066888 +- 0.140998 (-0.000000%)  |           Ref0: -1.081081 +- 0.139922 (1.330318%)  | 
          Imf0: 0.571318 +- 0.310856 (-3.253513%)  |            Imf0: 0.590531 +- 0.315055 (0.000000%)  |            Imf0: 0.600700 +- 0.307585 (1.722010%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.408329 +- 0.484106 (-3.022205%)  |          Lambda: 1.452218 +- 0.484207 (0.000000%)  |          Lambda: 1.454635 +- 0.483577 (0.166435%)  | 
        Radius: 5.392013 +- 0.968595 (-2.432505%)  |          Radius: 5.526444 +- 1.035916 (0.000000%)  |          Radius: 5.559592 +- 1.017407 (0.599807%)  | 
         Ref0: -1.060333 +- 0.151357 (-0.614404%)  |          Ref0: -1.066888 +- 0.140998 (-0.000000%)  |           Ref0: -1.081081 +- 0.139922 (1.330318%)  | 
          Imf0: 0.571318 +- 0.310856 (-3.253513%)  |            Imf0: 0.590531 +- 0.315055 (0.000000%)  |            Imf0: 0.600700 +- 0.307585 (1.722010%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.553761 +- 0.631820 (-2.721037%)  |          Lambda: 1.597222 +- 0.663878 (0.000000%)  |          Lambda: 1.604026 +- 0.676168 (0.425990%)  | 
        Radius: 4.833962 +- 0.999565 (-2.505944%)  |          Radius: 4.958212 +- 1.056240 (0.000000%)  |          Radius: 5.003902 +- 1.076131 (0.921502%)  | 
         Ref0: -1.060333 +- 0.151357 (-0.614404%)  |          Ref0: -1.066888 +- 0.140998 (-0.000000%)  |           Ref0: -1.081081 +- 0.139922 (1.330318%)  | 
          Imf0: 0.571318 +- 0.310856 (-3.253513%)  |            Imf0: 0.590531 +- 0.315055 (0.000000%)  |            Imf0: 0.600700 +- 0.307585 (1.722010%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.305614 +- 0.525454 (-3.121436%)  |          Lambda: 1.347681 +- 0.553306 (0.000000%)  |          Lambda: 1.348992 +- 0.561763 (0.097278%)  | 
        Radius: 4.833962 +- 0.999565 (-2.505944%)  |          Radius: 4.958212 +- 1.056240 (0.000000%)  |          Radius: 5.003902 +- 1.076131 (0.921502%)  | 
         Ref0: -1.060333 +- 0.151357 (-0.614404%)  |          Ref0: -1.066888 +- 0.140998 (-0.000000%)  |           Ref0: -1.081081 +- 0.139922 (1.330318%)  | 
          Imf0: 0.571318 +- 0.310856 (-3.253513%)  |            Imf0: 0.590531 +- 0.315055 (0.000000%)  |            Imf0: 0.600700 +- 0.307585 (1.722010%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
