                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.272523 +- 0.385073 (-6.770227%)  |          Lambda: 1.364932 +- 0.435097 (0.000000%)  |          Lambda: 1.382637 +- 0.461049 (1.297134%)  | 
        Radius: 4.888263 +- 0.749431 (-3.702886%)  |          Radius: 5.076230 +- 0.895148 (0.000000%)  |          Radius: 5.111505 +- 1.014715 (0.694905%)  | 
          Ref0: -0.848969 +- 0.137536 (0.580045%)  |          Ref0: -0.844073 +- 0.131479 (-0.000000%)  |           Ref0: -0.846612 +- 0.130929 (0.300803%)  | 
          Imf0: 0.491128 +- 0.241765 (-0.601699%)  |            Imf0: 0.494101 +- 0.246511 (0.000000%)  |           Imf0: 0.492675 +- 0.261071 (-0.288605%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.267272 +- 0.385843 (-6.301100%)  |          Lambda: 1.352494 +- 0.434073 (0.000000%)  |          Lambda: 1.372781 +- 0.460026 (1.499970%)  | 
        Radius: 4.888263 +- 0.749431 (-3.702886%)  |          Radius: 5.076230 +- 0.895148 (0.000000%)  |          Radius: 5.111505 +- 1.014715 (0.694905%)  | 
          Ref0: -0.848969 +- 0.137536 (0.580045%)  |          Ref0: -0.844073 +- 0.131479 (-0.000000%)  |           Ref0: -0.846612 +- 0.130929 (0.300803%)  | 
          Imf0: 0.491128 +- 0.241765 (-0.601699%)  |            Imf0: 0.494101 +- 0.246511 (0.000000%)  |           Imf0: 0.492675 +- 0.261071 (-0.288605%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.420526 +- 0.522457 (-4.539932%)  |          Lambda: 1.488084 +- 0.549304 (0.000000%)  |          Lambda: 1.508412 +- 0.547718 (1.366052%)  | 
        Radius: 4.459380 +- 0.819554 (-3.022593%)  |          Radius: 4.598370 +- 0.870495 (0.000000%)  |          Radius: 4.634018 +- 0.883542 (0.775231%)  | 
          Ref0: -0.848969 +- 0.137536 (0.580045%)  |          Ref0: -0.844073 +- 0.131479 (-0.000000%)  |           Ref0: -0.846612 +- 0.130929 (0.300803%)  | 
          Imf0: 0.491128 +- 0.241765 (-0.601699%)  |            Imf0: 0.494101 +- 0.246511 (0.000000%)  |           Imf0: 0.492675 +- 0.261071 (-0.288605%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.178147 +- 0.427714 (-6.078393%)  |          Lambda: 1.254394 +- 0.456719 (0.000000%)  |          Lambda: 1.272242 +- 0.456195 (1.422838%)  | 
        Radius: 4.459380 +- 0.819554 (-3.022593%)  |          Radius: 4.598370 +- 0.870495 (0.000000%)  |          Radius: 4.634018 +- 0.883542 (0.775231%)  | 
          Ref0: -0.848969 +- 0.137536 (0.580045%)  |          Ref0: -0.844073 +- 0.131479 (-0.000000%)  |           Ref0: -0.846612 +- 0.130929 (0.300803%)  | 
          Imf0: 0.491128 +- 0.241765 (-0.601699%)  |            Imf0: 0.494101 +- 0.246511 (0.000000%)  |           Imf0: 0.492675 +- 0.261071 (-0.288605%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
