                  K0s_maxDcaV0Daughters = 0.200000 |                   K0s_maxDcaV0Daughters = 0.300000 |                   K0s_maxDcaV0Daughters = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600001 +- 0.898316 (-0.000167%)  |          Lambda: 0.600002 +- 0.887059 (0.000000%)  |         Lambda: 0.600000 +- 0.888624 (-0.000333%)  | 
        Radius: 2.578372 +- 0.422039 (-3.352343%)  |          Radius: 2.667806 +- 0.453748 (0.000000%)  |          Radius: 2.721391 +- 0.504269 (2.008579%)  | 
         Ref0: -0.372658 +- 0.097542 (-2.041921%)  |          Ref0: -0.380426 +- 0.100580 (-0.000000%)  |           Ref0: -0.386266 +- 0.104164 (1.535121%)  | 
          Imf0: 0.139482 +- 0.081441 (-9.844680%)  |            Imf0: 0.154713 +- 0.095533 (0.000000%)  |           Imf0: 0.170258 +- 0.116096 (10.047637%)  | 
             d0: 1.627268 +- 0.926964 (5.865767%)  |              d0: 1.537105 +- 0.943993 (0.000000%)  |             d0: 1.409830 +- 1.034338 (-8.280176%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600001 +- 0.898316 (-0.000167%)  |          Lambda: 0.600002 +- 0.887059 (0.000000%)  |         Lambda: 0.600000 +- 0.888624 (-0.000333%)  | 
        Radius: 2.578372 +- 0.422039 (-3.352343%)  |          Radius: 2.667806 +- 0.453748 (0.000000%)  |          Radius: 2.721391 +- 0.504269 (2.008579%)  | 
         Ref0: -0.372658 +- 0.097542 (-2.041921%)  |          Ref0: -0.380426 +- 0.100580 (-0.000000%)  |           Ref0: -0.386266 +- 0.104164 (1.535121%)  | 
          Imf0: 0.139482 +- 0.081441 (-9.844680%)  |            Imf0: 0.154713 +- 0.095533 (0.000000%)  |           Imf0: 0.170258 +- 0.116096 (10.047637%)  | 
             d0: 1.627268 +- 0.926964 (5.865767%)  |              d0: 1.537105 +- 0.943993 (0.000000%)  |             d0: 1.409830 +- 1.034338 (-8.280176%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600001 +- 0.898316 (-0.000167%)  |          Lambda: 0.600002 +- 0.887059 (0.000000%)  |         Lambda: 0.600000 +- 0.888624 (-0.000333%)  | 
        Radius: 2.265139 +- 0.396802 (-3.988411%)  |          Radius: 2.359235 +- 0.423915 (0.000000%)  |          Radius: 2.417021 +- 0.465708 (2.449353%)  | 
         Ref0: -0.372658 +- 0.097542 (-2.041921%)  |          Ref0: -0.380426 +- 0.100580 (-0.000000%)  |           Ref0: -0.386266 +- 0.104164 (1.535121%)  | 
          Imf0: 0.139482 +- 0.081441 (-9.844680%)  |            Imf0: 0.154713 +- 0.095533 (0.000000%)  |           Imf0: 0.170258 +- 0.116096 (10.047637%)  | 
             d0: 1.627268 +- 0.926964 (5.865767%)  |              d0: 1.537105 +- 0.943993 (0.000000%)  |             d0: 1.409830 +- 1.034338 (-8.280176%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600001 +- 0.898316 (-0.000167%)  |          Lambda: 0.600002 +- 0.887059 (0.000000%)  |         Lambda: 0.600000 +- 0.888624 (-0.000333%)  | 
        Radius: 2.265139 +- 0.396802 (-3.988411%)  |          Radius: 2.359235 +- 0.423915 (0.000000%)  |          Radius: 2.417021 +- 0.465708 (2.449353%)  | 
         Ref0: -0.372658 +- 0.097542 (-2.041921%)  |          Ref0: -0.380426 +- 0.100580 (-0.000000%)  |           Ref0: -0.386266 +- 0.104164 (1.535121%)  | 
          Imf0: 0.139482 +- 0.081441 (-9.844680%)  |            Imf0: 0.154713 +- 0.095533 (0.000000%)  |           Imf0: 0.170258 +- 0.116096 (10.047637%)  | 
             d0: 1.627268 +- 0.926964 (5.865767%)  |              d0: 1.537105 +- 0.943993 (0.000000%)  |             d0: 1.409830 +- 1.034338 (-8.280176%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600001 +- 0.898316 (-0.000167%)  |          Lambda: 0.600002 +- 0.887059 (0.000000%)  |         Lambda: 0.600000 +- 0.888624 (-0.000333%)  | 
        Radius: 1.718351 +- 0.292817 (-2.393373%)  |          Radius: 1.760486 +- 0.306057 (0.000000%)  |          Radius: 1.830918 +- 0.337232 (4.000713%)  | 
         Ref0: -0.372658 +- 0.097542 (-2.041921%)  |          Ref0: -0.380426 +- 0.100580 (-0.000000%)  |           Ref0: -0.386266 +- 0.104164 (1.535121%)  | 
          Imf0: 0.139482 +- 0.081441 (-9.844680%)  |            Imf0: 0.154713 +- 0.095533 (0.000000%)  |           Imf0: 0.170258 +- 0.116096 (10.047637%)  | 
             d0: 1.627268 +- 0.926964 (5.865767%)  |              d0: 1.537105 +- 0.943993 (0.000000%)  |             d0: 1.409830 +- 1.034338 (-8.280176%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600001 +- 0.898316 (-0.000167%)  |          Lambda: 0.600002 +- 0.887059 (0.000000%)  |         Lambda: 0.600000 +- 0.888624 (-0.000333%)  | 
        Radius: 1.718351 +- 0.292817 (-2.393373%)  |          Radius: 1.760486 +- 0.306057 (0.000000%)  |          Radius: 1.830918 +- 0.337232 (4.000713%)  | 
         Ref0: -0.372658 +- 0.097542 (-2.041921%)  |          Ref0: -0.380426 +- 0.100580 (-0.000000%)  |           Ref0: -0.386266 +- 0.104164 (1.535121%)  | 
          Imf0: 0.139482 +- 0.081441 (-9.844680%)  |            Imf0: 0.154713 +- 0.095533 (0.000000%)  |           Imf0: 0.170258 +- 0.116096 (10.047637%)  | 
             d0: 1.627268 +- 0.926964 (5.865767%)  |              d0: 1.537105 +- 0.943993 (0.000000%)  |             d0: 1.409830 +- 1.034338 (-8.280176%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 355.910  NDF = 341  Chi2/NDF = 1.044 |        Chi2 = 356.175  NDF = 341  Chi2/NDF = 1.045 |        Chi2 = 352.998  NDF = 341  Chi2/NDF = 1.035 | 
                                                   |                                                    |                                                    | 
