                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.499990 +- 0.882326 (0.000133%)  |          Lambda: 1.499988 +- 0.899994 (0.000000%)  |          Lambda: 1.500000 +- 0.843316 (0.000800%)  | 
         Radius: 3.539383 +- 1.024787 (4.239948%)  |          Radius: 3.395419 +- 1.043113 (0.000000%)  |         Radius: 3.327013 +- 1.046444 (-2.014656%)  | 
        Ref0: -0.084732 +- 0.048067 (-11.320893%)  |          Ref0: -0.095549 +- 0.039463 (-0.000000%)  |           Ref0: -0.100526 +- 0.033506 (5.208846%)  | 
           Imf0: 0.179116 +- 0.144811 (9.520257%)  |            Imf0: 0.163546 +- 0.143364 (0.000000%)  |           Imf0: 0.150878 +- 0.137277 (-7.745833%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.499990 +- 0.882326 (0.000133%)  |          Lambda: 1.499988 +- 0.899994 (0.000000%)  |          Lambda: 1.500000 +- 0.843316 (0.000800%)  | 
         Radius: 3.539383 +- 1.024787 (4.239948%)  |          Radius: 3.395419 +- 1.043113 (0.000000%)  |         Radius: 3.327013 +- 1.046444 (-2.014656%)  | 
        Ref0: -0.084732 +- 0.048067 (-11.320893%)  |          Ref0: -0.095549 +- 0.039463 (-0.000000%)  |           Ref0: -0.100526 +- 0.033506 (5.208846%)  | 
           Imf0: 0.179116 +- 0.144811 (9.520257%)  |            Imf0: 0.163546 +- 0.143364 (0.000000%)  |           Imf0: 0.150878 +- 0.137277 (-7.745833%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.499990 +- 0.882326 (0.000133%)  |          Lambda: 1.499988 +- 0.899994 (0.000000%)  |          Lambda: 1.500000 +- 0.843316 (0.000800%)  | 
         Radius: 2.644009 +- 0.739401 (1.300194%)  |          Radius: 2.610073 +- 0.777033 (0.000000%)  |         Radius: 2.564192 +- 0.782793 (-1.757844%)  | 
        Ref0: -0.084732 +- 0.048067 (-11.320893%)  |          Ref0: -0.095549 +- 0.039463 (-0.000000%)  |           Ref0: -0.100526 +- 0.033506 (5.208846%)  | 
           Imf0: 0.179116 +- 0.144811 (9.520257%)  |            Imf0: 0.163546 +- 0.143364 (0.000000%)  |           Imf0: 0.150878 +- 0.137277 (-7.745833%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.499990 +- 0.882326 (0.000133%)  |          Lambda: 1.499988 +- 0.899994 (0.000000%)  |          Lambda: 1.500000 +- 0.843316 (0.000800%)  | 
         Radius: 2.644009 +- 0.739401 (1.300194%)  |          Radius: 2.610073 +- 0.777033 (0.000000%)  |         Radius: 2.564192 +- 0.782793 (-1.757844%)  | 
        Ref0: -0.084732 +- 0.048067 (-11.320893%)  |          Ref0: -0.095549 +- 0.039463 (-0.000000%)  |           Ref0: -0.100526 +- 0.033506 (5.208846%)  | 
           Imf0: 0.179116 +- 0.144811 (9.520257%)  |            Imf0: 0.163546 +- 0.143364 (0.000000%)  |           Imf0: 0.150878 +- 0.137277 (-7.745833%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.499990 +- 0.882326 (0.000133%)  |          Lambda: 1.499988 +- 0.899994 (0.000000%)  |          Lambda: 1.500000 +- 0.843316 (0.000800%)  | 
         Radius: 1.841138 +- 0.493867 (0.144304%)  |          Radius: 1.838485 +- 0.523140 (0.000000%)  |         Radius: 1.795337 +- 0.521841 (-2.346932%)  | 
        Ref0: -0.084732 +- 0.048067 (-11.320893%)  |          Ref0: -0.095549 +- 0.039463 (-0.000000%)  |           Ref0: -0.100526 +- 0.033506 (5.208846%)  | 
           Imf0: 0.179116 +- 0.144811 (9.520257%)  |            Imf0: 0.163546 +- 0.143364 (0.000000%)  |           Imf0: 0.150878 +- 0.137277 (-7.745833%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.499990 +- 0.882326 (0.000133%)  |          Lambda: 1.499988 +- 0.899994 (0.000000%)  |          Lambda: 1.500000 +- 0.843316 (0.000800%)  | 
         Radius: 1.841138 +- 0.493867 (0.144304%)  |          Radius: 1.838485 +- 0.523140 (0.000000%)  |         Radius: 1.795337 +- 0.521841 (-2.346932%)  | 
        Ref0: -0.084732 +- 0.048067 (-11.320893%)  |          Ref0: -0.095549 +- 0.039463 (-0.000000%)  |           Ref0: -0.100526 +- 0.033506 (5.208846%)  | 
           Imf0: 0.179116 +- 0.144811 (9.520257%)  |            Imf0: 0.163546 +- 0.143364 (0.000000%)  |           Imf0: 0.150878 +- 0.137277 (-7.745833%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 351.133  NDF = 342  Chi2/NDF = 1.027 |        Chi2 = 347.778  NDF = 342  Chi2/NDF = 1.017 |        Chi2 = 347.288  NDF = 342  Chi2/NDF = 1.015 | 
                                                   |                                                    |                                                    | 
