                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.604503 +- 0.755246 (-3.257173%)  |          Lambda: 1.658524 +- 0.705319 (0.000000%)  |          Lambda: 1.695204 +- 0.760723 (2.211605%)  | 
        Radius: 6.355480 +- 1.586536 (-0.567606%)  |          Radius: 6.391760 +- 1.474536 (0.000000%)  |          Radius: 6.500830 +- 1.529740 (1.706416%)  | 
           Ref0: 0.407039 +- 0.197375 (4.436724%)  |            Ref0: 0.389747 +- 0.205704 (0.000000%)  |            Ref0: 0.398529 +- 0.190204 (2.253257%)  | 
           Imf0: 0.459411 +- 0.174969 (5.582598%)  |            Imf0: 0.435120 +- 0.170726 (0.000000%)  |           Imf0: 0.433457 +- 0.170542 (-0.382193%)  | 
           d0: -5.363823 +- 2.697777 (-5.119640%)  |            d0: -5.653249 +- 2.952324 (-0.000000%)  |            d0: -5.632621 +- 2.876833 (-0.364888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.594725 +- 0.720283 (-3.654743%)  |          Lambda: 1.655219 +- 0.673720 (0.000000%)  |          Lambda: 1.689044 +- 0.725867 (2.043536%)  | 
        Radius: 6.355480 +- 1.586536 (-0.567606%)  |          Radius: 6.391760 +- 1.474536 (0.000000%)  |          Radius: 6.500830 +- 1.529740 (1.706416%)  | 
           Ref0: 0.407039 +- 0.197375 (4.436724%)  |            Ref0: 0.389747 +- 0.205704 (0.000000%)  |            Ref0: 0.398529 +- 0.190204 (2.253257%)  | 
           Imf0: 0.459411 +- 0.174969 (5.582598%)  |            Imf0: 0.435120 +- 0.170726 (0.000000%)  |           Imf0: 0.433457 +- 0.170542 (-0.382193%)  | 
           d0: -5.363823 +- 2.697777 (-5.119640%)  |            d0: -5.653249 +- 2.952324 (-0.000000%)  |            d0: -5.632621 +- 2.876833 (-0.364888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.278461 +- 0.541652 (0.482425%)  |          Lambda: 1.272323 +- 0.504438 (0.000000%)  |          Lambda: 1.278218 +- 0.522940 (0.463326%)  | 
         Radius: 4.935767 +- 1.146172 (0.222343%)  |          Radius: 4.924817 +- 1.102305 (0.000000%)  |          Radius: 4.950182 +- 1.100362 (0.515045%)  | 
           Ref0: 0.407039 +- 0.197375 (4.436724%)  |            Ref0: 0.389747 +- 0.205704 (0.000000%)  |            Ref0: 0.398529 +- 0.190204 (2.253257%)  | 
           Imf0: 0.459411 +- 0.174969 (5.582598%)  |            Imf0: 0.435120 +- 0.170726 (0.000000%)  |           Imf0: 0.433457 +- 0.170542 (-0.382193%)  | 
           d0: -5.363823 +- 2.697777 (-5.119640%)  |            d0: -5.653249 +- 2.952324 (-0.000000%)  |            d0: -5.632621 +- 2.876833 (-0.364888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.526222 +- 0.638930 (-1.793457%)  |          Lambda: 1.554094 +- 0.605480 (0.000000%)  |          Lambda: 1.572157 +- 0.633871 (1.162285%)  | 
         Radius: 4.935767 +- 1.146172 (0.222343%)  |          Radius: 4.924817 +- 1.102305 (0.000000%)  |          Radius: 4.950182 +- 1.100362 (0.515045%)  | 
           Ref0: 0.407039 +- 0.197375 (4.436724%)  |            Ref0: 0.389747 +- 0.205704 (0.000000%)  |            Ref0: 0.398529 +- 0.190204 (2.253257%)  | 
           Imf0: 0.459411 +- 0.174969 (5.582598%)  |            Imf0: 0.435120 +- 0.170726 (0.000000%)  |           Imf0: 0.433457 +- 0.170542 (-0.382193%)  | 
           d0: -5.363823 +- 2.697777 (-5.119640%)  |            d0: -5.653249 +- 2.952324 (-0.000000%)  |            d0: -5.632621 +- 2.876833 (-0.364888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
