                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.431853 +- 0.500627 (-0.794602%)  |          Lambda: 0.435312 +- 0.507453 (0.000000%)  |          Lambda: 0.455538 +- 0.051179 (4.646323%)  | 
         Radius: 4.889510 +- 0.971946 (0.226383%)  |          Radius: 4.878466 +- 1.016640 (0.000000%)  |         Radius: 4.869489 +- 0.704861 (-0.184013%)  | 
           Ref0: 0.200128 +- 0.324776 (4.410069%)  |            Ref0: 0.191675 +- 0.352110 (0.000000%)  |          Ref0: 0.172207 +- 0.103000 (-10.156776%)  | 
           Imf0: 0.447941 +- 0.543694 (2.068527%)  |            Imf0: 0.438863 +- 0.589422 (0.000000%)  |           Imf0: 0.411413 +- 0.129234 (-6.254799%)  | 
         d0: -14.460357 +- 17.547246 (-3.177468%)  |          d0: -14.934909 +- 20.017768 (-0.000000%)  |            d0: -16.050817 +- 5.369545 (7.471810%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.455424 +- 0.511666 (0.075591%)  |          Lambda: 0.455080 +- 0.517014 (0.000000%)  |          Lambda: 0.476798 +- 0.068832 (4.772348%)  | 
         Radius: 4.889510 +- 0.971946 (0.226383%)  |          Radius: 4.878466 +- 1.016640 (0.000000%)  |         Radius: 4.869489 +- 0.704861 (-0.184013%)  | 
           Ref0: 0.200128 +- 0.324776 (4.410069%)  |            Ref0: 0.191675 +- 0.352110 (0.000000%)  |          Ref0: 0.172207 +- 0.103000 (-10.156776%)  | 
           Imf0: 0.447941 +- 0.543694 (2.068527%)  |            Imf0: 0.438863 +- 0.589422 (0.000000%)  |           Imf0: 0.411413 +- 0.129234 (-6.254799%)  | 
         d0: -14.460357 +- 17.547246 (-3.177468%)  |          d0: -14.934909 +- 20.017768 (-0.000000%)  |            d0: -16.050817 +- 5.369545 (7.471810%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.316872 +- 0.247773 (0.374736%)  |          Lambda: 0.315689 +- 0.260702 (0.000000%)  |         Lambda: 0.313234 +- 0.115025 (-0.777664%)  | 
         Radius: 4.468171 +- 0.993081 (1.099860%)  |          Radius: 4.419562 +- 1.011029 (0.000000%)  |         Radius: 4.249930 +- 0.828660 (-3.838208%)  | 
           Ref0: 0.200128 +- 0.324776 (4.410069%)  |            Ref0: 0.191675 +- 0.352110 (0.000000%)  |          Ref0: 0.172207 +- 0.103000 (-10.156776%)  | 
           Imf0: 0.447941 +- 0.543694 (2.068527%)  |            Imf0: 0.438863 +- 0.589422 (0.000000%)  |           Imf0: 0.411413 +- 0.129234 (-6.254799%)  | 
         d0: -14.460357 +- 17.547246 (-3.177468%)  |          d0: -14.934909 +- 20.017768 (-0.000000%)  |            d0: -16.050817 +- 5.369545 (7.471810%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.361764 +- 0.279168 (2.230763%)  |          Lambda: 0.353870 +- 0.470850 (0.000000%)  |         Lambda: 0.348184 +- 0.124231 (-1.606805%)  | 
         Radius: 4.468171 +- 0.993081 (1.099860%)  |          Radius: 4.419562 +- 1.011029 (0.000000%)  |         Radius: 4.249930 +- 0.828660 (-3.838208%)  | 
           Ref0: 0.200128 +- 0.324776 (4.410069%)  |            Ref0: 0.191675 +- 0.352110 (0.000000%)  |          Ref0: 0.172207 +- 0.103000 (-10.156776%)  | 
           Imf0: 0.447941 +- 0.543694 (2.068527%)  |            Imf0: 0.438863 +- 0.589422 (0.000000%)  |           Imf0: 0.411413 +- 0.129234 (-6.254799%)  | 
         d0: -14.460357 +- 17.547246 (-3.177468%)  |          d0: -14.934909 +- 20.017768 (-0.000000%)  |            d0: -16.050817 +- 5.369545 (7.471810%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
