                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.561072 +- 0.545518 (-23.585117%)  |          Lambda: 2.042890 +- 0.520414 (0.000000%)  |        Lambda: 1.629074 +- 0.536299 (-20.256401%)  | 
        Radius: 5.856956 +- 1.119857 (11.059101%)  |          Radius: 5.273729 +- 0.615071 (0.000000%)  |         Radius: 5.181647 +- 0.864323 (-1.746051%)  | 
         Ref0: -1.313761 +- 0.273665 (67.043791%)  |          Ref0: -0.786477 +- 0.140464 (-0.000000%)  |          Ref0: -1.039078 +- 0.244062 (32.118040%)  | 
          Imf0: 0.552032 +- 0.306092 (93.372473%)  |            Imf0: 0.285476 +- 0.080621 (0.000000%)  |           Imf0: 0.277506 +- 0.164763 (-2.791828%)  | 
           d0: 1.001384 +- 0.542496 (-35.025947%)  |              d0: 1.541206 +- 0.166065 (0.000000%)  |            d0: 1.026019 +- 0.315413 (-33.427524%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.577747 +- 0.559064 (-29.182102%)  |          Lambda: 2.227893 +- 0.578825 (0.000000%)  |        Lambda: 1.721848 +- 0.575529 (-22.714062%)  | 
        Radius: 5.856956 +- 1.119857 (11.059101%)  |          Radius: 5.273729 +- 0.615071 (0.000000%)  |         Radius: 5.181647 +- 0.864323 (-1.746051%)  | 
         Ref0: -1.313761 +- 0.273665 (67.043791%)  |          Ref0: -0.786477 +- 0.140464 (-0.000000%)  |          Ref0: -1.039078 +- 0.244062 (32.118040%)  | 
          Imf0: 0.552032 +- 0.306092 (93.372473%)  |            Imf0: 0.285476 +- 0.080621 (0.000000%)  |           Imf0: 0.277506 +- 0.164763 (-2.791828%)  | 
           d0: 1.001384 +- 0.542496 (-35.025947%)  |              d0: 1.541206 +- 0.166065 (0.000000%)  |            d0: 1.026019 +- 0.315413 (-33.427524%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.446227 +- 0.520546 (-30.267800%)  |          Lambda: 2.073973 +- 0.851592 (0.000000%)  |        Lambda: 1.783931 +- 0.654699 (-13.984849%)  | 
        Radius: 4.801111 +- 0.815209 (13.887664%)  |          Radius: 4.215655 +- 0.765680 (0.000000%)  |          Radius: 4.584687 +- 0.696254 (8.753847%)  | 
         Ref0: -1.313761 +- 0.273665 (67.043791%)  |          Ref0: -0.786477 +- 0.140464 (-0.000000%)  |          Ref0: -1.039078 +- 0.244062 (32.118040%)  | 
          Imf0: 0.552032 +- 0.306092 (93.372473%)  |            Imf0: 0.285476 +- 0.080621 (0.000000%)  |           Imf0: 0.277506 +- 0.164763 (-2.791828%)  | 
           d0: 1.001384 +- 0.542496 (-35.025947%)  |              d0: 1.541206 +- 0.166065 (0.000000%)  |            d0: 1.026019 +- 0.315413 (-33.427524%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.298047 +- 0.460865 (-25.529493%)  |          Lambda: 1.743035 +- 0.707945 (0.000000%)  |        Lambda: 1.524904 +- 0.552591 (-12.514436%)  | 
        Radius: 4.801111 +- 0.815209 (13.887664%)  |          Radius: 4.215655 +- 0.765680 (0.000000%)  |          Radius: 4.584687 +- 0.696254 (8.753847%)  | 
         Ref0: -1.313761 +- 0.273665 (67.043791%)  |          Ref0: -0.786477 +- 0.140464 (-0.000000%)  |          Ref0: -1.039078 +- 0.244062 (32.118040%)  | 
          Imf0: 0.552032 +- 0.306092 (93.372473%)  |            Imf0: 0.285476 +- 0.080621 (0.000000%)  |           Imf0: 0.277506 +- 0.164763 (-2.791828%)  | 
           d0: 1.001384 +- 0.542496 (-35.025947%)  |              d0: 1.541206 +- 0.166065 (0.000000%)  |            d0: 1.026019 +- 0.315413 (-33.427524%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
