                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.754041 +- 0.299265 (0.354781%)  |          Lambda: 1.747840 +- 0.322934 (0.000000%)  |          Lambda: 1.756151 +- 0.320263 (0.475501%)  | 
        Radius: 5.551770 +- 0.565325 (-0.392204%)  |          Radius: 5.573630 +- 0.584121 (0.000000%)  |          Radius: 5.604887 +- 0.581820 (0.560801%)  | 
          Ref0: 0.345781 +- 0.127105 (-1.997013%)  |            Ref0: 0.352827 +- 0.121325 (0.000000%)  |            Ref0: 0.355835 +- 0.121894 (0.852542%)  | 
          Imf0: 0.425133 +- 0.103208 (-0.967882%)  |            Imf0: 0.429288 +- 0.101770 (0.000000%)  |            Imf0: 0.431553 +- 0.101557 (0.527618%)  | 
            d0: -4.761809 +- 1.702613 (2.760222%)  |            d0: -4.633903 +- 1.644587 (-0.000000%)  |            d0: -4.594754 +- 1.609003 (-0.844839%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.754041 +- 0.299265 (0.354781%)  |          Lambda: 1.747840 +- 0.322934 (0.000000%)  |          Lambda: 1.756151 +- 0.320263 (0.475501%)  | 
        Radius: 5.551770 +- 0.565325 (-0.392204%)  |          Radius: 5.573630 +- 0.584121 (0.000000%)  |          Radius: 5.604887 +- 0.581820 (0.560801%)  | 
          Ref0: 0.345781 +- 0.127105 (-1.997013%)  |            Ref0: 0.352827 +- 0.121325 (0.000000%)  |            Ref0: 0.355835 +- 0.121894 (0.852542%)  | 
          Imf0: 0.425133 +- 0.103208 (-0.967882%)  |            Imf0: 0.429288 +- 0.101770 (0.000000%)  |            Imf0: 0.431553 +- 0.101557 (0.527618%)  | 
            d0: -4.761809 +- 1.702613 (2.760222%)  |            d0: -4.633903 +- 1.644587 (-0.000000%)  |            d0: -4.594754 +- 1.609003 (-0.844839%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.331134 +- 0.239834 (1.696347%)  |          Lambda: 1.308930 +- 0.244766 (0.000000%)  |         Lambda: 1.303171 +- 0.243003 (-0.439978%)  | 
         Radius: 4.426093 +- 0.440257 (0.120613%)  |          Radius: 4.420761 +- 0.445653 (0.000000%)  |          Radius: 4.439287 +- 0.446481 (0.419068%)  | 
          Ref0: 0.345781 +- 0.127105 (-1.997013%)  |            Ref0: 0.352827 +- 0.121325 (0.000000%)  |            Ref0: 0.355835 +- 0.121894 (0.852542%)  | 
          Imf0: 0.425133 +- 0.103208 (-0.967882%)  |            Imf0: 0.429288 +- 0.101770 (0.000000%)  |            Imf0: 0.431553 +- 0.101557 (0.527618%)  | 
            d0: -4.761809 +- 1.702613 (2.760222%)  |            d0: -4.633903 +- 1.644587 (-0.000000%)  |            d0: -4.594754 +- 1.609003 (-0.844839%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.331134 +- 0.239834 (1.696347%)  |          Lambda: 1.308930 +- 0.244766 (0.000000%)  |         Lambda: 1.303171 +- 0.243003 (-0.439978%)  | 
         Radius: 4.426093 +- 0.440257 (0.120613%)  |          Radius: 4.420761 +- 0.445653 (0.000000%)  |          Radius: 4.439287 +- 0.446481 (0.419068%)  | 
          Ref0: 0.345781 +- 0.127105 (-1.997013%)  |            Ref0: 0.352827 +- 0.121325 (0.000000%)  |            Ref0: 0.355835 +- 0.121894 (0.852542%)  | 
          Imf0: 0.425133 +- 0.103208 (-0.967882%)  |            Imf0: 0.429288 +- 0.101770 (0.000000%)  |            Imf0: 0.431553 +- 0.101557 (0.527618%)  | 
            d0: -4.761809 +- 1.702613 (2.760222%)  |            d0: -4.633903 +- 1.644587 (-0.000000%)  |            d0: -4.594754 +- 1.609003 (-0.844839%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
