                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.754041 +- 0.299265 (0.354781%)  |          Lambda: 1.747840 +- 0.322934 (0.000000%)  |          Lambda: 1.756151 +- 0.320263 (0.475501%)  | 
        Radius: 5.551770 +- 0.565325 (-0.392204%)  |          Radius: 5.573630 +- 0.584121 (0.000000%)  |          Radius: 5.604887 +- 0.581820 (0.560801%)  | 
         Ref0: -1.043533 +- 0.139489 (-0.745408%)  |          Ref0: -1.051370 +- 0.140680 (-0.000000%)  |           Ref0: -1.059129 +- 0.141861 (0.737989%)  | 
          Imf0: 0.436546 +- 0.143326 (-1.542674%)  |            Imf0: 0.443386 +- 0.138876 (0.000000%)  |            Imf0: 0.449423 +- 0.140323 (1.361568%)  | 
            d0: 1.047913 +- 0.289425 (-0.031958%)  |              d0: 1.048248 +- 0.294216 (0.000000%)  |             d0: 1.040984 +- 0.300928 (-0.692966%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.754041 +- 0.299265 (0.354781%)  |          Lambda: 1.747840 +- 0.322934 (0.000000%)  |          Lambda: 1.756151 +- 0.320263 (0.475501%)  | 
        Radius: 5.551770 +- 0.565325 (-0.392204%)  |          Radius: 5.573630 +- 0.584121 (0.000000%)  |          Radius: 5.604887 +- 0.581820 (0.560801%)  | 
         Ref0: -1.043533 +- 0.139489 (-0.745408%)  |          Ref0: -1.051370 +- 0.140680 (-0.000000%)  |           Ref0: -1.059129 +- 0.141861 (0.737989%)  | 
          Imf0: 0.436546 +- 0.143326 (-1.542674%)  |            Imf0: 0.443386 +- 0.138876 (0.000000%)  |            Imf0: 0.449423 +- 0.140323 (1.361568%)  | 
            d0: 1.047913 +- 0.289425 (-0.031958%)  |              d0: 1.048248 +- 0.294216 (0.000000%)  |             d0: 1.040984 +- 0.300928 (-0.692966%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.331134 +- 0.239834 (1.696347%)  |          Lambda: 1.308930 +- 0.244766 (0.000000%)  |         Lambda: 1.303171 +- 0.243003 (-0.439978%)  | 
         Radius: 4.426093 +- 0.440257 (0.120613%)  |          Radius: 4.420761 +- 0.445653 (0.000000%)  |          Radius: 4.439287 +- 0.446481 (0.419068%)  | 
         Ref0: -1.043533 +- 0.139489 (-0.745408%)  |          Ref0: -1.051370 +- 0.140680 (-0.000000%)  |           Ref0: -1.059129 +- 0.141861 (0.737989%)  | 
          Imf0: 0.436546 +- 0.143326 (-1.542674%)  |            Imf0: 0.443386 +- 0.138876 (0.000000%)  |            Imf0: 0.449423 +- 0.140323 (1.361568%)  | 
            d0: 1.047913 +- 0.289425 (-0.031958%)  |              d0: 1.048248 +- 0.294216 (0.000000%)  |             d0: 1.040984 +- 0.300928 (-0.692966%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.331134 +- 0.239834 (1.696347%)  |          Lambda: 1.308930 +- 0.244766 (0.000000%)  |         Lambda: 1.303171 +- 0.243003 (-0.439978%)  | 
         Radius: 4.426093 +- 0.440257 (0.120613%)  |          Radius: 4.420761 +- 0.445653 (0.000000%)  |          Radius: 4.439287 +- 0.446481 (0.419068%)  | 
         Ref0: -1.043533 +- 0.139489 (-0.745408%)  |          Ref0: -1.051370 +- 0.140680 (-0.000000%)  |           Ref0: -1.059129 +- 0.141861 (0.737989%)  | 
          Imf0: 0.436546 +- 0.143326 (-1.542674%)  |            Imf0: 0.443386 +- 0.138876 (0.000000%)  |            Imf0: 0.449423 +- 0.140323 (1.361568%)  | 
            d0: 1.047913 +- 0.289425 (-0.031958%)  |              d0: 1.048248 +- 0.294216 (0.000000%)  |             d0: 1.040984 +- 0.300928 (-0.692966%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
