                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.411968 +- 0.247104 (-10.720060%)  |          Lambda: 0.461434 +- 0.277956 (0.000000%)  |         Lambda: 0.514126 +- 0.307060 (11.419185%)  | 
        Radius: 4.342188 +- 0.779587 (-3.859129%)  |          Radius: 4.516485 +- 0.874085 (0.000000%)  |          Radius: 4.897213 +- 1.112594 (8.429741%)  | 
          Ref0: -0.626949 +- 0.384450 (1.074997%)  |          Ref0: -0.620281 +- 0.269883 (-0.000000%)  |          Ref0: -0.604475 +- 0.342874 (-2.548200%)  | 
           Imf0: 0.485997 +- 0.405579 (4.883818%)  |            Imf0: 0.463367 +- 0.322857 (0.000000%)  |           Imf0: 0.518994 +- 0.414801 (12.004955%)  | 
           d0: 0.644185 +- 1.175188 (109.222300%)  |              d0: 0.307895 +- 1.355556 (0.000000%)  |            d0: 0.115579 +- 2.349463 (-62.461553%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.405620 +- 0.242427 (-10.580953%)  |          Lambda: 0.453617 +- 0.274592 (0.000000%)  |          Lambda: 0.497466 +- 0.298722 (9.666525%)  | 
        Radius: 4.342188 +- 0.779587 (-3.859129%)  |          Radius: 4.516485 +- 0.874085 (0.000000%)  |          Radius: 4.897213 +- 1.112594 (8.429741%)  | 
          Ref0: -0.626949 +- 0.384450 (1.074997%)  |          Ref0: -0.620281 +- 0.269883 (-0.000000%)  |          Ref0: -0.604475 +- 0.342874 (-2.548200%)  | 
           Imf0: 0.485997 +- 0.405579 (4.883818%)  |            Imf0: 0.463367 +- 0.322857 (0.000000%)  |           Imf0: 0.518994 +- 0.414801 (12.004955%)  | 
           d0: 0.644185 +- 1.175188 (109.222300%)  |              d0: 0.307895 +- 1.355556 (0.000000%)  |            d0: 0.115579 +- 2.349463 (-62.461553%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.541434 +- 0.320703 (1.388717%)  |          Lambda: 0.534018 +- 0.308560 (0.000000%)  |         Lambda: 0.519772 +- 0.309444 (-2.667700%)  | 
         Radius: 4.287297 +- 0.803479 (1.820942%)  |          Radius: 4.210624 +- 0.813229 (0.000000%)  |          Radius: 4.302652 +- 0.925913 (2.185614%)  | 
          Ref0: -0.626949 +- 0.384450 (1.074997%)  |          Ref0: -0.620281 +- 0.269883 (-0.000000%)  |          Ref0: -0.604475 +- 0.342874 (-2.548200%)  | 
           Imf0: 0.485997 +- 0.405579 (4.883818%)  |            Imf0: 0.463367 +- 0.322857 (0.000000%)  |           Imf0: 0.518994 +- 0.414801 (12.004955%)  | 
           d0: 0.644185 +- 1.175188 (109.222300%)  |              d0: 0.307895 +- 1.355556 (0.000000%)  |            d0: 0.115579 +- 2.349463 (-62.461553%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.469160 +- 0.283775 (0.615065%)  |          Lambda: 0.466292 +- 0.280291 (0.000000%)  |          Lambda: 0.467172 +- 0.283548 (0.188723%)  | 
         Radius: 4.287297 +- 0.803479 (1.820942%)  |          Radius: 4.210624 +- 0.813229 (0.000000%)  |          Radius: 4.302652 +- 0.925913 (2.185614%)  | 
          Ref0: -0.626949 +- 0.384450 (1.074997%)  |          Ref0: -0.620281 +- 0.269883 (-0.000000%)  |          Ref0: -0.604475 +- 0.342874 (-2.548200%)  | 
           Imf0: 0.485997 +- 0.405579 (4.883818%)  |            Imf0: 0.463367 +- 0.322857 (0.000000%)  |           Imf0: 0.518994 +- 0.414801 (12.004955%)  | 
           d0: 0.644185 +- 1.175188 (109.222300%)  |              d0: 0.307895 +- 1.355556 (0.000000%)  |            d0: 0.115579 +- 2.349463 (-62.461553%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
