                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.253870 +- 0.488674 (-3.226205%)  |          Lambda: 1.295671 +- 0.477433 (0.000000%)  |          Lambda: 1.303488 +- 0.497233 (0.603317%)  | 
        Radius: 4.849113 +- 0.977648 (-2.644538%)  |          Radius: 4.980833 +- 0.915920 (0.000000%)  |          Radius: 5.045547 +- 0.970251 (1.299261%)  | 
         Ref0: -1.275120 +- 0.287423 (-0.331727%)  |          Ref0: -1.279364 +- 0.276647 (-0.000000%)  |           Ref0: -1.298170 +- 0.288698 (1.469949%)  | 
          Imf0: 0.507955 +- 0.313752 (-5.741203%)  |            Imf0: 0.538894 +- 0.297180 (0.000000%)  |            Imf0: 0.560910 +- 0.315070 (4.085405%)  | 
             d0: 1.112596 +- 0.473873 (0.512502%)  |              d0: 1.106923 +- 0.477066 (0.000000%)  |              d0: 1.111545 +- 0.512998 (0.417554%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.216781 +- 0.475524 (-3.168018%)  |          Lambda: 1.256590 +- 0.465101 (0.000000%)  |          Lambda: 1.267127 +- 0.486023 (0.838539%)  | 
        Radius: 4.849113 +- 0.977648 (-2.644538%)  |          Radius: 4.980833 +- 0.915920 (0.000000%)  |          Radius: 5.045547 +- 0.970251 (1.299261%)  | 
         Ref0: -1.275120 +- 0.287423 (-0.331727%)  |          Ref0: -1.279364 +- 0.276647 (-0.000000%)  |           Ref0: -1.298170 +- 0.288698 (1.469949%)  | 
          Imf0: 0.507955 +- 0.313752 (-5.741203%)  |            Imf0: 0.538894 +- 0.297180 (0.000000%)  |            Imf0: 0.560910 +- 0.315070 (4.085405%)  | 
             d0: 1.112596 +- 0.473873 (0.512502%)  |              d0: 1.106923 +- 0.477066 (0.000000%)  |              d0: 1.111545 +- 0.512998 (0.417554%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.463142 +- 0.602285 (-2.858717%)  |          Lambda: 1.506200 +- 0.644532 (0.000000%)  |          Lambda: 1.513236 +- 0.663087 (0.467136%)  | 
        Radius: 4.522437 +- 0.901983 (-2.693716%)  |          Radius: 4.647631 +- 0.952200 (0.000000%)  |          Radius: 4.707892 +- 0.983097 (1.296596%)  | 
         Ref0: -1.275120 +- 0.287423 (-0.331727%)  |          Ref0: -1.279364 +- 0.276647 (-0.000000%)  |           Ref0: -1.298170 +- 0.288698 (1.469949%)  | 
          Imf0: 0.507955 +- 0.313752 (-5.741203%)  |            Imf0: 0.538894 +- 0.297180 (0.000000%)  |            Imf0: 0.560910 +- 0.315070 (4.085405%)  | 
             d0: 1.112596 +- 0.473873 (0.512502%)  |              d0: 1.106923 +- 0.477066 (0.000000%)  |              d0: 1.111545 +- 0.512998 (0.417554%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.218843 +- 0.497099 (-3.230255%)  |          Lambda: 1.259529 +- 0.532346 (0.000000%)  |          Lambda: 1.261247 +- 0.546100 (0.136400%)  | 
        Radius: 4.522437 +- 0.901983 (-2.693716%)  |          Radius: 4.647631 +- 0.952200 (0.000000%)  |          Radius: 4.707892 +- 0.983097 (1.296596%)  | 
         Ref0: -1.275120 +- 0.287423 (-0.331727%)  |          Ref0: -1.279364 +- 0.276647 (-0.000000%)  |           Ref0: -1.298170 +- 0.288698 (1.469949%)  | 
          Imf0: 0.507955 +- 0.313752 (-5.741203%)  |            Imf0: 0.538894 +- 0.297180 (0.000000%)  |            Imf0: 0.560910 +- 0.315070 (4.085405%)  | 
             d0: 1.112596 +- 0.473873 (0.512502%)  |              d0: 1.106923 +- 0.477066 (0.000000%)  |              d0: 1.111545 +- 0.512998 (0.417554%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
