                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.117529 +- 0.604415 (0.056227%)  |          Lambda: 1.116901 +- 0.542633 (0.000000%)  |          Lambda: 1.117049 +- 0.537206 (0.013251%)  | 
        Radius: 4.193621 +- 0.648745 (-0.385240%)  |          Radius: 4.209839 +- 0.640489 (0.000000%)  |          Radius: 4.234602 +- 0.651740 (0.588217%)  | 
           Ref0: 0.188609 +- 0.125974 (0.394426%)  |            Ref0: 0.187868 +- 0.128468 (0.000000%)  |           Ref0: 0.186541 +- 0.120649 (-0.706347%)  | 
          Imf0: 0.390583 +- 0.221589 (-0.103839%)  |            Imf0: 0.390989 +- 0.207925 (0.000000%)  |            Imf0: 0.393525 +- 0.195451 (0.648612%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.129896 +- 0.596119 (0.772452%)  |          Lambda: 1.121235 +- 0.531530 (0.000000%)  |          Lambda: 1.122811 +- 0.527037 (0.140559%)  | 
        Radius: 4.193621 +- 0.648745 (-0.385240%)  |          Radius: 4.209839 +- 0.640489 (0.000000%)  |          Radius: 4.234602 +- 0.651740 (0.588217%)  | 
           Ref0: 0.188609 +- 0.125974 (0.394426%)  |            Ref0: 0.187868 +- 0.128468 (0.000000%)  |           Ref0: 0.186541 +- 0.120649 (-0.706347%)  | 
          Imf0: 0.390583 +- 0.221589 (-0.103839%)  |            Imf0: 0.390989 +- 0.207925 (0.000000%)  |            Imf0: 0.393525 +- 0.195451 (0.648612%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.948045 +- 0.509422 (1.096223%)  |          Lambda: 0.937765 +- 0.464056 (0.000000%)  |         Lambda: 0.914940 +- 0.454202 (-2.433979%)  | 
         Radius: 3.498364 +- 0.618601 (0.506878%)  |          Radius: 3.480721 +- 0.616389 (0.000000%)  |         Radius: 3.425389 +- 0.606228 (-1.589671%)  | 
           Ref0: 0.188609 +- 0.125974 (0.394426%)  |            Ref0: 0.187868 +- 0.128468 (0.000000%)  |           Ref0: 0.186541 +- 0.120649 (-0.706347%)  | 
          Imf0: 0.390583 +- 0.221589 (-0.103839%)  |            Imf0: 0.390989 +- 0.207925 (0.000000%)  |            Imf0: 0.393525 +- 0.195451 (0.648612%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.175810 +- 0.624716 (2.089261%)  |          Lambda: 1.151747 +- 0.561779 (0.000000%)  |         Lambda: 1.119466 +- 0.547160 (-2.802786%)  | 
         Radius: 3.498364 +- 0.618601 (0.506878%)  |          Radius: 3.480721 +- 0.616389 (0.000000%)  |         Radius: 3.425389 +- 0.606228 (-1.589671%)  | 
           Ref0: 0.188609 +- 0.125974 (0.394426%)  |            Ref0: 0.187868 +- 0.128468 (0.000000%)  |           Ref0: 0.186541 +- 0.120649 (-0.706347%)  | 
          Imf0: 0.390583 +- 0.221589 (-0.103839%)  |            Imf0: 0.390989 +- 0.207925 (0.000000%)  |            Imf0: 0.393525 +- 0.195451 (0.648612%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
