                          CLAM_maxDcaV0 = 0.400000 |                           CLAM_maxDcaV0 = 0.500000 |                           CLAM_maxDcaV0 = 0.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.751465 +- 0.323420 (-0.618318%)  |          Lambda: 1.762362 +- 0.297141 (0.000000%)  |         Lambda: 1.715423 +- 0.309891 (-2.663414%)  | 
         Radius: 5.795817 +- 0.578557 (1.271720%)  |          Radius: 5.723036 +- 0.556490 (0.000000%)  |         Radius: 5.649913 +- 0.593686 (-1.277696%)  | 
          Ref0: 0.467616 +- 0.130076 (17.148254%)  |            Ref0: 0.399166 +- 0.122799 (0.000000%)  |           Ref0: 0.395099 +- 0.125028 (-1.018874%)  | 
           Imf0: 0.505234 +- 0.104876 (8.906119%)  |            Imf0: 0.463917 +- 0.096233 (0.000000%)  |            Imf0: 0.480202 +- 0.099048 (3.510326%)  | 
          d0: -3.659513 +- 1.260848 (-11.272746%)  |            d0: -4.124452 +- 1.371638 (-0.000000%)  |            d0: -4.028940 +- 1.359511 (-2.315750%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.751465 +- 0.323420 (-0.618318%)  |          Lambda: 1.762362 +- 0.297141 (0.000000%)  |         Lambda: 1.715423 +- 0.309891 (-2.663414%)  | 
         Radius: 5.795817 +- 0.578557 (1.271720%)  |          Radius: 5.723036 +- 0.556490 (0.000000%)  |         Radius: 5.649913 +- 0.593686 (-1.277696%)  | 
          Ref0: 0.467616 +- 0.130076 (17.148254%)  |            Ref0: 0.399166 +- 0.122799 (0.000000%)  |           Ref0: 0.395099 +- 0.125028 (-1.018874%)  | 
           Imf0: 0.505234 +- 0.104876 (8.906119%)  |            Imf0: 0.463917 +- 0.096233 (0.000000%)  |            Imf0: 0.480202 +- 0.099048 (3.510326%)  | 
          d0: -3.659513 +- 1.260848 (-11.272746%)  |            d0: -4.124452 +- 1.371638 (-0.000000%)  |            d0: -4.028940 +- 1.359511 (-2.315750%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.320231 +- 0.243448 (-0.004772%)  |          Lambda: 1.320294 +- 0.229937 (0.000000%)  |         Lambda: 1.250556 +- 0.221837 (-5.282005%)  | 
         Radius: 4.590246 +- 0.444018 (1.304082%)  |          Radius: 4.531156 +- 0.430142 (0.000000%)  |         Radius: 4.413824 +- 0.430440 (-2.589450%)  | 
          Ref0: 0.467616 +- 0.130076 (17.148254%)  |            Ref0: 0.399166 +- 0.122799 (0.000000%)  |           Ref0: 0.395099 +- 0.125028 (-1.018874%)  | 
           Imf0: 0.505234 +- 0.104876 (8.906119%)  |            Imf0: 0.463917 +- 0.096233 (0.000000%)  |            Imf0: 0.480202 +- 0.099048 (3.510326%)  | 
          d0: -3.659513 +- 1.260848 (-11.272746%)  |            d0: -4.124452 +- 1.371638 (-0.000000%)  |            d0: -4.028940 +- 1.359511 (-2.315750%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.320231 +- 0.243448 (-0.004772%)  |          Lambda: 1.320294 +- 0.229937 (0.000000%)  |         Lambda: 1.250556 +- 0.221837 (-5.282005%)  | 
         Radius: 4.590246 +- 0.444018 (1.304082%)  |          Radius: 4.531156 +- 0.430142 (0.000000%)  |         Radius: 4.413824 +- 0.430440 (-2.589450%)  | 
          Ref0: 0.467616 +- 0.130076 (17.148254%)  |            Ref0: 0.399166 +- 0.122799 (0.000000%)  |           Ref0: 0.395099 +- 0.125028 (-1.018874%)  | 
           Imf0: 0.505234 +- 0.104876 (8.906119%)  |            Imf0: 0.463917 +- 0.096233 (0.000000%)  |            Imf0: 0.480202 +- 0.099048 (3.510326%)  | 
          d0: -3.659513 +- 1.260848 (-11.272746%)  |            d0: -4.124452 +- 1.371638 (-0.000000%)  |            d0: -4.028940 +- 1.359511 (-2.315750%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
