               CLAM_minCosPointingAngle = 0.999200 |                CLAM_minCosPointingAngle = 0.999300 |                CLAM_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.190098 (-0.001000%)  |          Lambda: 0.400004 +- 0.133409 (0.000000%)  |         Lambda: 0.400000 +- 0.187086 (-0.001000%)  | 
         Radius: 3.076234 +- 0.656109 (2.140267%)  |          Radius: 3.011774 +- 0.576921 (0.000000%)  |          Radius: 3.089113 +- 0.628479 (2.567889%)  | 
         Ref0: -0.183986 +- 0.035293 (-1.391874%)  |          Ref0: -0.186583 +- 0.034582 (-0.000000%)  |           Ref0: -0.189176 +- 0.036116 (1.389730%)  | 
           Imf0: 0.204501 +- 0.113201 (4.767003%)  |            Imf0: 0.195196 +- 0.097806 (0.000000%)  |            Imf0: 0.206449 +- 0.109967 (5.764975%)  | 
            d0: 2.824555 +- 0.957649 (-0.160758%)  |              d0: 2.829103 +- 0.956583 (0.000000%)  |             d0: 2.800989 +- 0.926974 (-0.993743%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.190098 (-0.001000%)  |          Lambda: 0.400004 +- 0.133409 (0.000000%)  |         Lambda: 0.400000 +- 0.187086 (-0.001000%)  | 
         Radius: 3.076234 +- 0.656109 (2.140267%)  |          Radius: 3.011774 +- 0.576921 (0.000000%)  |          Radius: 3.089113 +- 0.628479 (2.567889%)  | 
         Ref0: -0.183986 +- 0.035293 (-1.391874%)  |          Ref0: -0.186583 +- 0.034582 (-0.000000%)  |           Ref0: -0.189176 +- 0.036116 (1.389730%)  | 
           Imf0: 0.204501 +- 0.113201 (4.767003%)  |            Imf0: 0.195196 +- 0.097806 (0.000000%)  |            Imf0: 0.206449 +- 0.109967 (5.764975%)  | 
            d0: 2.824555 +- 0.957649 (-0.160758%)  |              d0: 2.829103 +- 0.956583 (0.000000%)  |             d0: 2.800989 +- 0.926974 (-0.993743%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.190098 (-0.001000%)  |          Lambda: 0.400004 +- 0.133409 (0.000000%)  |         Lambda: 0.400000 +- 0.187086 (-0.001000%)  | 
         Radius: 2.380358 +- 0.513339 (2.091620%)  |          Radius: 2.331590 +- 0.453785 (0.000000%)  |          Radius: 2.395741 +- 0.493511 (2.751384%)  | 
         Ref0: -0.183986 +- 0.035293 (-1.391874%)  |          Ref0: -0.186583 +- 0.034582 (-0.000000%)  |           Ref0: -0.189176 +- 0.036116 (1.389730%)  | 
           Imf0: 0.204501 +- 0.113201 (4.767003%)  |            Imf0: 0.195196 +- 0.097806 (0.000000%)  |            Imf0: 0.206449 +- 0.109967 (5.764975%)  | 
            d0: 2.824555 +- 0.957649 (-0.160758%)  |              d0: 2.829103 +- 0.956583 (0.000000%)  |             d0: 2.800989 +- 0.926974 (-0.993743%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.190098 (-0.001000%)  |          Lambda: 0.400004 +- 0.133409 (0.000000%)  |         Lambda: 0.400000 +- 0.187086 (-0.001000%)  | 
         Radius: 2.380358 +- 0.513339 (2.091620%)  |          Radius: 2.331590 +- 0.453785 (0.000000%)  |          Radius: 2.395741 +- 0.493511 (2.751384%)  | 
         Ref0: -0.183986 +- 0.035293 (-1.391874%)  |          Ref0: -0.186583 +- 0.034582 (-0.000000%)  |           Ref0: -0.189176 +- 0.036116 (1.389730%)  | 
           Imf0: 0.204501 +- 0.113201 (4.767003%)  |            Imf0: 0.195196 +- 0.097806 (0.000000%)  |            Imf0: 0.206449 +- 0.109967 (5.764975%)  | 
            d0: 2.824555 +- 0.957649 (-0.160758%)  |              d0: 2.829103 +- 0.956583 (0.000000%)  |             d0: 2.800989 +- 0.926974 (-0.993743%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.190098 (-0.001000%)  |          Lambda: 0.400004 +- 0.133409 (0.000000%)  |         Lambda: 0.400000 +- 0.187086 (-0.001000%)  | 
         Radius: 1.746092 +- 0.364685 (1.873118%)  |          Radius: 1.713987 +- 0.326244 (0.000000%)  |          Radius: 1.745802 +- 0.349766 (1.856198%)  | 
         Ref0: -0.183986 +- 0.035293 (-1.391874%)  |          Ref0: -0.186583 +- 0.034582 (-0.000000%)  |           Ref0: -0.189176 +- 0.036116 (1.389730%)  | 
           Imf0: 0.204501 +- 0.113201 (4.767003%)  |            Imf0: 0.195196 +- 0.097806 (0.000000%)  |            Imf0: 0.206449 +- 0.109967 (5.764975%)  | 
            d0: 2.824555 +- 0.957649 (-0.160758%)  |              d0: 2.829103 +- 0.956583 (0.000000%)  |             d0: 2.800989 +- 0.926974 (-0.993743%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.190098 (-0.001000%)  |          Lambda: 0.400004 +- 0.133409 (0.000000%)  |         Lambda: 0.400000 +- 0.187086 (-0.001000%)  | 
         Radius: 1.746092 +- 0.364685 (1.873118%)  |          Radius: 1.713987 +- 0.326244 (0.000000%)  |          Radius: 1.745802 +- 0.349766 (1.856198%)  | 
         Ref0: -0.183986 +- 0.035293 (-1.391874%)  |          Ref0: -0.186583 +- 0.034582 (-0.000000%)  |           Ref0: -0.189176 +- 0.036116 (1.389730%)  | 
           Imf0: 0.204501 +- 0.113201 (4.767003%)  |            Imf0: 0.195196 +- 0.097806 (0.000000%)  |            Imf0: 0.206449 +- 0.109967 (5.764975%)  | 
            d0: 2.824555 +- 0.957649 (-0.160758%)  |              d0: 2.829103 +- 0.956583 (0.000000%)  |             d0: 2.800989 +- 0.926974 (-0.993743%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 354.818  NDF = 341  Chi2/NDF = 1.041 |        Chi2 = 358.901  NDF = 341  Chi2/NDF = 1.052 |        Chi2 = 369.878  NDF = 341  Chi2/NDF = 1.085 | 
                                                   |                                                    |                                                    | 
