                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.987691 +- 0.259087 (-5.493972%)  |          Lambda: 1.045109 +- 0.257311 (0.000000%)  |          Lambda: 1.069134 +- 0.270114 (2.298803%)  | 
        Radius: 5.969057 +- 0.842187 (-2.800821%)  |          Radius: 6.141057 +- 0.805649 (0.000000%)  |          Radius: 6.221169 +- 0.855176 (1.304531%)  | 
          Ref0: -0.673846 +- 0.138944 (0.570577%)  |          Ref0: -0.670023 +- 0.130926 (-0.000000%)  |          Ref0: -0.665782 +- 0.131905 (-0.632963%)  | 
           Imf0: 0.586773 +- 0.144483 (1.338987%)  |            Imf0: 0.579020 +- 0.137295 (0.000000%)  |            Imf0: 0.584304 +- 0.140039 (0.912576%)  | 
            d0: 0.819098 +- 0.454065 (-2.206712%)  |              d0: 0.837581 +- 0.438121 (0.000000%)  |             d0: 0.836004 +- 0.438793 (-0.188280%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.987691 +- 0.259087 (-5.493972%)  |          Lambda: 1.045109 +- 0.257311 (0.000000%)  |          Lambda: 1.069134 +- 0.270114 (2.298803%)  | 
        Radius: 5.969057 +- 0.842187 (-2.800821%)  |          Radius: 6.141057 +- 0.805649 (0.000000%)  |          Radius: 6.221169 +- 0.855176 (1.304531%)  | 
          Ref0: -0.673846 +- 0.138944 (0.570577%)  |          Ref0: -0.670023 +- 0.130926 (-0.000000%)  |          Ref0: -0.665782 +- 0.131905 (-0.632963%)  | 
           Imf0: 0.586773 +- 0.144483 (1.338987%)  |            Imf0: 0.579020 +- 0.137295 (0.000000%)  |            Imf0: 0.584304 +- 0.140039 (0.912576%)  | 
            d0: 0.819098 +- 0.454065 (-2.206712%)  |              d0: 0.837581 +- 0.438121 (0.000000%)  |             d0: 0.836004 +- 0.438793 (-0.188280%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.744835 +- 0.171319 (-3.029912%)  |          Lambda: 0.768108 +- 0.171427 (0.000000%)  |          Lambda: 0.776775 +- 0.174371 (1.128357%)  | 
        Radius: 4.674828 +- 0.559864 (-1.423102%)  |          Radius: 4.742316 +- 0.549563 (0.000000%)  |          Radius: 4.776149 +- 0.565029 (0.713428%)  | 
          Ref0: -0.673846 +- 0.138944 (0.570577%)  |          Ref0: -0.670023 +- 0.130926 (-0.000000%)  |          Ref0: -0.665782 +- 0.131905 (-0.632963%)  | 
           Imf0: 0.586773 +- 0.144483 (1.338987%)  |            Imf0: 0.579020 +- 0.137295 (0.000000%)  |            Imf0: 0.584304 +- 0.140039 (0.912576%)  | 
            d0: 0.819098 +- 0.454065 (-2.206712%)  |              d0: 0.837581 +- 0.438121 (0.000000%)  |             d0: 0.836004 +- 0.438793 (-0.188280%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.744835 +- 0.171319 (-3.029912%)  |          Lambda: 0.768108 +- 0.171427 (0.000000%)  |          Lambda: 0.776775 +- 0.174371 (1.128357%)  | 
        Radius: 4.674828 +- 0.559864 (-1.423102%)  |          Radius: 4.742316 +- 0.549563 (0.000000%)  |          Radius: 4.776149 +- 0.565029 (0.713428%)  | 
          Ref0: -0.673846 +- 0.138944 (0.570577%)  |          Ref0: -0.670023 +- 0.130926 (-0.000000%)  |          Ref0: -0.665782 +- 0.131905 (-0.632963%)  | 
           Imf0: 0.586773 +- 0.144483 (1.338987%)  |            Imf0: 0.579020 +- 0.137295 (0.000000%)  |            Imf0: 0.584304 +- 0.140039 (0.912576%)  | 
            d0: 0.819098 +- 0.454065 (-2.206712%)  |              d0: 0.837581 +- 0.438121 (0.000000%)  |             d0: 0.836004 +- 0.438793 (-0.188280%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
