                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.638043 (0.000000%)  |          Lambda: 0.600000 +- 0.187784 (0.000000%)  |          Lambda: 0.600000 +- 0.604324 (0.000000%)  | 
        Radius: 2.941977 +- 0.466283 (-1.441835%)  |          Radius: 2.985016 +- 0.414326 (0.000000%)  |         Radius: 2.899110 +- 0.421730 (-2.877908%)  | 
          Ref0: -0.401241 +- 0.118992 (3.986161%)  |          Ref0: -0.385860 +- 0.099007 (-0.000000%)  |           Ref0: -0.388562 +- 0.119622 (0.700254%)  | 
         Imf0: 0.167078 +- 0.082883 (-19.039589%)  |            Imf0: 0.206370 +- 0.073889 (0.000000%)  |          Imf0: 0.136968 +- 0.059391 (-33.629888%)  | 
           d0: 1.937738 +- 0.463935 (-22.839001%)  |              d0: 2.511292 +- 0.306627 (0.000000%)  |            d0: 2.076727 +- 0.508745 (-17.304439%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.638043 (0.000000%)  |          Lambda: 0.600000 +- 0.187784 (0.000000%)  |          Lambda: 0.600000 +- 0.604324 (0.000000%)  | 
        Radius: 2.941977 +- 0.466283 (-1.441835%)  |          Radius: 2.985016 +- 0.414326 (0.000000%)  |         Radius: 2.899110 +- 0.421730 (-2.877908%)  | 
          Ref0: -0.401241 +- 0.118992 (3.986161%)  |          Ref0: -0.385860 +- 0.099007 (-0.000000%)  |           Ref0: -0.388562 +- 0.119622 (0.700254%)  | 
         Imf0: 0.167078 +- 0.082883 (-19.039589%)  |            Imf0: 0.206370 +- 0.073889 (0.000000%)  |          Imf0: 0.136968 +- 0.059391 (-33.629888%)  | 
           d0: 1.937738 +- 0.463935 (-22.839001%)  |              d0: 2.511292 +- 0.306627 (0.000000%)  |            d0: 2.076727 +- 0.508745 (-17.304439%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.638043 (0.000000%)  |          Lambda: 0.600000 +- 0.187784 (0.000000%)  |          Lambda: 0.600000 +- 0.604324 (0.000000%)  | 
        Radius: 2.407455 +- 0.396674 (10.345743%)  |          Radius: 2.181738 +- 0.316094 (0.000000%)  |         Radius: 2.426403 +- 0.377143 (11.214225%)  | 
          Ref0: -0.401241 +- 0.118992 (3.986161%)  |          Ref0: -0.385860 +- 0.099007 (-0.000000%)  |           Ref0: -0.388562 +- 0.119622 (0.700254%)  | 
         Imf0: 0.167078 +- 0.082883 (-19.039589%)  |            Imf0: 0.206370 +- 0.073889 (0.000000%)  |          Imf0: 0.136968 +- 0.059391 (-33.629888%)  | 
           d0: 1.937738 +- 0.463935 (-22.839001%)  |              d0: 2.511292 +- 0.306627 (0.000000%)  |            d0: 2.076727 +- 0.508745 (-17.304439%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.638043 (0.000000%)  |          Lambda: 0.600000 +- 0.187784 (0.000000%)  |          Lambda: 0.600000 +- 0.604324 (0.000000%)  | 
        Radius: 2.407455 +- 0.396674 (10.345743%)  |          Radius: 2.181738 +- 0.316094 (0.000000%)  |         Radius: 2.426403 +- 0.377143 (11.214225%)  | 
          Ref0: -0.401241 +- 0.118992 (3.986161%)  |          Ref0: -0.385860 +- 0.099007 (-0.000000%)  |           Ref0: -0.388562 +- 0.119622 (0.700254%)  | 
         Imf0: 0.167078 +- 0.082883 (-19.039589%)  |            Imf0: 0.206370 +- 0.073889 (0.000000%)  |          Imf0: 0.136968 +- 0.059391 (-33.629888%)  | 
           d0: 1.937738 +- 0.463935 (-22.839001%)  |              d0: 2.511292 +- 0.306627 (0.000000%)  |            d0: 2.076727 +- 0.508745 (-17.304439%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.638043 (0.000000%)  |          Lambda: 0.600000 +- 0.187784 (0.000000%)  |          Lambda: 0.600000 +- 0.604324 (0.000000%)  | 
        Radius: 1.795600 +- 0.296893 (12.592121%)  |          Radius: 1.594783 +- 0.239990 (0.000000%)  |         Radius: 1.784099 +- 0.287231 (11.870957%)  | 
          Ref0: -0.401241 +- 0.118992 (3.986161%)  |          Ref0: -0.385860 +- 0.099007 (-0.000000%)  |           Ref0: -0.388562 +- 0.119622 (0.700254%)  | 
         Imf0: 0.167078 +- 0.082883 (-19.039589%)  |            Imf0: 0.206370 +- 0.073889 (0.000000%)  |          Imf0: 0.136968 +- 0.059391 (-33.629888%)  | 
           d0: 1.937738 +- 0.463935 (-22.839001%)  |              d0: 2.511292 +- 0.306627 (0.000000%)  |            d0: 2.076727 +- 0.508745 (-17.304439%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.638043 (0.000000%)  |          Lambda: 0.600000 +- 0.187784 (0.000000%)  |          Lambda: 0.600000 +- 0.604324 (0.000000%)  | 
        Radius: 1.795600 +- 0.296893 (12.592121%)  |          Radius: 1.594783 +- 0.239990 (0.000000%)  |         Radius: 1.784099 +- 0.287231 (11.870957%)  | 
          Ref0: -0.401241 +- 0.118992 (3.986161%)  |          Ref0: -0.385860 +- 0.099007 (-0.000000%)  |           Ref0: -0.388562 +- 0.119622 (0.700254%)  | 
         Imf0: 0.167078 +- 0.082883 (-19.039589%)  |            Imf0: 0.206370 +- 0.073889 (0.000000%)  |          Imf0: 0.136968 +- 0.059391 (-33.629888%)  | 
           d0: 1.937738 +- 0.463935 (-22.839001%)  |              d0: 2.511292 +- 0.306627 (0.000000%)  |            d0: 2.076727 +- 0.508745 (-17.304439%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 360.021  NDF = 341  Chi2/NDF = 1.056 |        Chi2 = 375.009  NDF = 341  Chi2/NDF = 1.100 |        Chi2 = 365.684  NDF = 341  Chi2/NDF = 1.072 | 
                                                   |                                                    |                                                    | 
