                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.686388 +- 0.298555 (-3.913786%)  |          Lambda: 1.755078 +- 0.300204 (0.000000%)  |          Lambda: 1.770385 +- 0.330966 (0.872155%)  | 
        Radius: 5.608845 +- 0.554373 (-1.658233%)  |          Radius: 5.703421 +- 0.551773 (0.000000%)  |          Radius: 5.729155 +- 0.596967 (0.451203%)  | 
          Ref0: -1.117646 +- 0.141808 (0.124434%)  |          Ref0: -1.116257 +- 0.137261 (-0.000000%)  |           Ref0: -1.117665 +- 0.139585 (0.126136%)  | 
           Imf0: 0.495536 +- 0.141007 (3.525460%)  |            Imf0: 0.478661 +- 0.135313 (0.000000%)  |           Imf0: 0.478427 +- 0.137810 (-0.048886%)  | 
            d0: 1.041606 +- 0.312243 (-0.401699%)  |              d0: 1.045807 +- 0.301466 (0.000000%)  |              d0: 1.048577 +- 0.303644 (0.264867%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.686388 +- 0.298555 (-3.913786%)  |          Lambda: 1.755078 +- 0.300204 (0.000000%)  |          Lambda: 1.770385 +- 0.330966 (0.872155%)  | 
        Radius: 5.608845 +- 0.554373 (-1.658233%)  |          Radius: 5.703421 +- 0.551773 (0.000000%)  |          Radius: 5.729155 +- 0.596967 (0.451203%)  | 
          Ref0: -1.117646 +- 0.141808 (0.124434%)  |          Ref0: -1.116257 +- 0.137261 (-0.000000%)  |           Ref0: -1.117665 +- 0.139585 (0.126136%)  | 
           Imf0: 0.495536 +- 0.141007 (3.525460%)  |            Imf0: 0.478661 +- 0.135313 (0.000000%)  |           Imf0: 0.478427 +- 0.137810 (-0.048886%)  | 
            d0: 1.041606 +- 0.312243 (-0.401699%)  |              d0: 1.045807 +- 0.301466 (0.000000%)  |              d0: 1.048577 +- 0.303644 (0.264867%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.269976 +- 0.225285 (-2.193600%)  |          Lambda: 1.298459 +- 0.226750 (0.000000%)  |          Lambda: 1.304568 +- 0.235851 (0.470481%)  | 
        Radius: 4.455077 +- 0.422935 (-0.731698%)  |          Radius: 4.487915 +- 0.421974 (0.000000%)  |          Radius: 4.501009 +- 0.435428 (0.291761%)  | 
          Ref0: -1.117646 +- 0.141808 (0.124434%)  |          Ref0: -1.116257 +- 0.137261 (-0.000000%)  |           Ref0: -1.117665 +- 0.139585 (0.126136%)  | 
           Imf0: 0.495536 +- 0.141007 (3.525460%)  |            Imf0: 0.478661 +- 0.135313 (0.000000%)  |           Imf0: 0.478427 +- 0.137810 (-0.048886%)  | 
            d0: 1.041606 +- 0.312243 (-0.401699%)  |              d0: 1.045807 +- 0.301466 (0.000000%)  |              d0: 1.048577 +- 0.303644 (0.264867%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.269976 +- 0.225285 (-2.193600%)  |          Lambda: 1.298459 +- 0.226750 (0.000000%)  |          Lambda: 1.304568 +- 0.235851 (0.470481%)  | 
        Radius: 4.455077 +- 0.422935 (-0.731698%)  |          Radius: 4.487915 +- 0.421974 (0.000000%)  |          Radius: 4.501009 +- 0.435428 (0.291761%)  | 
          Ref0: -1.117646 +- 0.141808 (0.124434%)  |          Ref0: -1.116257 +- 0.137261 (-0.000000%)  |           Ref0: -1.117665 +- 0.139585 (0.126136%)  | 
           Imf0: 0.495536 +- 0.141007 (3.525460%)  |            Imf0: 0.478661 +- 0.135313 (0.000000%)  |           Imf0: 0.478427 +- 0.137810 (-0.048886%)  | 
            d0: 1.041606 +- 0.312243 (-0.401699%)  |              d0: 1.045807 +- 0.301466 (0.000000%)  |              d0: 1.048577 +- 0.303644 (0.264867%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
