                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.066842 +- 0.469306 (-3.451116%)  |          Lambda: 1.104976 +- 0.521396 (0.000000%)  |          Lambda: 1.106596 +- 0.463990 (0.146610%)  | 
        Radius: 5.130483 +- 1.020590 (-2.550709%)  |          Radius: 5.264772 +- 1.106026 (0.000000%)  |          Radius: 5.313785 +- 1.080169 (0.930961%)  | 
         Ref0: -1.438948 +- 0.403268 (-0.011326%)  |          Ref0: -1.439111 +- 0.407380 (-0.000000%)  |           Ref0: -1.461000 +- 0.388044 (1.521008%)  | 
          Imf0: 0.634087 +- 0.385701 (-4.705462%)  |            Imf0: 0.665397 +- 0.373258 (0.000000%)  |            Imf0: 0.685304 +- 0.393467 (2.991748%)  | 
             d0: 1.057558 +- 0.780848 (0.699190%)  |              d0: 1.050215 +- 0.811328 (0.000000%)  |              d0: 1.070101 +- 0.809028 (1.893517%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.032742 +- 0.456682 (-3.404690%)  |          Lambda: 1.069143 +- 0.507036 (0.000000%)  |          Lambda: 1.073562 +- 0.452432 (0.413322%)  | 
        Radius: 5.130483 +- 1.020590 (-2.550709%)  |          Radius: 5.264772 +- 1.106026 (0.000000%)  |          Radius: 5.313785 +- 1.080169 (0.930961%)  | 
         Ref0: -1.438948 +- 0.403268 (-0.011326%)  |          Ref0: -1.439111 +- 0.407380 (-0.000000%)  |           Ref0: -1.461000 +- 0.388044 (1.521008%)  | 
          Imf0: 0.634087 +- 0.385701 (-4.705462%)  |            Imf0: 0.665397 +- 0.373258 (0.000000%)  |            Imf0: 0.685304 +- 0.393467 (2.991748%)  | 
             d0: 1.057558 +- 0.780848 (0.699190%)  |              d0: 1.050215 +- 0.811328 (0.000000%)  |              d0: 1.070101 +- 0.809028 (1.893517%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.209653 +- 0.545520 (-2.716907%)  |          Lambda: 1.243436 +- 0.587934 (0.000000%)  |          Lambda: 1.254046 +- 0.582499 (0.853281%)  | 
        Radius: 4.713619 +- 0.977907 (-2.422090%)  |          Radius: 4.830621 +- 1.039393 (0.000000%)  |          Radius: 4.897263 +- 1.066401 (1.379574%)  | 
         Ref0: -1.438948 +- 0.403268 (-0.011326%)  |          Ref0: -1.439111 +- 0.407380 (-0.000000%)  |           Ref0: -1.461000 +- 0.388044 (1.521008%)  | 
          Imf0: 0.634087 +- 0.385701 (-4.705462%)  |            Imf0: 0.665397 +- 0.373258 (0.000000%)  |            Imf0: 0.685304 +- 0.393467 (2.991748%)  | 
             d0: 1.057558 +- 0.780848 (0.699190%)  |              d0: 1.050215 +- 0.811328 (0.000000%)  |              d0: 1.070101 +- 0.809028 (1.893517%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.017815 +- 0.456515 (-3.132953%)  |          Lambda: 1.050734 +- 0.492845 (0.000000%)  |          Lambda: 1.056309 +- 0.487052 (0.530581%)  | 
        Radius: 4.713619 +- 0.977907 (-2.422090%)  |          Radius: 4.830621 +- 1.039393 (0.000000%)  |          Radius: 4.897263 +- 1.066401 (1.379574%)  | 
         Ref0: -1.438948 +- 0.403268 (-0.011326%)  |          Ref0: -1.439111 +- 0.407380 (-0.000000%)  |           Ref0: -1.461000 +- 0.388044 (1.521008%)  | 
          Imf0: 0.634087 +- 0.385701 (-4.705462%)  |            Imf0: 0.665397 +- 0.373258 (0.000000%)  |            Imf0: 0.685304 +- 0.393467 (2.991748%)  | 
             d0: 1.057558 +- 0.780848 (0.699190%)  |              d0: 1.050215 +- 0.811328 (0.000000%)  |              d0: 1.070101 +- 0.809028 (1.893517%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
