                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.681241 +- 0.558820 (-2.024155%)  |          Lambda: 1.715975 +- 0.567428 (0.000000%)  |          Lambda: 1.798809 +- 0.600611 (4.827227%)  | 
        Radius: 5.118149 +- 0.934745 (-3.277965%)  |          Radius: 5.291606 +- 0.917989 (0.000000%)  |          Radius: 5.516386 +- 1.065985 (4.247860%)  | 
         Ref0: -0.863640 +- 0.120963 (-9.385548%)  |          Ref0: -0.953093 +- 0.136476 (-0.000000%)  |           Ref0: -0.987683 +- 0.137073 (3.629237%)  | 
          Imf0: 0.518651 +- 0.237662 (-4.295397%)  |            Imf0: 0.541929 +- 0.263755 (0.000000%)  |            Imf0: 0.561842 +- 0.288557 (3.674467%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.675237 +- 0.562458 (-1.924812%)  |          Lambda: 1.708115 +- 0.570626 (0.000000%)  |          Lambda: 1.766515 +- 0.597033 (3.418974%)  | 
        Radius: 5.118149 +- 0.934745 (-3.277965%)  |          Radius: 5.291606 +- 0.917989 (0.000000%)  |          Radius: 5.516386 +- 1.065985 (4.247860%)  | 
         Ref0: -0.863640 +- 0.120963 (-9.385548%)  |          Ref0: -0.953093 +- 0.136476 (-0.000000%)  |           Ref0: -0.987683 +- 0.137073 (3.629237%)  | 
          Imf0: 0.518651 +- 0.237662 (-4.295397%)  |            Imf0: 0.541929 +- 0.263755 (0.000000%)  |            Imf0: 0.561842 +- 0.288557 (3.674467%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 2.086685 +- 0.813233 (13.778242%)  |          Lambda: 1.833993 +- 0.727253 (0.000000%)  |        Lambda: 1.621409 +- 0.650991 (-11.591320%)  | 
         Radius: 4.929179 +- 0.992039 (3.468667%)  |          Radius: 4.763934 +- 0.949604 (0.000000%)  |         Radius: 4.609280 +- 0.942287 (-3.246351%)  | 
         Ref0: -0.863640 +- 0.120963 (-9.385548%)  |          Ref0: -0.953093 +- 0.136476 (-0.000000%)  |           Ref0: -0.987683 +- 0.137073 (3.629237%)  | 
          Imf0: 0.518651 +- 0.237662 (-4.295397%)  |            Imf0: 0.541929 +- 0.263755 (0.000000%)  |            Imf0: 0.561842 +- 0.288557 (3.674467%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.755439 +- 0.669446 (12.623871%)  |          Lambda: 1.558674 +- 0.606371 (0.000000%)  |         Lambda: 1.423016 +- 0.562814 (-8.703424%)  | 
         Radius: 4.929179 +- 0.992039 (3.468667%)  |          Radius: 4.763934 +- 0.949604 (0.000000%)  |         Radius: 4.609280 +- 0.942287 (-3.246351%)  | 
         Ref0: -0.863640 +- 0.120963 (-9.385548%)  |          Ref0: -0.953093 +- 0.136476 (-0.000000%)  |           Ref0: -0.987683 +- 0.137073 (3.629237%)  | 
          Imf0: 0.518651 +- 0.237662 (-4.295397%)  |            Imf0: 0.541929 +- 0.263755 (0.000000%)  |            Imf0: 0.561842 +- 0.288557 (3.674467%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
