                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.767280 +- 0.549364 (-2.623782%)  |          Lambda: 1.814899 +- 0.607760 (0.000000%)  |         Lambda: 1.813096 +- 0.578382 (-0.099344%)  | 
        Radius: 5.226384 +- 0.900107 (-2.182777%)  |          Radius: 5.343010 +- 0.955117 (0.000000%)  |          Radius: 5.378075 +- 0.930376 (0.656278%)  | 
         Ref0: -0.915717 +- 0.132155 (-0.703531%)  |          Ref0: -0.922205 +- 0.130416 (-0.000000%)  |           Ref0: -0.935797 +- 0.130370 (1.473859%)  | 
          Imf0: 0.506351 +- 0.241331 (-2.826070%)  |            Imf0: 0.521077 +- 0.239294 (0.000000%)  |            Imf0: 0.530420 +- 0.245645 (1.793017%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.725799 +- 0.540904 (-2.583586%)  |          Lambda: 1.771569 +- 0.598840 (0.000000%)  |          Lambda: 1.773872 +- 0.571546 (0.129998%)  | 
        Radius: 5.226384 +- 0.900107 (-2.182777%)  |          Radius: 5.343010 +- 0.955117 (0.000000%)  |          Radius: 5.378075 +- 0.930376 (0.656278%)  | 
         Ref0: -0.915717 +- 0.132155 (-0.703531%)  |          Ref0: -0.922205 +- 0.130416 (-0.000000%)  |           Ref0: -0.935797 +- 0.130370 (1.473859%)  | 
          Imf0: 0.506351 +- 0.241331 (-2.826070%)  |            Imf0: 0.521077 +- 0.239294 (0.000000%)  |            Imf0: 0.530420 +- 0.245645 (1.793017%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.912271 +- 0.740306 (-2.706087%)  |          Lambda: 1.965458 +- 0.787149 (0.000000%)  |         Lambda: 1.961845 +- 0.793367 (-0.183825%)  | 
        Radius: 4.687223 +- 0.918454 (-2.483788%)  |          Radius: 4.806609 +- 0.969847 (0.000000%)  |          Radius: 4.839939 +- 0.984310 (0.693420%)  | 
         Ref0: -0.915717 +- 0.132155 (-0.703531%)  |          Ref0: -0.922205 +- 0.130416 (-0.000000%)  |           Ref0: -0.935797 +- 0.130370 (1.473859%)  | 
          Imf0: 0.506351 +- 0.241331 (-2.826070%)  |            Imf0: 0.521077 +- 0.239294 (0.000000%)  |            Imf0: 0.530420 +- 0.245645 (1.793017%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.583542 +- 0.603414 (-3.095715%)  |          Lambda: 1.634130 +- 0.642248 (0.000000%)  |         Lambda: 1.625914 +- 0.645603 (-0.502775%)  | 
        Radius: 4.687223 +- 0.918454 (-2.483788%)  |          Radius: 4.806609 +- 0.969847 (0.000000%)  |          Radius: 4.839939 +- 0.984310 (0.693420%)  | 
         Ref0: -0.915717 +- 0.132155 (-0.703531%)  |          Ref0: -0.922205 +- 0.130416 (-0.000000%)  |           Ref0: -0.935797 +- 0.130370 (1.473859%)  | 
          Imf0: 0.506351 +- 0.241331 (-2.826070%)  |            Imf0: 0.521077 +- 0.239294 (0.000000%)  |            Imf0: 0.530420 +- 0.245645 (1.793017%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
