                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.222025 +- 0.558390 (-6.842869%)  |          Lambda: 1.311789 +- 0.566153 (0.000000%)  |          Lambda: 1.365132 +- 0.758421 (4.066431%)  | 
        Radius: 4.710435 +- 0.710867 (32.300836%)  |          Radius: 3.560397 +- 0.485200 (0.000000%)  |         Radius: 4.755748 +- 0.687800 (33.573531%)  | 
         Ref0: 0.313089 +- 0.157271 (224.206025%)  |            Ref0: 0.096571 +- 0.074973 (0.000000%)  |          Ref0: 0.312147 +- 0.176173 (223.230576%)  | 
          Imf0: 0.490339 +- 0.215267 (70.364850%)  |            Imf0: 0.287817 +- 0.132368 (0.000000%)  |           Imf0: 0.439318 +- 0.262380 (52.637961%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.205951 +- 0.533850 (-7.254800%)  |          Lambda: 1.300284 +- 0.542937 (0.000000%)  |          Lambda: 1.347914 +- 0.723059 (3.663046%)  | 
        Radius: 4.710435 +- 0.710867 (32.300836%)  |          Radius: 3.560397 +- 0.485200 (0.000000%)  |         Radius: 4.755748 +- 0.687800 (33.573531%)  | 
         Ref0: 0.313089 +- 0.157271 (224.206025%)  |            Ref0: 0.096571 +- 0.074973 (0.000000%)  |          Ref0: 0.312147 +- 0.176173 (223.230576%)  | 
          Imf0: 0.490339 +- 0.215267 (70.364850%)  |            Imf0: 0.287817 +- 0.132368 (0.000000%)  |           Imf0: 0.439318 +- 0.262380 (52.637961%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.055820 +- 0.487176 (-21.806634%)  |          Lambda: 1.350268 +- 0.600048 (0.000000%)  |        Lambda: 1.141530 +- 0.628232 (-15.459005%)  | 
        Radius: 3.831411 +- 0.652484 (30.142506%)  |          Radius: 2.944012 +- 0.480579 (0.000000%)  |         Radius: 4.022318 +- 0.688227 (36.627093%)  | 
         Ref0: 0.313089 +- 0.157271 (224.206025%)  |            Ref0: 0.096571 +- 0.074973 (0.000000%)  |          Ref0: 0.312147 +- 0.176173 (223.230576%)  | 
          Imf0: 0.490339 +- 0.215267 (70.364850%)  |            Imf0: 0.287817 +- 0.132368 (0.000000%)  |           Imf0: 0.439318 +- 0.262380 (52.637961%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.257801 +- 0.570538 (-4.741633%)  |          Lambda: 1.320410 +- 0.582503 (0.000000%)  |         Lambda: 1.264804 +- 0.689205 (-4.211268%)  | 
        Radius: 3.831411 +- 0.652484 (30.142506%)  |          Radius: 2.944012 +- 0.480579 (0.000000%)  |         Radius: 4.022318 +- 0.688227 (36.627093%)  | 
         Ref0: 0.313089 +- 0.157271 (224.206025%)  |            Ref0: 0.096571 +- 0.074973 (0.000000%)  |          Ref0: 0.312147 +- 0.176173 (223.230576%)  | 
          Imf0: 0.490339 +- 0.215267 (70.364850%)  |            Imf0: 0.287817 +- 0.132368 (0.000000%)  |           Imf0: 0.439318 +- 0.262380 (52.637961%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
