                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.364239 +- 0.418897 (-35.824799%)  |          Lambda: 2.125804 +- 0.550882 (0.000000%)  |        Lambda: 1.318349 +- 0.448925 (-37.983511%)  | 
         Radius: 5.273630 +- 0.949936 (0.697523%)  |          Radius: 5.237100 +- 0.747374 (0.000000%)  |         Radius: 5.167884 +- 1.077606 (-1.321647%)  | 
         Ref0: -1.051033 +- 0.138364 (80.069764%)  |          Ref0: -0.583681 +- 0.083009 (-0.000000%)  |          Ref0: -1.054444 +- 0.171608 (80.654159%)  | 
          Imf0: 0.570003 +- 0.303014 (62.924566%)  |            Imf0: 0.349857 +- 0.124766 (0.000000%)  |           Imf0: 0.518513 +- 0.348473 (48.207125%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.357868 +- 0.420339 (-39.661950%)  |          Lambda: 2.250434 +- 0.593853 (0.000000%)  |        Lambda: 1.349202 +- 0.462723 (-40.047031%)  | 
         Radius: 5.273630 +- 0.949936 (0.697523%)  |          Radius: 5.237100 +- 0.747374 (0.000000%)  |         Radius: 5.167884 +- 1.077606 (-1.321647%)  | 
         Ref0: -1.051033 +- 0.138364 (80.069764%)  |          Ref0: -0.583681 +- 0.083009 (-0.000000%)  |          Ref0: -1.054444 +- 0.171608 (80.654159%)  | 
          Imf0: 0.570003 +- 0.303014 (62.924566%)  |            Imf0: 0.349857 +- 0.124766 (0.000000%)  |           Imf0: 0.518513 +- 0.348473 (48.207125%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.515309 +- 0.597451 (-38.090285%)  |          Lambda: 2.447611 +- 0.937578 (0.000000%)  |        Lambda: 1.664372 +- 0.675415 (-32.000142%)  | 
         Radius: 4.788644 +- 0.968222 (5.756739%)  |          Radius: 4.527980 +- 0.839452 (0.000000%)  |         Radius: 5.006369 +- 1.060632 (10.565175%)  | 
         Ref0: -1.051033 +- 0.138364 (80.069764%)  |          Ref0: -0.583681 +- 0.083009 (-0.000000%)  |          Ref0: -1.054444 +- 0.171608 (80.654159%)  | 
          Imf0: 0.570003 +- 0.303014 (62.924566%)  |            Imf0: 0.349857 +- 0.124766 (0.000000%)  |           Imf0: 0.518513 +- 0.348473 (48.207125%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.307496 +- 0.507880 (-31.130086%)  |          Lambda: 1.898501 +- 0.716246 (0.000000%)  |        Lambda: 1.347334 +- 0.539928 (-29.031694%)  | 
         Radius: 4.788644 +- 0.968222 (5.756739%)  |          Radius: 4.527980 +- 0.839452 (0.000000%)  |         Radius: 5.006369 +- 1.060632 (10.565175%)  | 
         Ref0: -1.051033 +- 0.138364 (80.069764%)  |          Ref0: -0.583681 +- 0.083009 (-0.000000%)  |          Ref0: -1.054444 +- 0.171608 (80.654159%)  | 
          Imf0: 0.570003 +- 0.303014 (62.924566%)  |            Imf0: 0.349857 +- 0.124766 (0.000000%)  |           Imf0: 0.518513 +- 0.348473 (48.207125%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
