                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
         Lambda: 1.379077 +- 0.685956 (3.715422%)  |          Lambda: 1.329674 +- 0.216010 (0.000000%)  |        Lambda: 1.126960 +- 0.315390 (-15.245391%)  |        Lambda: 1.087157 +- 0.259793 (-18.238831%)  | 
        Radius: 5.158716 +- 0.467999 (20.508223%)  |          Radius: 4.280800 +- 0.259350 (0.000000%)  |         Radius: 5.698168 +- 0.701023 (33.109886%)  |         Radius: 6.204268 +- 0.756593 (44.932443%)  | 
         Ref0: -0.400617 +- 0.100395 (38.677462%)  |          Ref0: -0.288884 +- 0.047811 (-0.000000%)  |         Ref0: -0.578061 +- 0.141101 (100.101425%)  |         Ref0: -0.662193 +- 0.133933 (129.224533%)  | 
          Imf0: 0.244006 +- 0.090669 (24.766580%)  |            Imf0: 0.195570 +- 0.024556 (0.000000%)  |          Imf0: 0.407341 +- 0.117784 (108.283990%)  |          Imf0: 0.557133 +- 0.120812 (184.876515%)  | 
         d0: -0.860079 +- 1.665353 (-134.029274%)  |              d0: 2.527468 +- 0.302998 (0.000000%)  |            d0: 1.006329 +- 0.368610 (-60.184303%)  |            d0: 0.710193 +- 0.512105 (-71.901009%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
         Lambda: 1.379077 +- 0.685956 (3.715422%)  |          Lambda: 1.329674 +- 0.216010 (0.000000%)  |        Lambda: 1.126960 +- 0.315390 (-15.245391%)  |        Lambda: 1.087157 +- 0.259793 (-18.238831%)  | 
        Radius: 5.158716 +- 0.467999 (20.508223%)  |          Radius: 4.280800 +- 0.259350 (0.000000%)  |         Radius: 5.698168 +- 0.701023 (33.109886%)  |         Radius: 6.204268 +- 0.756593 (44.932443%)  | 
         Ref0: -0.400617 +- 0.100395 (38.677462%)  |          Ref0: -0.288884 +- 0.047811 (-0.000000%)  |         Ref0: -0.578061 +- 0.141101 (100.101425%)  |         Ref0: -0.662193 +- 0.133933 (129.224533%)  | 
          Imf0: 0.244006 +- 0.090669 (24.766580%)  |            Imf0: 0.195570 +- 0.024556 (0.000000%)  |          Imf0: 0.407341 +- 0.117784 (108.283990%)  |          Imf0: 0.557133 +- 0.120812 (184.876515%)  | 
         d0: -0.860079 +- 1.665353 (-134.029274%)  |              d0: 2.527468 +- 0.302998 (0.000000%)  |            d0: 1.006329 +- 0.368610 (-60.184303%)  |            d0: 0.710193 +- 0.512105 (-71.901009%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
