                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
         Lambda: 1.379077 +- 0.685956 (3.715422%)  |          Lambda: 1.329674 +- 0.216010 (0.000000%)  |        Lambda: 1.126960 +- 0.315390 (-15.245391%)  |        Lambda: 1.087157 +- 0.259793 (-18.238831%)  | 
        Radius: 5.158716 +- 0.467999 (20.508223%)  |          Radius: 4.280800 +- 0.259350 (0.000000%)  |         Radius: 5.698168 +- 0.701023 (33.109886%)  |         Radius: 6.204268 +- 0.756593 (44.932443%)  | 
        Ref0: -0.011267 +- 0.056708 (-89.202062%)  |          Ref0: -0.104344 +- 0.031033 (-0.000000%)  |         Ref0: -0.057811 +- 0.137818 (-44.595760%)  |         Ref0: 0.054428 +- 0.160489 (-152.162079%)  | 
          Imf0: 0.326010 +- 0.110179 (66.519392%)  |            Imf0: 0.195779 +- 0.028916 (0.000000%)  |          Imf0: 0.431338 +- 0.129642 (120.318829%)  |          Imf0: 0.589483 +- 0.138498 (201.096134%)  | 
         d0: -2.797951 +- 2.268373 (-140.345702%)  |              d0: 6.934942 +- 1.717831 (0.000000%)  |            d0: 3.479507 +- 2.276168 (-49.826444%)  |            d0: 2.197036 +- 3.354086 (-68.319331%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
         Lambda: 1.379077 +- 0.685956 (3.715422%)  |          Lambda: 1.329674 +- 0.216010 (0.000000%)  |        Lambda: 1.126960 +- 0.315390 (-15.245391%)  |        Lambda: 1.087157 +- 0.259793 (-18.238831%)  | 
        Radius: 5.158716 +- 0.467999 (20.508223%)  |          Radius: 4.280800 +- 0.259350 (0.000000%)  |         Radius: 5.698168 +- 0.701023 (33.109886%)  |         Radius: 6.204268 +- 0.756593 (44.932443%)  | 
        Ref0: -0.011267 +- 0.056708 (-89.202062%)  |          Ref0: -0.104344 +- 0.031033 (-0.000000%)  |         Ref0: -0.057811 +- 0.137818 (-44.595760%)  |         Ref0: 0.054428 +- 0.160489 (-152.162079%)  | 
          Imf0: 0.326010 +- 0.110179 (66.519392%)  |            Imf0: 0.195779 +- 0.028916 (0.000000%)  |          Imf0: 0.431338 +- 0.129642 (120.318829%)  |          Imf0: 0.589483 +- 0.138498 (201.096134%)  | 
         d0: -2.797951 +- 2.268373 (-140.345702%)  |              d0: 6.934942 +- 1.717831 (0.000000%)  |            d0: 3.479507 +- 2.276168 (-49.826444%)  |            d0: 2.197036 +- 3.354086 (-68.319331%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.114038 +- 0.273241 (-3.609085%)  |          Lambda: 1.155750 +- 0.204779 (0.000000%)  |        Lambda: 0.786961 +- 0.201541 (-31.909063%)  |        Lambda: 0.714275 +- 0.154508 (-38.198140%)  | 
        Radius: 3.968578 +- 0.346833 (22.564107%)  |          Radius: 3.237961 +- 0.220537 (0.000000%)  |         Radius: 4.170957 +- 0.424365 (28.814306%)  |         Radius: 4.493306 +- 0.478995 (38.769615%)  | 
        Ref0: -0.011267 +- 0.056708 (-89.202062%)  |          Ref0: -0.104344 +- 0.031033 (-0.000000%)  |         Ref0: -0.057811 +- 0.137818 (-44.595760%)  |         Ref0: 0.054428 +- 0.160489 (-152.162079%)  | 
          Imf0: 0.326010 +- 0.110179 (66.519392%)  |            Imf0: 0.195779 +- 0.028916 (0.000000%)  |          Imf0: 0.431338 +- 0.129642 (120.318829%)  |          Imf0: 0.589483 +- 0.138498 (201.096134%)  | 
         d0: -2.797951 +- 2.268373 (-140.345702%)  |              d0: 6.934942 +- 1.717831 (0.000000%)  |            d0: 3.479507 +- 2.276168 (-49.826444%)  |            d0: 2.197036 +- 3.354086 (-68.319331%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.114038 +- 0.273241 (-3.609085%)  |          Lambda: 1.155750 +- 0.204779 (0.000000%)  |        Lambda: 0.786961 +- 0.201541 (-31.909063%)  |        Lambda: 0.714275 +- 0.154508 (-38.198140%)  | 
        Radius: 3.968578 +- 0.346833 (22.564107%)  |          Radius: 3.237961 +- 0.220537 (0.000000%)  |         Radius: 4.170957 +- 0.424365 (28.814306%)  |         Radius: 4.493306 +- 0.478995 (38.769615%)  | 
