                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.042119 +- 0.273196 (0.374290%)  |          Lambda: 1.038233 +- 0.293602 (0.000000%)  |          Lambda: 1.060769 +- 0.292030 (2.170611%)  | 
         Radius: 5.954152 +- 0.836087 (0.033366%)  |          Radius: 5.952166 +- 0.937861 (0.000000%)  |          Radius: 6.041116 +- 0.933921 (1.494414%)  | 
           Ref0: 0.299901 +- 0.128143 (0.028017%)  |            Ref0: 0.299817 +- 0.128619 (0.000000%)  |            Ref0: 0.305472 +- 0.130469 (1.886151%)  | 
           Imf0: 0.422322 +- 0.111906 (0.236634%)  |            Imf0: 0.421325 +- 0.107433 (0.000000%)  |            Imf0: 0.423033 +- 0.106588 (0.405388%)  | 
            d0: -4.905350 +- 1.932808 (1.646557%)  |            d0: -4.825889 +- 1.884671 (-0.000000%)  |            d0: -4.784695 +- 1.852382 (-0.853604%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.042119 +- 0.273196 (0.374290%)  |          Lambda: 1.038233 +- 0.293602 (0.000000%)  |          Lambda: 1.060769 +- 0.292030 (2.170611%)  | 
         Radius: 5.954152 +- 0.836087 (0.033366%)  |          Radius: 5.952166 +- 0.937861 (0.000000%)  |          Radius: 6.041116 +- 0.933921 (1.494414%)  | 
           Ref0: 0.299901 +- 0.128143 (0.028017%)  |            Ref0: 0.299817 +- 0.128619 (0.000000%)  |            Ref0: 0.305472 +- 0.130469 (1.886151%)  | 
           Imf0: 0.422322 +- 0.111906 (0.236634%)  |            Imf0: 0.421325 +- 0.107433 (0.000000%)  |            Imf0: 0.423033 +- 0.106588 (0.405388%)  | 
            d0: -4.905350 +- 1.932808 (1.646557%)  |            d0: -4.825889 +- 1.884671 (-0.000000%)  |            d0: -4.784695 +- 1.852382 (-0.853604%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.780141 +- 0.186357 (1.666243%)  |          Lambda: 0.767355 +- 0.188705 (0.000000%)  |          Lambda: 0.770831 +- 0.187036 (0.452985%)  | 
         Radius: 4.642765 +- 0.573469 (0.501624%)  |          Radius: 4.619592 +- 0.608069 (0.000000%)  |          Radius: 4.661780 +- 0.606484 (0.913241%)  | 
           Ref0: 0.299901 +- 0.128143 (0.028017%)  |            Ref0: 0.299817 +- 0.128619 (0.000000%)  |            Ref0: 0.305472 +- 0.130469 (1.886151%)  | 
           Imf0: 0.422322 +- 0.111906 (0.236634%)  |            Imf0: 0.421325 +- 0.107433 (0.000000%)  |            Imf0: 0.423033 +- 0.106588 (0.405388%)  | 
            d0: -4.905350 +- 1.932808 (1.646557%)  |            d0: -4.825889 +- 1.884671 (-0.000000%)  |            d0: -4.784695 +- 1.852382 (-0.853604%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.780141 +- 0.186357 (1.666243%)  |          Lambda: 0.767355 +- 0.188705 (0.000000%)  |          Lambda: 0.770831 +- 0.187036 (0.452985%)  | 
         Radius: 4.642765 +- 0.573469 (0.501624%)  |          Radius: 4.619592 +- 0.608069 (0.000000%)  |          Radius: 4.661780 +- 0.606484 (0.913241%)  | 
           Ref0: 0.299901 +- 0.128143 (0.028017%)  |            Ref0: 0.299817 +- 0.128619 (0.000000%)  |            Ref0: 0.305472 +- 0.130469 (1.886151%)  | 
           Imf0: 0.422322 +- 0.111906 (0.236634%)  |            Imf0: 0.421325 +- 0.107433 (0.000000%)  |            Imf0: 0.423033 +- 0.106588 (0.405388%)  | 
            d0: -4.905350 +- 1.932808 (1.646557%)  |            d0: -4.825889 +- 1.884671 (-0.000000%)  |            d0: -4.784695 +- 1.852382 (-0.853604%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
