                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.395347 +- 0.726055 (0.657465%)  |          Lambda: 1.386233 +- 0.730022 (0.000000%)  |          Lambda: 1.404948 +- 0.770656 (1.350062%)  | 
        Radius: 5.843050 +- 0.814709 (-0.137905%)  |          Radius: 5.851119 +- 0.769310 (0.000000%)  |          Radius: 5.922535 +- 0.787524 (1.220553%)  | 
          Ref0: 0.047368 +- 0.115180 (-4.161861%)  |            Ref0: 0.049425 +- 0.121163 (0.000000%)  |           Ref0: 0.054680 +- 0.127262 (10.632271%)  | 
          Imf0: 0.450541 +- 0.199244 (-1.270763%)  |            Imf0: 0.456340 +- 0.218991 (0.000000%)  |            Imf0: 0.462819 +- 0.232190 (1.419775%)  | 
            d0: -2.686532 +- 1.630534 (0.868590%)  |            d0: -2.663398 +- 1.624895 (-0.000000%)  |             d0: -2.668661 +- 1.607698 (0.197605%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.395347 +- 0.726055 (0.657465%)  |          Lambda: 1.386233 +- 0.730022 (0.000000%)  |          Lambda: 1.404948 +- 0.770656 (1.350062%)  | 
        Radius: 5.843050 +- 0.814709 (-0.137905%)  |          Radius: 5.851119 +- 0.769310 (0.000000%)  |          Radius: 5.922535 +- 0.787524 (1.220553%)  | 
          Ref0: 0.047368 +- 0.115180 (-4.161861%)  |            Ref0: 0.049425 +- 0.121163 (0.000000%)  |           Ref0: 0.054680 +- 0.127262 (10.632271%)  | 
          Imf0: 0.450541 +- 0.199244 (-1.270763%)  |            Imf0: 0.456340 +- 0.218991 (0.000000%)  |            Imf0: 0.462819 +- 0.232190 (1.419775%)  | 
            d0: -2.686532 +- 1.630534 (0.868590%)  |            d0: -2.663398 +- 1.624895 (-0.000000%)  |             d0: -2.668661 +- 1.607698 (0.197605%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.949196 +- 0.256369 (1.897216%)  |          Lambda: 0.931523 +- 0.266603 (0.000000%)  |         Lambda: 0.929972 +- 0.276389 (-0.166502%)  | 
         Radius: 4.262772 +- 0.487574 (0.353103%)  |          Radius: 4.247773 +- 0.477024 (0.000000%)  |          Radius: 4.276884 +- 0.485362 (0.685324%)  | 
          Ref0: 0.047368 +- 0.115180 (-4.161861%)  |            Ref0: 0.049425 +- 0.121163 (0.000000%)  |           Ref0: 0.054680 +- 0.127262 (10.632271%)  | 
          Imf0: 0.450541 +- 0.199244 (-1.270763%)  |            Imf0: 0.456340 +- 0.218991 (0.000000%)  |            Imf0: 0.462819 +- 0.232190 (1.419775%)  | 
            d0: -2.686532 +- 1.630534 (0.868590%)  |            d0: -2.663398 +- 1.624895 (-0.000000%)  |             d0: -2.668661 +- 1.607698 (0.197605%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.949196 +- 0.256369 (1.897216%)  |          Lambda: 0.931523 +- 0.266603 (0.000000%)  |         Lambda: 0.929972 +- 0.276389 (-0.166502%)  | 
         Radius: 4.262772 +- 0.487574 (0.353103%)  |          Radius: 4.247773 +- 0.477024 (0.000000%)  |          Radius: 4.276884 +- 0.485362 (0.685324%)  | 
          Ref0: 0.047368 +- 0.115180 (-4.161861%)  |            Ref0: 0.049425 +- 0.121163 (0.000000%)  |           Ref0: 0.054680 +- 0.127262 (10.632271%)  | 
          Imf0: 0.450541 +- 0.199244 (-1.270763%)  |            Imf0: 0.456340 +- 0.218991 (0.000000%)  |            Imf0: 0.462819 +- 0.232190 (1.419775%)  | 
            d0: -2.686532 +- 1.630534 (0.868590%)  |            d0: -2.663398 +- 1.624895 (-0.000000%)  |             d0: -2.668661 +- 1.607698 (0.197605%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.029215 +- 0.264408 (-0.605417%)  |          Lambda: 1.035484 +- 0.272868 (0.000000%)  |          Lambda: 1.041794 +- 0.282477 (0.609377%)  | 
        Radius: 3.434231 +- 0.455050 (-0.387055%)  |          Radius: 3.447575 +- 0.464158 (0.000000%)  |          Radius: 3.474936 +- 0.466943 (0.793630%)  | 
          Ref0: 0.047368 +- 0.115180 (-4.161861%)  |            Ref0: 0.049425 +- 0.121163 (0.000000%)  |           Ref0: 0.054680 +- 0.127262 (10.632271%)  | 
          Imf0: 0.450541 +- 0.199244 (-1.270763%)  |            Imf0: 0.456340 +- 0.218991 (0.000000%)  |            Imf0: 0.462819 +- 0.232190 (1.419775%)  | 
            d0: -2.686532 +- 1.630534 (0.868590%)  |            d0: -2.663398 +- 1.624895 (-0.000000%)  |             d0: -2.668661 +- 1.607698 (0.197605%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.029215 +- 0.264408 (-0.605417%)  |          Lambda: 1.035484 +- 0.272868 (0.000000%)  |          Lambda: 1.041794 +- 0.282477 (0.609377%)  | 
        Radius: 3.434231 +- 0.455050 (-0.387055%)  |          Radius: 3.447575 +- 0.464158 (0.000000%)  |          Radius: 3.474936 +- 0.466943 (0.793630%)  | 
          Ref0: 0.047368 +- 0.115180 (-4.161861%)  |            Ref0: 0.049425 +- 0.121163 (0.000000%)  |           Ref0: 0.054680 +- 0.127262 (10.632271%)  | 
          Imf0: 0.450541 +- 0.199244 (-1.270763%)  |            Imf0: 0.456340 +- 0.218991 (0.000000%)  |            Imf0: 0.462819 +- 0.232190 (1.419775%)  | 
            d0: -2.686532 +- 1.630534 (0.868590%)  |            d0: -2.663398 +- 1.624895 (-0.000000%)  |             d0: -2.668661 +- 1.607698 (0.197605%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1096.771  NDF = 981  Chi2/NDF = 1.118 |       Chi2 = 1094.552  NDF = 981  Chi2/NDF = 1.116 |       Chi2 = 1093.081  NDF = 981  Chi2/NDF = 1.114 | 
                                                   |                                                    |                                                    | 
