                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.584966 +- 0.262083 (9.085179%)  |          Lambda: 0.536247 +- 0.238886 (0.000000%)  |         Lambda: 0.606477 +- 0.307593 (13.096577%)  | 
         Radius: 4.726809 +- 1.155559 (0.462119%)  |          Radius: 4.705066 +- 1.161410 (0.000000%)  |         Radius: 5.353908 +- 1.562983 (13.790285%)  | 
        Ref0: -0.459063 +- 0.142744 (-15.863046%)  |          Ref0: -0.545614 +- 0.159683 (-0.000000%)  |          Ref0: -0.534827 +- 0.193798 (-1.977039%)  | 
          Imf0: 0.424060 +- 0.233830 (-4.647549%)  |            Imf0: 0.444729 +- 0.285158 (0.000000%)  |           Imf0: 0.569378 +- 0.285456 (28.028080%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.575024 +- 0.255238 (9.170510%)  |          Lambda: 0.526721 +- 0.231899 (0.000000%)  |         Lambda: 0.586065 +- 0.294439 (11.266686%)  | 
         Radius: 4.726809 +- 1.155559 (0.462119%)  |          Radius: 4.705066 +- 1.161410 (0.000000%)  |         Radius: 5.353908 +- 1.562983 (13.790285%)  | 
        Ref0: -0.459063 +- 0.142744 (-15.863046%)  |          Ref0: -0.545614 +- 0.159683 (-0.000000%)  |          Ref0: -0.534827 +- 0.193798 (-1.977039%)  | 
          Imf0: 0.424060 +- 0.233830 (-4.647549%)  |            Imf0: 0.444729 +- 0.285158 (0.000000%)  |           Imf0: 0.569378 +- 0.285456 (28.028080%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.747738 +- 0.334640 (22.511916%)  |          Lambda: 0.610339 +- 0.260595 (0.000000%)  |         Lambda: 0.595529 +- 0.280337 (-2.426520%)  | 
         Radius: 4.603272 +- 1.084097 (5.830909%)  |          Radius: 4.349648 +- 0.993289 (0.000000%)  |          Radius: 4.629794 +- 1.231326 (6.440659%)  | 
        Ref0: -0.459063 +- 0.142744 (-15.863046%)  |          Ref0: -0.545614 +- 0.159683 (-0.000000%)  |          Ref0: -0.534827 +- 0.193798 (-1.977039%)  | 
          Imf0: 0.424060 +- 0.233830 (-4.647549%)  |            Imf0: 0.444729 +- 0.285158 (0.000000%)  |           Imf0: 0.569378 +- 0.285456 (28.028080%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.647276 +- 0.289194 (21.507401%)  |          Lambda: 0.532705 +- 0.227233 (0.000000%)  |          Lambda: 0.534761 +- 0.251677 (0.385955%)  | 
         Radius: 4.603272 +- 1.084097 (5.830909%)  |          Radius: 4.349648 +- 0.993289 (0.000000%)  |          Radius: 4.629794 +- 1.231326 (6.440659%)  | 
        Ref0: -0.459063 +- 0.142744 (-15.863046%)  |          Ref0: -0.545614 +- 0.159683 (-0.000000%)  |          Ref0: -0.534827 +- 0.193798 (-1.977039%)  | 
          Imf0: 0.424060 +- 0.233830 (-4.647549%)  |            Imf0: 0.444729 +- 0.285158 (0.000000%)  |           Imf0: 0.569378 +- 0.285456 (28.028080%)  | 
                 d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  |                  d0: 0.000000 +- 0.000000 (-nan%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
