                 CLAM_maxDcaV0Daughters = 0.300000 |                  CLAM_maxDcaV0Daughters = 0.400000 |                  CLAM_maxDcaV0Daughters = 0.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.169779 +- 0.293968 (-16.399870%)  |          Lambda: 1.399255 +- 0.717205 (0.000000%)  |          Lambda: 1.481847 +- 0.722184 (5.902570%)  | 
        Radius: 6.138997 +- 0.799785 (-1.919904%)  |          Radius: 6.259167 +- 0.790226 (0.000000%)  |          Radius: 6.305548 +- 0.777382 (0.741009%)  | 
          Ref0: 0.264850 +- 0.133285 (36.689014%)  |            Ref0: 0.193761 +- 0.122816 (0.000000%)  |           Ref0: 0.178732 +- 0.092922 (-7.756463%)  | 
          Imf0: 0.369954 +- 0.125091 (28.534352%)  |            Imf0: 0.287825 +- 0.124612 (0.000000%)  |           Imf0: 0.267305 +- 0.083719 (-7.129332%)  | 
          d0: -5.521797 +- 2.933469 (-28.362909%)  |            d0: -7.708014 +- 4.439403 (-0.000000%)  |             d0: -8.449550 +- 3.517669 (9.620325%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.169779 +- 0.293968 (-16.399870%)  |          Lambda: 1.399255 +- 0.717205 (0.000000%)  |          Lambda: 1.481847 +- 0.722184 (5.902570%)  | 
        Radius: 6.138997 +- 0.799785 (-1.919904%)  |          Radius: 6.259167 +- 0.790226 (0.000000%)  |          Radius: 6.305548 +- 0.777382 (0.741009%)  | 
          Ref0: 0.264850 +- 0.133285 (36.689014%)  |            Ref0: 0.193761 +- 0.122816 (0.000000%)  |           Ref0: 0.178732 +- 0.092922 (-7.756463%)  | 
          Imf0: 0.369954 +- 0.125091 (28.534352%)  |            Imf0: 0.287825 +- 0.124612 (0.000000%)  |           Imf0: 0.267305 +- 0.083719 (-7.129332%)  | 
          d0: -5.521797 +- 2.933469 (-28.362909%)  |            d0: -7.708014 +- 4.439403 (-0.000000%)  |             d0: -8.449550 +- 3.517669 (9.620325%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.798708 +- 0.181624 (-11.280100%)  |          Lambda: 0.900258 +- 0.223027 (0.000000%)  |          Lambda: 0.955710 +- 0.177247 (6.159568%)  | 
         Radius: 4.480278 +- 0.485985 (1.418917%)  |          Radius: 4.417596 +- 0.482594 (0.000000%)  |          Radius: 4.450791 +- 0.485008 (0.751427%)  | 
          Ref0: 0.264850 +- 0.133285 (36.689014%)  |            Ref0: 0.193761 +- 0.122816 (0.000000%)  |           Ref0: 0.178732 +- 0.092922 (-7.756463%)  | 
          Imf0: 0.369954 +- 0.125091 (28.534352%)  |            Imf0: 0.287825 +- 0.124612 (0.000000%)  |           Imf0: 0.267305 +- 0.083719 (-7.129332%)  | 
          d0: -5.521797 +- 2.933469 (-28.362909%)  |            d0: -7.708014 +- 4.439403 (-0.000000%)  |             d0: -8.449550 +- 3.517669 (9.620325%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.798708 +- 0.181624 (-11.280100%)  |          Lambda: 0.900258 +- 0.223027 (0.000000%)  |          Lambda: 0.955710 +- 0.177247 (6.159568%)  | 
         Radius: 4.480278 +- 0.485985 (1.418917%)  |          Radius: 4.417596 +- 0.482594 (0.000000%)  |          Radius: 4.450791 +- 0.485008 (0.751427%)  | 
          Ref0: 0.264850 +- 0.133285 (36.689014%)  |            Ref0: 0.193761 +- 0.122816 (0.000000%)  |           Ref0: 0.178732 +- 0.092922 (-7.756463%)  | 
          Imf0: 0.369954 +- 0.125091 (28.534352%)  |            Imf0: 0.287825 +- 0.124612 (0.000000%)  |           Imf0: 0.267305 +- 0.083719 (-7.129332%)  | 
          d0: -5.521797 +- 2.933469 (-28.362909%)  |            d0: -7.708014 +- 4.439403 (-0.000000%)  |             d0: -8.449550 +- 3.517669 (9.620325%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
