                  ALLTRACKS_maxImpactXY = 1.920000 |                   ALLTRACKS_maxImpactXY = 2.400000 |                   ALLTRACKS_maxImpactXY = 2.880000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.240816 +- 0.542343 (-4.015545%)  |          Lambda: 1.292726 +- 0.552911 (0.000000%)  |          Lambda: 1.293314 +- 0.531970 (0.045485%)  | 
        Radius: 5.305527 +- 1.134449 (-2.790595%)  |          Radius: 5.457833 +- 1.158258 (0.000000%)  |          Radius: 5.503094 +- 1.042629 (0.829285%)  | 
         Ref0: -1.513754 +- 0.372612 (-0.043647%)  |          Ref0: -1.514415 +- 0.356065 (-0.000000%)  |           Ref0: -1.539232 +- 0.380077 (1.638719%)  | 
          Imf0: 0.635904 +- 0.397288 (-4.683647%)  |            Imf0: 0.667151 +- 0.385709 (0.000000%)  |            Imf0: 0.683951 +- 0.384752 (2.518171%)  | 
             d0: 1.062912 +- 0.747356 (0.771253%)  |              d0: 1.054777 +- 0.737641 (0.000000%)  |              d0: 1.076370 +- 0.803321 (2.047163%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.208119 +- 0.531532 (-3.957087%)  |          Lambda: 1.257895 +- 0.541860 (0.000000%)  |          Lambda: 1.261471 +- 0.522816 (0.284284%)  | 
        Radius: 5.305527 +- 1.134449 (-2.790595%)  |          Radius: 5.457833 +- 1.158258 (0.000000%)  |          Radius: 5.503094 +- 1.042629 (0.829285%)  | 
         Ref0: -1.513754 +- 0.372612 (-0.043647%)  |          Ref0: -1.514415 +- 0.356065 (-0.000000%)  |           Ref0: -1.539232 +- 0.380077 (1.638719%)  | 
          Imf0: 0.635904 +- 0.397288 (-4.683647%)  |            Imf0: 0.667151 +- 0.385709 (0.000000%)  |            Imf0: 0.683951 +- 0.384752 (2.518171%)  | 
             d0: 1.062912 +- 0.747356 (0.771253%)  |              d0: 1.054777 +- 0.737641 (0.000000%)  |              d0: 1.076370 +- 0.803321 (2.047163%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.381816 +- 0.611860 (-3.148445%)  |          Lambda: 1.426736 +- 0.654768 (0.000000%)  |          Lambda: 1.429322 +- 0.665490 (0.181253%)  | 
        Radius: 4.844161 +- 1.026356 (-2.599623%)  |          Radius: 4.973452 +- 1.082117 (0.000000%)  |          Radius: 5.021589 +- 1.091189 (0.967879%)  | 
         Ref0: -1.513754 +- 0.372612 (-0.043647%)  |          Ref0: -1.514415 +- 0.356065 (-0.000000%)  |           Ref0: -1.539232 +- 0.380077 (1.638719%)  | 
          Imf0: 0.635904 +- 0.397288 (-4.683647%)  |            Imf0: 0.667151 +- 0.385709 (0.000000%)  |            Imf0: 0.683951 +- 0.384752 (2.518171%)  | 
             d0: 1.062912 +- 0.747356 (0.771253%)  |              d0: 1.054777 +- 0.737641 (0.000000%)  |              d0: 1.076370 +- 0.803321 (2.047163%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.162693 +- 0.510769 (-3.540813%)  |          Lambda: 1.205373 +- 0.547480 (0.000000%)  |         Lambda: 1.203843 +- 0.555158 (-0.126932%)  | 
        Radius: 4.844161 +- 1.026356 (-2.599623%)  |          Radius: 4.973452 +- 1.082117 (0.000000%)  |          Radius: 5.021589 +- 1.091189 (0.967879%)  | 
         Ref0: -1.513754 +- 0.372612 (-0.043647%)  |          Ref0: -1.514415 +- 0.356065 (-0.000000%)  |           Ref0: -1.539232 +- 0.380077 (1.638719%)  | 
          Imf0: 0.635904 +- 0.397288 (-4.683647%)  |            Imf0: 0.667151 +- 0.385709 (0.000000%)  |            Imf0: 0.683951 +- 0.384752 (2.518171%)  | 
             d0: 1.062912 +- 0.747356 (0.771253%)  |              d0: 1.054777 +- 0.737641 (0.000000%)  |              d0: 1.076370 +- 0.803321 (2.047163%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
