                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.577890 +- 0.446433 (-23.969969%)  |          Lambda: 2.075351 +- 0.534936 (0.000000%)  |        Lambda: 1.694879 +- 0.497026 (-18.332899%)  | 
         Radius: 5.326946 +- 0.777024 (8.253592%)  |          Radius: 4.920803 +- 0.566725 (0.000000%)  |         Radius: 4.645348 +- 0.585712 (-5.597765%)  | 
         Ref0: -1.094045 +- 0.218245 (62.065615%)  |          Ref0: -0.675063 +- 0.108234 (-0.000000%)  |          Ref0: -0.816766 +- 0.197388 (20.991078%)  | 
          Imf0: 0.445566 +- 0.204875 (61.029715%)  |            Imf0: 0.276698 +- 0.057225 (0.000000%)  |          Imf0: 0.215374 +- 0.096298 (-22.162791%)  | 
           d0: 1.122752 +- 0.348291 (-39.112142%)  |              d0: 1.843967 +- 0.125768 (0.000000%)  |            d0: 1.279124 +- 0.195123 (-30.631947%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.587105 +- 0.455698 (-29.449897%)  |          Lambda: 2.249614 +- 0.589630 (0.000000%)  |        Lambda: 1.784851 +- 0.531251 (-20.659678%)  | 
         Radius: 5.326946 +- 0.777024 (8.253592%)  |          Radius: 4.920803 +- 0.566725 (0.000000%)  |         Radius: 4.645348 +- 0.585712 (-5.597765%)  | 
         Ref0: -1.094045 +- 0.218245 (62.065615%)  |          Ref0: -0.675063 +- 0.108234 (-0.000000%)  |          Ref0: -0.816766 +- 0.197388 (20.991078%)  | 
          Imf0: 0.445566 +- 0.204875 (61.029715%)  |            Imf0: 0.276698 +- 0.057225 (0.000000%)  |          Imf0: 0.215374 +- 0.096298 (-22.162791%)  | 
           d0: 1.122752 +- 0.348291 (-39.112142%)  |              d0: 1.843967 +- 0.125768 (0.000000%)  |            d0: 1.279124 +- 0.195123 (-30.631947%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.602128 +- 0.549369 (-27.916202%)  |          Lambda: 2.222591 +- 0.719081 (0.000000%)  |         Lambda: 2.061054 +- 0.732255 (-7.267959%)  | 
        Radius: 4.558945 +- 0.710218 (13.379798%)  |          Radius: 4.020950 +- 0.571341 (0.000000%)  |          Radius: 4.308042 +- 0.612499 (7.139905%)  | 
         Ref0: -1.094045 +- 0.218245 (62.065615%)  |          Ref0: -0.675063 +- 0.108234 (-0.000000%)  |          Ref0: -0.816766 +- 0.197388 (20.991078%)  | 
          Imf0: 0.445566 +- 0.204875 (61.029715%)  |            Imf0: 0.276698 +- 0.057225 (0.000000%)  |          Imf0: 0.215374 +- 0.096298 (-22.162791%)  | 
           d0: 1.122752 +- 0.348291 (-39.112142%)  |              d0: 1.843967 +- 0.125768 (0.000000%)  |            d0: 1.279124 +- 0.195123 (-30.631947%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.424519 +- 0.480614 (-23.134423%)  |          Lambda: 1.853260 +- 0.593269 (0.000000%)  |         Lambda: 1.745071 +- 0.611169 (-5.837767%)  | 
        Radius: 4.558945 +- 0.710218 (13.379798%)  |          Radius: 4.020950 +- 0.571341 (0.000000%)  |          Radius: 4.308042 +- 0.612499 (7.139905%)  | 
         Ref0: -1.094045 +- 0.218245 (62.065615%)  |          Ref0: -0.675063 +- 0.108234 (-0.000000%)  |          Ref0: -0.816766 +- 0.197388 (20.991078%)  | 
          Imf0: 0.445566 +- 0.204875 (61.029715%)  |            Imf0: 0.276698 +- 0.057225 (0.000000%)  |          Imf0: 0.215374 +- 0.096298 (-22.162791%)  | 
           d0: 1.122752 +- 0.348291 (-39.112142%)  |              d0: 1.843967 +- 0.125768 (0.000000%)  |            d0: 1.279124 +- 0.195123 (-30.631947%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
