                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.875400 +- 0.675854 (-8.663746%)  |          Lambda: 2.053292 +- 0.480132 (0.000000%)  |         Lambda: 1.961775 +- 0.720365 (-4.457086%)  | 
        Radius: 5.959070 +- 1.186308 (23.629285%)  |          Radius: 4.820112 +- 0.722286 (0.000000%)  |         Radius: 6.128160 +- 1.253858 (27.137295%)  | 
          Ref0: 0.351337 +- 0.194307 (77.519137%)  |            Ref0: 0.197915 +- 0.096972 (0.000000%)  |          Ref0: 0.401798 +- 0.198922 (103.015436%)  | 
          Imf0: 0.413485 +- 0.164612 (38.180232%)  |            Imf0: 0.299236 +- 0.091837 (0.000000%)  |           Imf0: 0.418380 +- 0.153205 (39.816065%)  | 
          d0: -5.658267 +- 3.017163 (-15.390805%)  |            d0: -6.687532 +- 2.586229 (-0.000000%)  |           d0: -5.170573 +- 2.652958 (-22.683391%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.835163 +- 0.631186 (-9.625261%)  |          Lambda: 2.030615 +- 0.455909 (0.000000%)  |         Lambda: 1.927179 +- 0.674274 (-5.093826%)  | 
        Radius: 5.959070 +- 1.186308 (23.629285%)  |          Radius: 4.820112 +- 0.722286 (0.000000%)  |         Radius: 6.128160 +- 1.253858 (27.137295%)  | 
          Ref0: 0.351337 +- 0.194307 (77.519137%)  |            Ref0: 0.197915 +- 0.096972 (0.000000%)  |          Ref0: 0.401798 +- 0.198922 (103.015436%)  | 
          Imf0: 0.413485 +- 0.164612 (38.180232%)  |            Imf0: 0.299236 +- 0.091837 (0.000000%)  |           Imf0: 0.418380 +- 0.153205 (39.816065%)  | 
          d0: -5.658267 +- 3.017163 (-15.390805%)  |            d0: -6.687532 +- 2.586229 (-0.000000%)  |           d0: -5.170573 +- 2.652958 (-22.683391%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.491736 +- 0.513478 (-26.673571%)  |          Lambda: 2.034377 +- 0.476556 (0.000000%)  |        Lambda: 1.511684 +- 0.543573 (-25.693025%)  | 
        Radius: 4.634417 +- 0.940075 (18.135538%)  |          Radius: 3.922966 +- 0.625692 (0.000000%)  |         Radius: 4.952626 +- 1.054551 (26.246977%)  | 
          Ref0: 0.351337 +- 0.194307 (77.519137%)  |            Ref0: 0.197915 +- 0.096972 (0.000000%)  |          Ref0: 0.401798 +- 0.198922 (103.015436%)  | 
          Imf0: 0.413485 +- 0.164612 (38.180232%)  |            Imf0: 0.299236 +- 0.091837 (0.000000%)  |           Imf0: 0.418380 +- 0.153205 (39.816065%)  | 
          d0: -5.658267 +- 3.017163 (-15.390805%)  |            d0: -6.687532 +- 2.586229 (-0.000000%)  |           d0: -5.170573 +- 2.652958 (-22.683391%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.792942 +- 0.603579 (-10.345324%)  |          Lambda: 1.999831 +- 0.465837 (0.000000%)  |        Lambda: 1.691366 +- 0.598339 (-15.424553%)  | 
        Radius: 4.634417 +- 0.940075 (18.135538%)  |          Radius: 3.922966 +- 0.625692 (0.000000%)  |         Radius: 4.952626 +- 1.054551 (26.246977%)  | 
          Ref0: 0.351337 +- 0.194307 (77.519137%)  |            Ref0: 0.197915 +- 0.096972 (0.000000%)  |          Ref0: 0.401798 +- 0.198922 (103.015436%)  | 
          Imf0: 0.413485 +- 0.164612 (38.180232%)  |            Imf0: 0.299236 +- 0.091837 (0.000000%)  |           Imf0: 0.418380 +- 0.153205 (39.816065%)  | 
          d0: -5.658267 +- 3.017163 (-15.390805%)  |            d0: -6.687532 +- 2.586229 (-0.000000%)  |           d0: -5.170573 +- 2.652958 (-22.683391%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
