                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.148419 +- 0.417603 (-23.603851%)  |          Lambda: 1.503242 +- 0.441149 (0.000000%)  |        Lambda: 1.131662 +- 0.363781 (-24.718575%)  | 
         Radius: 4.620772 +- 0.902342 (9.874681%)  |          Radius: 4.205493 +- 0.615833 (0.000000%)  |          Radius: 4.310232 +- 0.889908 (2.490528%)  | 
         Ref0: -1.270858 +- 0.273929 (59.696054%)  |          Ref0: -0.795798 +- 0.147524 (-0.000000%)  |          Ref0: -1.158549 +- 0.332844 (45.583301%)  | 
          Imf0: 0.463063 +- 0.301985 (89.346903%)  |            Imf0: 0.244558 +- 0.096666 (0.000000%)  |           Imf0: 0.309296 +- 0.303412 (26.471430%)  | 
           d0: 1.133037 +- 0.428006 (-27.274880%)  |              d0: 1.557972 +- 0.157202 (0.000000%)  |            d0: 1.050589 +- 0.355149 (-32.566888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.134488 +- 0.414786 (-27.810795%)  |          Lambda: 1.571548 +- 0.465463 (0.000000%)  |        Lambda: 1.151211 +- 0.371950 (-26.746685%)  | 
         Radius: 4.620772 +- 0.902342 (9.874681%)  |          Radius: 4.205493 +- 0.615833 (0.000000%)  |          Radius: 4.310232 +- 0.889908 (2.490528%)  | 
         Ref0: -1.270858 +- 0.273929 (59.696054%)  |          Ref0: -0.795798 +- 0.147524 (-0.000000%)  |          Ref0: -1.158549 +- 0.332844 (45.583301%)  | 
          Imf0: 0.463063 +- 0.301985 (89.346903%)  |            Imf0: 0.244558 +- 0.096666 (0.000000%)  |           Imf0: 0.309296 +- 0.303412 (26.471430%)  | 
           d0: 1.133037 +- 0.428006 (-27.274880%)  |              d0: 1.557972 +- 0.157202 (0.000000%)  |            d0: 1.050589 +- 0.355149 (-32.566888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.396206 +- 0.563549 (-24.948194%)  |          Lambda: 1.860323 +- 0.852620 (0.000000%)  |        Lambda: 1.610846 +- 0.671342 (-13.410413%)  | 
        Radius: 4.388856 +- 0.867516 (15.929022%)  |          Radius: 3.785813 +- 0.817603 (0.000000%)  |         Radius: 4.412737 +- 0.919604 (16.559825%)  | 
         Ref0: -1.270858 +- 0.273929 (59.696054%)  |          Ref0: -0.795798 +- 0.147524 (-0.000000%)  |          Ref0: -1.158549 +- 0.332844 (45.583301%)  | 
          Imf0: 0.463063 +- 0.301985 (89.346903%)  |            Imf0: 0.244558 +- 0.096666 (0.000000%)  |           Imf0: 0.309296 +- 0.303412 (26.471430%)  | 
           d0: 1.133037 +- 0.428006 (-27.274880%)  |              d0: 1.557972 +- 0.157202 (0.000000%)  |            d0: 1.050589 +- 0.355149 (-32.566888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.194779 +- 0.475320 (-17.003473%)  |          Lambda: 1.439553 +- 0.652385 (0.000000%)  |        Lambda: 1.291845 +- 0.531758 (-10.260685%)  | 
        Radius: 4.388856 +- 0.867516 (15.929022%)  |          Radius: 3.785813 +- 0.817603 (0.000000%)  |         Radius: 4.412737 +- 0.919604 (16.559825%)  | 
         Ref0: -1.270858 +- 0.273929 (59.696054%)  |          Ref0: -0.795798 +- 0.147524 (-0.000000%)  |          Ref0: -1.158549 +- 0.332844 (45.583301%)  | 
          Imf0: 0.463063 +- 0.301985 (89.346903%)  |            Imf0: 0.244558 +- 0.096666 (0.000000%)  |           Imf0: 0.309296 +- 0.303412 (26.471430%)  | 
           d0: 1.133037 +- 0.428006 (-27.274880%)  |              d0: 1.557972 +- 0.157202 (0.000000%)  |            d0: 1.050589 +- 0.355149 (-32.566888%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
