                      minAvgSepTrackPos = 7.500000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 8.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.866218 +- 0.756998 (-0.431254%)  |          Lambda: 1.874301 +- 0.857994 (0.000000%)  |          Lambda: 1.905999 +- 0.805909 (1.691190%)  | 
        Radius: 6.645804 +- 1.452954 (-0.442673%)  |          Radius: 6.675354 +- 1.610941 (0.000000%)  |          Radius: 6.749338 +- 1.531358 (1.108316%)  | 
           Ref0: 0.493193 +- 0.242829 (0.661493%)  |            Ref0: 0.489952 +- 0.236790 (0.000000%)  |            Ref0: 0.493737 +- 0.245759 (0.772525%)  | 
           Imf0: 0.505738 +- 0.181276 (0.432720%)  |            Imf0: 0.503559 +- 0.193002 (0.000000%)  |           Imf0: 0.501885 +- 0.187023 (-0.332434%)  | 
           d0: -4.567460 +- 2.334043 (-0.692387%)  |            d0: -4.599305 +- 2.399848 (-0.000000%)  |             d0: -4.637651 +- 2.417558 (0.833735%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.836763 +- 0.708412 (0.065593%)  |          Lambda: 1.835559 +- 0.798643 (0.000000%)  |          Lambda: 1.862663 +- 0.748167 (1.476607%)  | 
        Radius: 6.645804 +- 1.452954 (-0.442673%)  |          Radius: 6.675354 +- 1.610941 (0.000000%)  |          Radius: 6.749338 +- 1.531358 (1.108316%)  | 
           Ref0: 0.493193 +- 0.242829 (0.661493%)  |            Ref0: 0.489952 +- 0.236790 (0.000000%)  |            Ref0: 0.493737 +- 0.245759 (0.772525%)  | 
           Imf0: 0.505738 +- 0.181276 (0.432720%)  |            Imf0: 0.503559 +- 0.193002 (0.000000%)  |           Imf0: 0.501885 +- 0.187023 (-0.332434%)  | 
           d0: -4.567460 +- 2.334043 (-0.692387%)  |            d0: -4.599305 +- 2.399848 (-0.000000%)  |             d0: -4.637651 +- 2.417558 (0.833735%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.269051 +- 0.501003 (0.465416%)  |          Lambda: 1.263172 +- 0.539461 (0.000000%)  |         Lambda: 1.236142 +- 0.504207 (-2.139851%)  | 
         Radius: 5.145579 +- 1.137969 (0.135659%)  |          Radius: 5.138608 +- 1.198194 (0.000000%)  |         Radius: 5.094831 +- 1.149055 (-0.851923%)  | 
           Ref0: 0.493193 +- 0.242829 (0.661493%)  |            Ref0: 0.489952 +- 0.236790 (0.000000%)  |            Ref0: 0.493737 +- 0.245759 (0.772525%)  | 
           Imf0: 0.505738 +- 0.181276 (0.432720%)  |            Imf0: 0.503559 +- 0.193002 (0.000000%)  |           Imf0: 0.501885 +- 0.187023 (-0.332434%)  | 
           d0: -4.567460 +- 2.334043 (-0.692387%)  |            d0: -4.599305 +- 2.399848 (-0.000000%)  |             d0: -4.637651 +- 2.417558 (0.833735%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.665133 +- 0.634819 (0.501016%)  |          Lambda: 1.656832 +- 0.687719 (0.000000%)  |         Lambda: 1.647703 +- 0.649576 (-0.550991%)  | 
         Radius: 5.145579 +- 1.137969 (0.135659%)  |          Radius: 5.138608 +- 1.198194 (0.000000%)  |         Radius: 5.094831 +- 1.149055 (-0.851923%)  | 
           Ref0: 0.493193 +- 0.242829 (0.661493%)  |            Ref0: 0.489952 +- 0.236790 (0.000000%)  |            Ref0: 0.493737 +- 0.245759 (0.772525%)  | 
           Imf0: 0.505738 +- 0.181276 (0.432720%)  |            Imf0: 0.503559 +- 0.193002 (0.000000%)  |           Imf0: 0.501885 +- 0.187023 (-0.332434%)  | 
           d0: -4.567460 +- 2.334043 (-0.692387%)  |            d0: -4.599305 +- 2.399848 (-0.000000%)  |             d0: -4.637651 +- 2.417558 (0.833735%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
