                      minAvgSepTrackPos = 7.500000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 8.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.781352 +- 0.869129 (-0.154979%)  |          Lambda: 1.784117 +- 0.977750 (0.000000%)  |          Lambda: 1.817945 +- 0.895350 (1.896064%)  | 
        Radius: 6.711229 +- 1.727712 (-0.257396%)  |          Radius: 6.728548 +- 1.948478 (0.000000%)  |          Radius: 6.810005 +- 1.785259 (1.210618%)  | 
           Ref0: 0.474819 +- 0.239010 (0.957012%)  |            Ref0: 0.470318 +- 0.239789 (0.000000%)  |            Ref0: 0.473919 +- 0.243887 (0.765652%)  | 
           Imf0: 0.493009 +- 0.191584 (0.361744%)  |            Imf0: 0.491232 +- 0.197410 (0.000000%)  |           Imf0: 0.489097 +- 0.192222 (-0.434622%)  | 
           d0: -4.684072 +- 2.493132 (-0.705375%)  |            d0: -4.717347 +- 2.518827 (-0.000000%)  |             d0: -4.762637 +- 2.549793 (0.960074%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.756871 +- 0.818062 (0.327330%)  |          Lambda: 1.751139 +- 0.914368 (0.000000%)  |          Lambda: 1.780491 +- 0.836616 (1.676166%)  | 
        Radius: 6.711229 +- 1.727712 (-0.257396%)  |          Radius: 6.728548 +- 1.948478 (0.000000%)  |          Radius: 6.810005 +- 1.785259 (1.210618%)  | 
           Ref0: 0.474819 +- 0.239010 (0.957012%)  |            Ref0: 0.470318 +- 0.239789 (0.000000%)  |            Ref0: 0.473919 +- 0.243887 (0.765652%)  | 
           Imf0: 0.493009 +- 0.191584 (0.361744%)  |            Imf0: 0.491232 +- 0.197410 (0.000000%)  |           Imf0: 0.489097 +- 0.192222 (-0.434622%)  | 
           d0: -4.684072 +- 2.493132 (-0.705375%)  |            d0: -4.717347 +- 2.518827 (-0.000000%)  |             d0: -4.762637 +- 2.549793 (0.960074%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.223360 +- 0.549668 (0.770673%)  |          Lambda: 1.214004 +- 0.595864 (0.000000%)  |         Lambda: 1.188758 +- 0.541435 (-2.079565%)  | 
         Radius: 5.222171 +- 1.282449 (0.315979%)  |          Radius: 5.205722 +- 1.385037 (0.000000%)  |         Radius: 5.162650 +- 1.283709 (-0.827397%)  | 
           Ref0: 0.474819 +- 0.239010 (0.957012%)  |            Ref0: 0.470318 +- 0.239789 (0.000000%)  |            Ref0: 0.473919 +- 0.243887 (0.765652%)  | 
           Imf0: 0.493009 +- 0.191584 (0.361744%)  |            Imf0: 0.491232 +- 0.197410 (0.000000%)  |           Imf0: 0.489097 +- 0.192222 (-0.434622%)  | 
           d0: -4.684072 +- 2.493132 (-0.705375%)  |            d0: -4.717347 +- 2.518827 (-0.000000%)  |             d0: -4.762637 +- 2.549793 (0.960074%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.558885 +- 0.684839 (0.797712%)  |          Lambda: 1.546548 +- 0.745256 (0.000000%)  |         Lambda: 1.538681 +- 0.684511 (-0.508681%)  | 
         Radius: 5.222171 +- 1.282449 (0.315979%)  |          Radius: 5.205722 +- 1.385037 (0.000000%)  |         Radius: 5.162650 +- 1.283709 (-0.827397%)  | 
           Ref0: 0.474819 +- 0.239010 (0.957012%)  |            Ref0: 0.470318 +- 0.239789 (0.000000%)  |            Ref0: 0.473919 +- 0.243887 (0.765652%)  | 
           Imf0: 0.493009 +- 0.191584 (0.361744%)  |            Imf0: 0.491232 +- 0.197410 (0.000000%)  |           Imf0: 0.489097 +- 0.192222 (-0.434622%)  | 
           d0: -4.684072 +- 2.493132 (-0.705375%)  |            d0: -4.717347 +- 2.518827 (-0.000000%)  |             d0: -4.762637 +- 2.549793 (0.960074%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
