                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.859464 +- 0.294469 (-29.595586%)  |          Lambda: 1.220753 +- 0.415007 (0.000000%)  |        Lambda: 0.867042 +- 0.299345 (-28.974821%)  | 
         Radius: 4.414123 +- 0.783668 (5.891369%)  |          Radius: 4.168539 +- 0.609755 (0.000000%)  |         Radius: 4.064090 +- 0.770143 (-2.505650%)  | 
         Ref0: -1.191081 +- 0.302750 (65.076899%)  |          Ref0: -0.721531 +- 0.166149 (-0.000000%)  |          Ref0: -1.046354 +- 0.347268 (45.018579%)  | 
          Imf0: 0.469101 +- 0.307155 (74.466764%)  |            Imf0: 0.268877 +- 0.088983 (0.000000%)  |            Imf0: 0.283050 +- 0.268678 (5.271183%)  | 
           d0: 1.102085 +- 0.464567 (-29.788701%)  |              d0: 1.569669 +- 0.155559 (0.000000%)  |            d0: 1.018493 +- 0.358179 (-35.114155%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.845427 +- 0.290467 (-33.445880%)  |          Lambda: 1.270285 +- 0.434396 (0.000000%)  |        Lambda: 0.878781 +- 0.304717 (-30.820170%)  | 
         Radius: 4.414123 +- 0.783668 (5.891369%)  |          Radius: 4.168539 +- 0.609755 (0.000000%)  |         Radius: 4.064090 +- 0.770143 (-2.505650%)  | 
         Ref0: -1.191081 +- 0.302750 (65.076899%)  |          Ref0: -0.721531 +- 0.166149 (-0.000000%)  |          Ref0: -1.046354 +- 0.347268 (45.018579%)  | 
          Imf0: 0.469101 +- 0.307155 (74.466764%)  |            Imf0: 0.268877 +- 0.088983 (0.000000%)  |            Imf0: 0.283050 +- 0.268678 (5.271183%)  | 
           d0: 1.102085 +- 0.464567 (-29.788701%)  |              d0: 1.569669 +- 0.155559 (0.000000%)  |            d0: 1.018493 +- 0.358179 (-35.114155%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 1.068634 +- 0.421219 (-29.516512%)  |          Lambda: 1.516148 +- 0.606013 (0.000000%)  |        Lambda: 1.247638 +- 0.530320 (-17.710012%)  | 
        Radius: 4.232902 +- 0.805214 (12.901442%)  |          Radius: 3.749201 +- 0.642680 (0.000000%)  |         Radius: 4.178932 +- 0.834315 (11.461935%)  | 
         Ref0: -1.191081 +- 0.302750 (65.076899%)  |          Ref0: -0.721531 +- 0.166149 (-0.000000%)  |          Ref0: -1.046354 +- 0.347268 (45.018579%)  | 
          Imf0: 0.469101 +- 0.307155 (74.466764%)  |            Imf0: 0.268877 +- 0.088983 (0.000000%)  |            Imf0: 0.283050 +- 0.268678 (5.271183%)  | 
           d0: 1.102085 +- 0.464567 (-29.788701%)  |              d0: 1.569669 +- 0.155559 (0.000000%)  |            d0: 1.018493 +- 0.358179 (-35.114155%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
       Lambda: 0.917192 +- 0.358073 (-21.941505%)  |          Lambda: 1.175006 +- 0.466920 (0.000000%)  |        Lambda: 1.003959 +- 0.423401 (-14.557117%)  | 
        Radius: 4.232902 +- 0.805214 (12.901442%)  |          Radius: 3.749201 +- 0.642680 (0.000000%)  |         Radius: 4.178932 +- 0.834315 (11.461935%)  | 
         Ref0: -1.191081 +- 0.302750 (65.076899%)  |          Ref0: -0.721531 +- 0.166149 (-0.000000%)  |          Ref0: -1.046354 +- 0.347268 (45.018579%)  | 
          Imf0: 0.469101 +- 0.307155 (74.466764%)  |            Imf0: 0.268877 +- 0.088983 (0.000000%)  |            Imf0: 0.283050 +- 0.268678 (5.271183%)  | 
           d0: 1.102085 +- 0.464567 (-29.788701%)  |              d0: 1.569669 +- 0.155559 (0.000000%)  |            d0: 1.018493 +- 0.358179 (-35.114155%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
