                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.750431 (0.000000%)  |          Lambda: 0.600000 +- 0.620121 (0.000000%)  |          Lambda: 0.600000 +- 0.692069 (0.000000%)  | 
        Radius: 2.845864 +- 0.483201 (-2.913320%)  |          Radius: 2.931261 +- 0.299567 (0.000000%)  |         Radius: 2.762685 +- 0.428709 (-5.750972%)  | 
         Ref0: -0.329028 +- 0.079061 (-9.191320%)  |          Ref0: -0.362331 +- 0.075683 (-0.000000%)  |         Ref0: -0.306988 +- 0.077021 (-15.274155%)  | 
         Imf0: 0.212061 +- 0.104293 (-14.431842%)  |            Imf0: 0.247827 +- 0.056568 (0.000000%)  |          Imf0: 0.175876 +- 0.072374 (-29.032753%)  | 
           d0: 2.368020 +- 0.478484 (-24.249297%)  |              d0: 3.126070 +- 0.474018 (0.000000%)  |            d0: 2.624553 +- 0.517081 (-16.043051%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.750431 (0.000000%)  |          Lambda: 0.600000 +- 0.620121 (0.000000%)  |          Lambda: 0.600000 +- 0.692069 (0.000000%)  | 
        Radius: 2.845864 +- 0.483201 (-2.913320%)  |          Radius: 2.931261 +- 0.299567 (0.000000%)  |         Radius: 2.762685 +- 0.428709 (-5.750972%)  | 
         Ref0: -0.329028 +- 0.079061 (-9.191320%)  |          Ref0: -0.362331 +- 0.075683 (-0.000000%)  |         Ref0: -0.306988 +- 0.077021 (-15.274155%)  | 
         Imf0: 0.212061 +- 0.104293 (-14.431842%)  |            Imf0: 0.247827 +- 0.056568 (0.000000%)  |          Imf0: 0.175876 +- 0.072374 (-29.032753%)  | 
           d0: 2.368020 +- 0.478484 (-24.249297%)  |              d0: 3.126070 +- 0.474018 (0.000000%)  |            d0: 2.624553 +- 0.517081 (-16.043051%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.750431 (0.000000%)  |          Lambda: 0.600000 +- 0.620121 (0.000000%)  |          Lambda: 0.600000 +- 0.692069 (0.000000%)  | 
         Radius: 2.199615 +- 0.381547 (7.172300%)  |          Radius: 2.052410 +- 0.226557 (0.000000%)  |          Radius: 2.169242 +- 0.354575 (5.692430%)  | 
         Ref0: -0.329028 +- 0.079061 (-9.191320%)  |          Ref0: -0.362331 +- 0.075683 (-0.000000%)  |         Ref0: -0.306988 +- 0.077021 (-15.274155%)  | 
         Imf0: 0.212061 +- 0.104293 (-14.431842%)  |            Imf0: 0.247827 +- 0.056568 (0.000000%)  |          Imf0: 0.175876 +- 0.072374 (-29.032753%)  | 
           d0: 2.368020 +- 0.478484 (-24.249297%)  |              d0: 3.126070 +- 0.474018 (0.000000%)  |            d0: 2.624553 +- 0.517081 (-16.043051%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.750431 (0.000000%)  |          Lambda: 0.600000 +- 0.620121 (0.000000%)  |          Lambda: 0.600000 +- 0.692069 (0.000000%)  | 
         Radius: 2.199615 +- 0.381547 (7.172300%)  |          Radius: 2.052410 +- 0.226557 (0.000000%)  |          Radius: 2.169242 +- 0.354575 (5.692430%)  | 
         Ref0: -0.329028 +- 0.079061 (-9.191320%)  |          Ref0: -0.362331 +- 0.075683 (-0.000000%)  |         Ref0: -0.306988 +- 0.077021 (-15.274155%)  | 
         Imf0: 0.212061 +- 0.104293 (-14.431842%)  |            Imf0: 0.247827 +- 0.056568 (0.000000%)  |          Imf0: 0.175876 +- 0.072374 (-29.032753%)  | 
           d0: 2.368020 +- 0.478484 (-24.249297%)  |              d0: 3.126070 +- 0.474018 (0.000000%)  |            d0: 2.624553 +- 0.517081 (-16.043051%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.750431 (0.000000%)  |          Lambda: 0.600000 +- 0.620121 (0.000000%)  |          Lambda: 0.600000 +- 0.692069 (0.000000%)  | 
         Radius: 1.593205 +- 0.278963 (4.943570%)  |          Radius: 1.518154 +- 0.180072 (0.000000%)  |          Radius: 1.577778 +- 0.268100 (3.927401%)  | 
         Ref0: -0.329028 +- 0.079061 (-9.191320%)  |          Ref0: -0.362331 +- 0.075683 (-0.000000%)  |         Ref0: -0.306988 +- 0.077021 (-15.274155%)  | 
         Imf0: 0.212061 +- 0.104293 (-14.431842%)  |            Imf0: 0.247827 +- 0.056568 (0.000000%)  |          Imf0: 0.175876 +- 0.072374 (-29.032753%)  | 
           d0: 2.368020 +- 0.478484 (-24.249297%)  |              d0: 3.126070 +- 0.474018 (0.000000%)  |            d0: 2.624553 +- 0.517081 (-16.043051%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.750431 (0.000000%)  |          Lambda: 0.600000 +- 0.620121 (0.000000%)  |          Lambda: 0.600000 +- 0.692069 (0.000000%)  | 
         Radius: 1.593205 +- 0.278963 (4.943570%)  |          Radius: 1.518154 +- 0.180072 (0.000000%)  |          Radius: 1.577778 +- 0.268100 (3.927401%)  | 
         Ref0: -0.329028 +- 0.079061 (-9.191320%)  |          Ref0: -0.362331 +- 0.075683 (-0.000000%)  |         Ref0: -0.306988 +- 0.077021 (-15.274155%)  | 
         Imf0: 0.212061 +- 0.104293 (-14.431842%)  |            Imf0: 0.247827 +- 0.056568 (0.000000%)  |          Imf0: 0.175876 +- 0.072374 (-29.032753%)  | 
           d0: 2.368020 +- 0.478484 (-24.249297%)  |              d0: 3.126070 +- 0.474018 (0.000000%)  |            d0: 2.624553 +- 0.517081 (-16.043051%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 355.666  NDF = 341  Chi2/NDF = 1.043 |        Chi2 = 366.855  NDF = 341  Chi2/NDF = 1.076 |        Chi2 = 361.766  NDF = 341  Chi2/NDF = 1.061 | 
                                                   |                                                    |                                                    | 
