                                      Fit Type = 0 |                                       Fit Type = 1 |                                       Fit Type = 2 |                                       Fit Type = 3 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.380439 +- 0.705537 (-7.970733%)  |          Lambda: 1.500000 +- 0.577613 (0.000000%)  |        Lambda: 1.164103 +- 0.278059 (-22.393133%)  |        Lambda: 1.061460 +- 0.267440 (-29.236000%)  | 
        Radius: 6.062011 +- 0.750156 (15.504366%)  |          Radius: 5.248296 +- 0.306883 (0.000000%)  |          Radius: 5.714223 +- 0.643417 (8.877681%)  |          Radius: 5.664808 +- 0.660135 (7.936138%)  | 
          Ref0: 0.172125 +- 0.097369 (19.053383%)  |            Ref0: 0.144578 +- 0.036932 (0.000000%)  |           Ref0: 0.219927 +- 0.096020 (52.116505%)  |           Ref0: 0.237599 +- 0.106851 (64.339664%)  | 
          Imf0: 0.284193 +- 0.111704 (10.445992%)  |            Imf0: 0.257314 +- 0.034293 (0.000000%)  |           Imf0: 0.345482 +- 0.105434 (34.264750%)  |           Imf0: 0.377746 +- 0.117779 (46.803516%)  | 
           d0: -8.692390 +- 4.154186 (16.962911%)  |            d0: -7.431749 +- 1.470344 (-0.000000%)  |           d0: -5.840494 +- 2.582514 (-21.411582%)  |           d0: -5.442282 +- 2.514716 (-26.769836%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    |                                                    | 
        Lambda: 1.380439 +- 0.705537 (-7.970733%)  |          Lambda: 1.500000 +- 0.577613 (0.000000%)  |        Lambda: 1.164103 +- 0.278059 (-22.393133%)  |        Lambda: 1.061460 +- 0.267440 (-29.236000%)  | 
        Radius: 6.062011 +- 0.750156 (15.504366%)  |          Radius: 5.248296 +- 0.306883 (0.000000%)  |          Radius: 5.714223 +- 0.643417 (8.877681%)  |          Radius: 5.664808 +- 0.660135 (7.936138%)  | 
          Ref0: 0.172125 +- 0.097369 (19.053383%)  |            Ref0: 0.144578 +- 0.036932 (0.000000%)  |           Ref0: 0.219927 +- 0.096020 (52.116505%)  |           Ref0: 0.237599 +- 0.106851 (64.339664%)  | 
          Imf0: 0.284193 +- 0.111704 (10.445992%)  |            Imf0: 0.257314 +- 0.034293 (0.000000%)  |           Imf0: 0.345482 +- 0.105434 (34.264750%)  |           Imf0: 0.377746 +- 0.117779 (46.803516%)  | 
           d0: -8.692390 +- 4.154186 (16.962911%)  |            d0: -7.431749 +- 1.470344 (-0.000000%)  |           d0: -5.840494 +- 2.582514 (-21.411582%)  |           d0: -5.442282 +- 2.514716 (-26.769836%)  | 
                                                   |                                                    |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    |                                                    | 
       Lambda: 0.985097 +- 0.249618 (-22.578214%)  |          Lambda: 1.272377 +- 0.140348 (0.000000%)  |        Lambda: 0.812022 +- 0.185890 (-36.180707%)  |        Lambda: 0.767105 +- 0.180705 (-39.710872%)  | 
        Radius: 4.349384 +- 0.462705 (11.288333%)  |          Radius: 3.908212 +- 0.282985 (0.000000%)  |          Radius: 4.179530 +- 0.411563 (6.942254%)  |          Radius: 4.267663 +- 0.435903 (9.197326%)  | 
          Ref0: 0.172125 +- 0.097369 (19.053383%)  |            Ref0: 0.144578 +- 0.036932 (0.000000%)  |           Ref0: 0.219927 +- 0.096020 (52.116505%)  |           Ref0: 0.237599 +- 0.106851 (64.339664%)  | 
          Imf0: 0.284193 +- 0.111704 (10.445992%)  |            Imf0: 0.257314 +- 0.034293 (0.000000%)  |           Imf0: 0.345482 +- 0.105434 (34.264750%)  |           Imf0: 0.377746 +- 0.117779 (46.803516%)  | 
