                           ResPrimMaxDecayType = 3 |                            ResPrimMaxDecayType = 4 |                            ResPrimMaxDecayType = 6 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.171483 +- 0.270403 (3.583612%)  |          Lambda: 1.130954 +- 0.264380 (0.000000%)  |         Lambda: 1.121016 +- 0.273959 (-0.878727%)  | 
         Radius: 6.058396 +- 0.754141 (0.161591%)  |          Radius: 6.048622 +- 0.735207 (0.000000%)  |         Radius: 6.042751 +- 0.818453 (-0.097063%)  | 
          Ref0: -0.639176 +- 0.126572 (1.225938%)  |          Ref0: -0.631435 +- 0.128169 (-0.000000%)  |          Ref0: -0.629028 +- 0.128519 (-0.381195%)  | 
           Imf0: 0.515621 +- 0.137806 (0.365357%)  |            Imf0: 0.513744 +- 0.137354 (0.000000%)  |           Imf0: 0.511682 +- 0.141379 (-0.401367%)  | 
             d0: 0.752911 +- 0.488979 (0.286376%)  |              d0: 0.750761 +- 0.498059 (0.000000%)  |             d0: 0.747684 +- 0.497737 (-0.409851%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.171483 +- 0.270403 (3.583612%)  |          Lambda: 1.130954 +- 0.264380 (0.000000%)  |         Lambda: 1.121016 +- 0.273959 (-0.878727%)  | 
         Radius: 6.058396 +- 0.754141 (0.161591%)  |          Radius: 6.048622 +- 0.735207 (0.000000%)  |         Radius: 6.042751 +- 0.818453 (-0.097063%)  | 
          Ref0: -0.639176 +- 0.126572 (1.225938%)  |          Ref0: -0.631435 +- 0.128169 (-0.000000%)  |          Ref0: -0.629028 +- 0.128519 (-0.381195%)  | 
           Imf0: 0.515621 +- 0.137806 (0.365357%)  |            Imf0: 0.513744 +- 0.137354 (0.000000%)  |           Imf0: 0.511682 +- 0.141379 (-0.401367%)  | 
             d0: 0.752911 +- 0.488979 (0.286376%)  |              d0: 0.750761 +- 0.498059 (0.000000%)  |             d0: 0.747684 +- 0.497737 (-0.409851%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.824730 +- 0.178419 (3.514365%)  |          Lambda: 0.796730 +- 0.174298 (0.000000%)  |         Lambda: 0.790213 +- 0.175498 (-0.817968%)  | 
         Radius: 4.492818 +- 0.491352 (0.138881%)  |          Radius: 4.486587 +- 0.486185 (0.000000%)  |         Radius: 4.483589 +- 0.512688 (-0.066821%)  | 
          Ref0: -0.639176 +- 0.126572 (1.225938%)  |          Ref0: -0.631435 +- 0.128169 (-0.000000%)  |          Ref0: -0.629028 +- 0.128519 (-0.381195%)  | 
           Imf0: 0.515621 +- 0.137806 (0.365357%)  |            Imf0: 0.513744 +- 0.137354 (0.000000%)  |           Imf0: 0.511682 +- 0.141379 (-0.401367%)  | 
             d0: 0.752911 +- 0.488979 (0.286376%)  |              d0: 0.750761 +- 0.498059 (0.000000%)  |             d0: 0.747684 +- 0.497737 (-0.409851%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.824730 +- 0.178419 (3.514365%)  |          Lambda: 0.796730 +- 0.174298 (0.000000%)  |         Lambda: 0.790213 +- 0.175498 (-0.817968%)  | 
         Radius: 4.492818 +- 0.491352 (0.138881%)  |          Radius: 4.486587 +- 0.486185 (0.000000%)  |         Radius: 4.483589 +- 0.512688 (-0.066821%)  | 
          Ref0: -0.639176 +- 0.126572 (1.225938%)  |          Ref0: -0.631435 +- 0.128169 (-0.000000%)  |          Ref0: -0.629028 +- 0.128519 (-0.381195%)  | 
           Imf0: 0.515621 +- 0.137806 (0.365357%)  |            Imf0: 0.513744 +- 0.137354 (0.000000%)  |           Imf0: 0.511682 +- 0.141379 (-0.401367%)  | 
             d0: 0.752911 +- 0.488979 (0.286376%)  |              d0: 0.750761 +- 0.498059 (0.000000%)  |             d0: 0.747684 +- 0.497737 (-0.409851%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
